Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487000754944,-4.374203796,5.131778412,6.803052979
1654618487010685952,-4.229005737,4.831652527,6.711144104
1654618487020616960,-3.97124176,4.875511322,6.77476181
1654618487030547968,-3.607947235,4.818330231,6.994504852
1654618487040478976,-3.427272949,4.896467743,7.378007355
1654618487050411008,-3.370840302,4.950505371,7.820187836
1654618487060342016,-3.421734467,4.921166382,8.041577454
1654618487070273024,-3.485352173,4.947511597,8.206235046
1654618487080204032,-3.255280609,4.781806183,8.082741852
1654618487090135040,-2.964136047,4.42405014,7.936945038
1654618487100066048,-2.918031921,4.373904419,7.632927246
1654618487109997056,-2.879112854,4.462819519,7.386389923
1654618487119927808,-2.897225189,4.6475354,7.515122223
1654618487129859072,-2.85261795,4.744234314,7.721542969
1654618487139790080,-2.939587097,4.623585205,7.986042938
1654618487149720832,-3.118465118,4.389771423,8.167615356
1654618487159652096,-3.123105469,4.138444061,8.059390411
1654618487169584128,-2.963387604,3.885619812,8.175848236
1654618487179514880,-2.729124756,3.829037476,8.446036377
1654618487189445888,-2.583178253,3.879033508,8.353379059
1654618487199377152,-2.621199188,3.78877121,8.377478943
1654618487209307904,-2.591560822,3.450923767,8.695717163
1654618487219238912,-2.400707703,3.311264191,8.697513428
1654618487229170176,-3.108735352,3.491190033,9.028175812
1654618487239100928,-2.618355103,2.894530792,9.886490936
1654618487249031936,-1.597328339,2.224973145,10.23616379
1654618487258963200,-0.201930084,1.456171875,10.16386414
1654618487268893952,-0.030985565,0.922830963,11.39565262
1654618487278824960,-0.029788055,0.712817688,11.44699585
1654618487288755968,0.3264711,1.191522217,11.0256221
1654618487298688000,0.584833832,1.480870514,10.81036972
1654618487308619008,0.683628388,1.471889191,10.32867142
1654618487318550016,0.596359863,1.587897949,9.804012451
1654618487328481024,0.511785736,1.703307953,9.586065674
1654618487338412032,0.218545532,1.600471802,9.557475128
1654618487348342784,-0.065264282,1.484912109,9.544751587
1654618487358274048,-0.352816315,1.425785065,9.479936371
1654618487368205056,-0.609083405,1.33267868,9.636361084
1654618487378135808,-0.12992981,1.225800934,10.09500732
1654618487388066816,0.565673676,1.254840546,10.41010208
1654618487397997824,1.140628052,1.333427124,9.898765411
1654618487407928832,1.440155182,1.351689148,9.145531769
1654618487417860864,1.314416656,1.469045105,8.576115875
1654618487427791872,-0.254919891,1.933828583,8.138875122
1654618487437722624,-2.922971649,3.169059906,8.568182373
1654618487447653888,-0.999172211,2.09444458,9.681866455
1654618487457584896,1.003064117,1.196162567,10.26834686
1654618487467515648,0.878373413,1.894909515,10.15338593
1654618487477446912,0.287252655,2.201172638,9.473350067
1654618487487377664,0.470920715,2.414479065,8.904083862
1654618487497308672,0.909358978,2.641407166,8.559500427
1654618487507239936,0.652193756,2.70756958,8.436905365
1654618487517170688,0.323327637,2.539768524,8.795709229
1654618487527101696,0.563877411,2.213447113,9.094487915
1654618487537032960,0.54756134,1.784888306,9.180858307
1654618487546964736,0.137414246,1.400188293,9.803264008
1654618487556895744,0.174087982,1.168170776,10.13542328
1654618487566826752,0.520018616,1.074765015,9.890981598
1654618487576757760,0.740360413,1.307381287,9.743837585
1654618487586688768,1.121318207,1.931583252,9.713899841
1654618487596619776,1.339264984,1.859882355,9.27531189
1654618487606550784,1.51170639,1.62412262,9.325756989
1654618487616481792,1.277144165,1.62996048,9.455836487
1654618487626412800,0.906215515,1.584006042,9.665251007
1654618487636343808,1.36785553,1.180445251,9.935738525
1654618487646274816,1.2461586,1.110540619,10.08887009
1654618487656205568,1.330133972,0.982407074,10.1378183
1654618487666137600,1.460512848,1.083297272,9.760453033
1654618487676068864,1.484013977,0.996777191,9.45074707
1654618487685999616,1.493444366,1.309476929,9.304052124
1654618487695930624,1.687141571,1.865420837,9.027277679
1654618487705861888,1.829645233,2.236948242,8.696465607
1654618487715792640,1.758992157,2.249522095,8.46085556
1654618487725723648,1.652563477,2.142195282,8.402177582
1654618487735654912,1.397643585,2.003284149,8.698112183
1654618487745585664,1.128802643,1.615590363,9.398805084
1654618487755516672,1.13269455,1.415306854,10.15009277
1654618487765447936,1.363963623,1.351988525,10.43554916
1654618487775378688,1.812281342,1.447639618,10.43495041
1654618487785310720,2.261197815,1.897304535,10.12748978
1654618487795241728,2.8678862,2.301913147,9.710606689
1654618487805172736,2.685265961,2.465522919,9.166188812
1654618487815103744,2.599194946,2.653681641,9.106912079
1654618487825034752,2.990331573,2.682272186,9.148226166
1654618487834965760,2.921923828,2.503693542,9.641899567
1654618487844896768,2.752775574,2.228116608,10.16865417
1654618487854827520,2.783461761,1.852996674,10.23436752
1654618487864758784,2.6303302,1.705702972,10.24544449
1654618487874689792,2.444566498,1.850451965,10.42222687
1654618487884620544,2.564916229,1.915865936,10.27388535
1654618487894551808,2.885998535,1.740131378,9.493558044
1654618487904483840,3.017425232,2.217189331,8.809929657
1654618487914414592,3.44703186,2.56252121,8.720266113
1654618487924345856,3.952380981,2.704276428,8.377628632
1654618487934276864,4.76578949,2.034269714,8.23272995
1654618487944207616,4.444707184,1.697021027,8.275690613
1654618487954138880,4.198020172,1.456920319,8.434959412
1654618487964069888,4.147874451,1.169967041,8.450227661
1654618487974000640,4.299509125,0.809815979,8.305328979
1654618487983931904,4.611759796,0.564176788,8.01388504
1654618487993862912,4.942571869,0.713117065,7.511529694
1654618488003793664,5.135370941,0.729133759,6.878645782
1654618488013724928,5.109624481,0.767454071,6.613547058
1654618488023656960,5.188510437,0.869242401,6.88942337
1654618488033587712,5.184019775,0.771345978,7.09779007
1654618488043518720,5.115462341,0.534987488,6.845714264
1654618488053449984,4.929848328,0.075592804,6.342011719
1654618488063380736,4.653672638,-0.46568161,5.856421509
1654618488073311744,4.212090912,-0.884360962,5.460943909
1654618488083242752,4.14682663,-1.121767273,5.36364624
1654618488093173760,4.508175201,-1.098266144,5.725593567
1654618488103104768,4.986580353,-0.965941315,6.259682922
1654618488113035776,5.583538971,-0.769250336,6.618187408
1654618488122966784,6.428831177,-0.35805542,6.837331696
1654618488132898816,7.122937775,0.066761169,6.896009674
1654618488142829568,7.098688202,0.248333588,7.162156219
1654618488152760832,6.36296814,0.282761993,6.630461884
1654618488162691840,5.871390381,-0.560733948,5.500461731
1654618488172622592,5.082231445,-1.311422882,5.055437164
1654618488182553856,4.672982483,-1.801803131,4.374203796
1654618488192484864,4.784949646,-2.20326828,3.831133118
1654618488202415616,4.713248749,-2.668351135,3.53834198
1654618488212346880,4.84766922,-3.180136871,3.477418671
1654618488222277632,5.043013,-3.312312012,3.945195923
1654618488232208640,5.162913666,-3.67994751,3.387156372
1654618488242139904,5.250631256,-4.564009094,2.416874084
1654618488252071936,5.043611755,-5.054988098,2.502945099
1654618488262002688,4.823269958,-5.30990799,3.410208435
1654618488271933696,4.994663544,-5.641169128,4.991819458
1654618488281864704,6.670129395,-5.896687775,6.316265259
1654618488291795712,9.162147217,-6.063590698,7.269183655
1654618488301726720,12.0116217,-5.674998779,7.418123932
1654618488311657728,14.95704666,-4.591851196,6.692133636
1654618488321588736,16.74642563,-2.696043549,6.197412415
1654618488331519744,17.2405481,-0.979113922,6.934329987
1654618488341450752,17.79858765,0.086520081,7.433392181
1654618488351381760,18.10170731,1.21457428,6.901997223
1654618488361313792,19.43797852,0.61432251,5.019062805
1654618488371244544,19.51701416,0.204025726,2.187550964
1654618488381175808,19.13665512,-0.586480408,-0.862207031
1654618488391107328,18.64552643,-1.064586182,-1.797911224
1654618488401038336,18.05710007,-1.594633942,-2.160756683
1654618488410969344,17.03173233,-1.545086975,-2.699187012
1654618488420900352,15.89379868,-1.664388885,-2.848726044
1654618488430831360,14.9419281,-1.769320679,-2.963088226
1654618488440762368,14.46262482,-0.956959992,-3.923790436
1654618488450693376,16.31397491,-0.727487183,-7.270830231
1654618488460624384,15.78901657,-1.678160248,-7.806715851
1654618488470556160,12.98669403,-2.770588531,-9.232351227
1654618488480487424,10.57805283,-5.121300201,-9.216484222
1654618488490418432,8.182733917,-6.879394226,-8.144263916
