Time (s),X (hPa)
1654618486461919232,1011.009674
1654618487463604224,1011.03035
1654618488465562368,1011.050949
1654618489467738112,1011.127243
1654618490469628416,1011.334152
1654618491471405312,1011.127243
1654618492021132288,1011.318817
1654618493023047168,1011.088562
1654618494024998144,1011.085892
1654618495026798336,1011.044617
1654618496028735232,1011.021576
1654618497030336256,1010.996552
1654618498032155392,1011.021576
1654618499033773056,1011.11763
1654618500036166144,1011.121216
1654618501037331456,1011.137619
1654618502039043072,1011.137619
1654618503040727040,1011.125336
1654618504042847232,1011.11702
1654618505044601088,1011.084442
1654618506046415360,1011.049957
1654618507048360448,1011.020126
1654618508050105344,1010.999069
1654618509051863296,1010.999069
1654618510053709312,1011.019211
1654618511055636224,1011.065369
1654618512057330176,1011.085663
1654618513058977280,1011.118774
1654618514061237248,1011.118774
1654618515063018240,1011.108475
1654618516065124352,1011.108475
1654618517066772224,1011.125107
1654618518068763136,1011.125107
1654618519070744320,1011.098709
1654618520073270272,1011.098709
1654618521074752256,1011.115799
1654618522076351232,1011.115799
1654618523078220288,1011.117706
1654618524079721216,1011.153412
1654618525081482240,1011.195602
1654618526083161344,1011.195602
1654618527084893184,1011.16478
1654618528086914304,1011.149139
1654618529088617216,1011.135025
1654618530090587136,1011.112061
1654618531092368384,1011.110306
1654618532094393344,1011.110306
1654618533096377088,1011.124954
1654618534098259200,1011.161041
1654618535100273152,1011.177368
1654618536101439232,1011.177368
1654618537103058432,1011.162796
1654618538105579264,1011.158752
1654618539106957312,1011.126862
1654618540108486144,1011.089478
1654618541110255360,1011.025162
1654618542111896320,1010.996094
1654618543113840384,1010.988846
1654618544115571200,1010.988846
1654618545117748224,1011.009674
1654618546119180288,1011.030884
1654618547120766208,1011.039124
1654618548122526208,1011.039124
1654618549124169472,1011.027832
1654618550125991424,1011.010818
1654618551127669248,1010.987015
1654618552129206272,1010.973587
1654618553130989312,1010.973587
1654618554132682240,1011.003418
1654618555134702080,1011.009445
1654618556137115136,1011.043243
1654618557137842176,1011.049728
1654618558139477248,1011.070557
1654618559141141248,1011.070557
1654618560143742208,1011.055908
1654618561144536320,1010.973053
1654618562146019328,1010.955505
1654618563147808256,1010.9375
1654618564149727232,1010.9375
1654618565151326208,1010.965042
1654618566153019136,1010.970154
1654618567155214336,1011.00708
1654618568156863232,1011.036377
1654618569158744320,1011.062546
1654618570160506368,1011.065979
1654618571162281216,1011.073914
1654618572164182272,1011.073914
1654618573165980416,1011.065826
1654618574167646208,1011.023254
1654618575169388288,1011.023254
1654618576170958336,1011.02562
1654618577172680192,1011.0466
1654618578174490112,1011.048279
1654618579176117248,1011.048279
1654618580178058240,1011.040573
1654618581179829248,1011.00563
1654618582181403136,1010.983124
1654618583183183104,1010.983124
1654618584184872192,1010.983124
1654618585186611200,1010.963211
1654618586188284160,1010.951385
1654618587190689280,1010.951385
1654618588192209152,1010.982285
1654618589194239232,1010.983887
1654618590196031232,1010.983887
1654618591197774336,1010.991364
1654618592199773184,1010.992203
1654618593201501184,1011.023865
1654618594203238144,1011.060104
1654618595204901120,1011.075974
1654618596206701312,1011.075974
1654618597208482304,1011.073227
1654618598210446080,1011.045837
1654618599212338176,1011.022263
1654618600214062336,1010.994415
1654618601215903232,1010.984802
1654618602217722368,1010.984802
1654618603219520000,1010.996933
1654618604221218048,1011.00975
1654618605222852352,1011.012955
1654618606224591360,1011.020737
1654618607226319360,1011.029358
1654618608228309504,1011.029968
1654618609230003456,1011.043243
