Time (s);X (rad/s);Y (rad/s);Z (rad/s)
0,021858;-0,775844157;-0,855175734;0,411022276
0,031789;-0,861573398;-0,960836649;0,371844262
0,04172;-0,866241574;-0,960295022;0,304914504
0,051652;-0,803994477;-0,846538901;0,217164695
0,061583;-0,751336396;-0,70244658;0,120974682
0,071514;-0,73539871;-0,502204061;0,017462414
0,081445;-0,779040098;-0,367754102;-0,088242181
0,091376;-0,881965995;-0,320393235;-0,157519266
0,101307;-1,045245528;-0,346753389;-0,226791322
0,111238;-1,239000916;-0,421131223;-0,314318776
0,121169;-1,416642785;-0,523343623;-0,423918098
0,1311;-1,538343906;-0,612911582;-0,525779724
0,141031;-1,586030722;-0,725131035;-0,591387153
0,150962;-1,601769209;-0,816781819;-0,61697799
0,160893;-1,623462319;-0,892897546;-0,628772616
0,170825;-1,657910585;-1,076811075;-0,650486946
0,180756;-1,731921673;-1,285448909;-0,712339759
0,190687;-1,862647176;-1,437952399;-0,798392117
0,200618;-2,082781315;-1,683396459;-0,943849087
0,210549;-2,409903526;-2,343057871;-1,120793462
0,22048;-2,614943266;-2,89690423;-1,130975604
0,230411;-2,535628319;-3,499926567;-1,018120646
0,240342;-2,126272202;-3,828480959;-0,92290318
0,250273;-1,582686901;-3,436188459;-0,983826995
0,260204;-0,999281108;-3,004186153;-1,059882283
0,270135;-0,653041661;-2,271259069;-0,90494442
0,280066;-0,450329483;-1,555218697;-0,527908564
0,289997;-0,297241658;-0,89713943;-0,035726592
0,299929;-0,277280211;-0,477554292;0,371654511
0,30986;-0,241386131;-0,08066871;0,585173488
0,319791;-0,18846637;0,114753097;0,682708263
0,329722;-0,143821135;0,118996307;0,711025655
0,339653;-0,105683595;-0,108414181;0,696690798
0,349584;-0,053884584;-0,436337471;0,662606061
0,359515;0,094595611;-0,612971366;0,652425408
0,369446;0,330204427;-0,751484752;0,62528491
0,379377;0,549226165;-0,952024102;0,501383841
0,38930775;0,650348544;-1,101604104;0,26539287
0,39923875;0,580974042;-1,140987158;-0,074707285
0,40916975;0,392559141;-1,062064171;-0,433323503
0,41910175;0,144876361;-0,824568391;-0,639894188
0,42903275;-0,015097598;-0,541815519;-0,333423764
0,43896375;0,010546334;-0,443788469;0,035395477
0,44889475;0,15443027;-0,718925238;0,040848032
0,45882575;0,349663854;-0,924042225;0,028400861
0,46875675;0,468590766;-0,879677415;0,04725045
0,47868775;0,420592427;-0,630548239;-0,018556837
0,48861875;0,172715262;-0,441925615;-0,124235869
0,49854975;-0,13475439;-0,313028187;-0,176771864
0,50848075;-0,347072005;-0,266859889;-0,182672367
0,51841175;-0,452015519;-0,308240205;-0,111431472
0,52834275;-0,45025596;-0,351542145;0,068401404
0,53827375;-0,328173757;-0,424070954;0,246136859
0,54820575;-0,097934425;-0,498757988;0,329475135
0,55813675;0,138314053;-0,466873914;0,284852713
0,56806775;0,253529608;-0,330641508;0,15668118
0,57799875;0,199142441;-0,26832369;0,154208571
0,58792975;0,080724977;-0,188001946;0,201046124
0,59786075;-0,071182527;-0,132280901;0,167583227
0,60779175;-0,243853912;-0,107232012;0,129500836
0,61772275;-0,337042272;-0,036109228;0,203577265
0,62765375;-0,352629483;-0,043097366;0,270715803
0,63758475;-0,253733873;-0,0551796;0,310367465
0,64751575;-0,067360803;-0,130371824;0,354952246
0,65744675;0,153403521;-0,114668265;0,470270991
0,66737875;0,341332674;-0,045733139;0,564401448
0,67730975;0,446702957;0,022812134;0,557290554
0,68724075;0,439954251;0,109125979;0,48783052
0,69717175;0,305213481;0,214460909;0,40125972
0,70710275;0,099911183;0,294367194;0,309511691
0,71703375;-0,08841753;0,349340975;0,241449282
0,72696475;-0,192970306;0,317632318;0,27779901
0,73689575;-0,167080551;0,172006175;0,381611526
0,74682675;0,006368462;-0,104050174;0,414656818
0,75675775;0,29909423;-0,318828195;0,419415802
0,76668875;0,636054158;-0,512288988;0,403090626
0,77661975;0,864484131;-0,58654958;0,280439258
0,78655175;0,871080756;-0,666777313;0,167075142
0,79648275;0,69120878;-0,747589409;0,100512028
0,80641375;0,325318128;-0,749716222;0,060811486
0,81634475;-0,089004591;-0,718447268;0,035071351
0,82627575;-0,385610938;-0,585750163;0,040830702
0,83620675;-0,505867899;-0,468114406;0,071862459
0,84613775;-0,473701477;-0,348088116;0,106604464
0,85606875;-0,361821175;-0,294744223;0,165666685
0,86599975;-0,22696884;-0,418902665;0,200367406
0,87593075;-0,050333537;-0,626851916;0,242220268
0,88586175;0,158635125;-0,792118132;0,191017002
0,89579275;0,315978706;-0,832969666;0,141085923
0,90572475;0,352817655;-1,027721524;0,117532656
0,91565575;0,285889506;-1,1622926;0,13683112
0,92558675;0,121184975;-1,140254855;0,080138005
0,93551775;-0,06093584;-0,983216941;0,040004309
0,94544875;-0,206810758;-0,843129337;0,068648741
0,95537975;-0,25616312;-0,725764453;0,193053946
0,96531075;-0,274057418;-0,638132334;0,330248833
0,97524175;-0,321483553;-0,616061866;0,399907976
0,98517275;-0,410722882;-0,791207552;0,391421527
0,99510375;-0,552870929;-0,971690238;0,324792087
1,00503475;-0,710564137;-1,034995079;0,2721017
1,01496575;-0,771831393;-0,985656798;0,255105019
1,02489775;-0,69389689;-0,908404648;0,313052207
1,03482875;-0,486273617;-0,830046415;0,475439996
1,04475975;-0,249716237;-0,835840941;0,714133501
1,05469075;-0,067495018;-1,154514194;1,016504407
1,06462175;0,049346648;-1,61310792;1,328462124
1,07455275;0,182735771;-1,886120558;1,553863764
1,08448375;0,343749166;-1,886931181;1,632539868
1,09441475;0,495682299;-1,813284397;1,627104402
1,10434575;0,597622573;-1,80350101;1,564080358
1,11427675;0,679538965;-1,887705564;1,479466558
1,12420775;0,755160749;-1,980608821;1,412801266
1,13413975;0,761754453;-1,989488602;1,461049676
1,14407075;0,782405376;-2,514574051;1,76341784
1,15400175;0,903410494;-3,289092302;2,211041212
1,16393275;1,171738029;-4,111001968;2,601450205
1,17386375;1,577604771;-4,864466667;2,886547565
1,18379475;2,057419538;-5,374568462;3,16683507
1,19372575;2,546964884;-5,64745903;3,498909235
1,20365675;2,923261404;-5,695892334;3,803254128
1,21358775;2,999620914;-5,933828354;4,167537689
1,22351875;2,728387117;-6,382281303;4,575512886
1,23344975;2,320682764;-6,755746841;4,945867062
1,24338075;2,033940315;-6,924388885;5,214769363
1,25331275;1,979414582;-7,061355591;5,554157734
1,26324375;2,062509298;-7,266009808;5,934080124
1,27317475;2,199967861;-7,464291096;6,297427654
1,28310575;2,353310823;-7,323618412;6,702952385
1,29303675;2,46771431;-6,523035049;6,951247215
1,30296775;2,562809229;-4,904953957;6,810260773
1,31289875;2,499923229;-3,040566206;6,361539841
1,32282975;2,30509305;-1,76559031;5,76492548
1,33276075;2,355884075;-1,080047965;4,960271358
1,34269175;2,793642282;-0,827638626;4,129265308
