Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487021858048,-0.775844157,-0.855175734,0.411022276
1654618487031789056,-0.861573398,-0.960836649,0.371844262
1654618487041719808,-0.866241574,-0.960295022,0.304914504
1654618487051651840,-0.803994477,-0.846538901,0.217164695
1654618487061583104,-0.751336396,-0.70244658,0.120974682
1654618487071513856,-0.73539871,-0.502204061,0.017462414
1654618487081444864,-0.779040098,-0.367754102,-0.088242181
1654618487091376128,-0.881965995,-0.320393235,-0.157519266
1654618487101306880,-1.045245528,-0.346753389,-0.226791322
1654618487111237888,-1.239000916,-0.421131223,-0.314318776
1654618487121169152,-1.416642785,-0.523343623,-0.423918098
1654618487131099904,-1.538343906,-0.612911582,-0.525779724
1654618487141030912,-1.586030722,-0.725131035,-0.591387153
1654618487150962176,-1.601769209,-0.816781819,-0.61697799
1654618487160892928,-1.623462319,-0.892897546,-0.628772616
1654618487170824960,-1.657910585,-1.076811075,-0.650486946
1654618487180755968,-1.731921673,-1.285448909,-0.712339759
1654618487190686976,-1.862647176,-1.437952399,-0.798392117
1654618487200617984,-2.082781315,-1.683396459,-0.943849087
1654618487210548992,-2.409903526,-2.343057871,-1.120793462
1654618487220480000,-2.614943266,-2.89690423,-1.130975604
1654618487230411008,-2.535628319,-3.499926567,-1.018120646
1654618487240342016,-2.126272202,-3.828480959,-0.92290318
1654618487250273024,-1.582686901,-3.436188459,-0.983826995
1654618487260204032,-0.999281108,-3.004186153,-1.059882283
1654618487270135040,-0.653041661,-2.271259069,-0.90494442
1654618487280066048,-0.450329483,-1.555218697,-0.527908564
1654618487289997056,-0.297241658,-0.89713943,-0.035726592
1654618487299928832,-0.277280211,-0.477554292,0.371654511
1654618487309860096,-0.241386131,-0.08066871,0.585173488
1654618487319791104,-0.18846637,0.114753097,0.682708263
1654618487329721856,-0.143821135,0.118996307,0.711025655
1654618487339653120,-0.105683595,-0.108414181,0.696690798
1654618487349584128,-0.053884584,-0.436337471,0.662606061
1654618487359514880,0.094595611,-0.612971366,0.652425408
1654618487369446144,0.330204427,-0.751484752,0.62528491
1654618487379376896,0.549226165,-0.952024102,0.501383841
1654618487389307648,0.650348544,-1.101604104,0.26539287
1654618487399238912,0.580974042,-1.140987158,-0.074707285
1654618487409169664,0.392559141,-1.062064171,-0.433323503
1654618487419101696,0.144876361,-0.824568391,-0.639894188
1654618487429032704,-0.015097598,-0.541815519,-0.333423764
1654618487438963712,0.010546334,-0.443788469,0.035395477
1654618487448894720,0.15443027,-0.718925238,0.040848032
1654618487458825728,0.349663854,-0.924042225,0.028400861
1654618487468756736,0.468590766,-0.879677415,0.04725045
1654618487478687744,0.420592427,-0.630548239,-0.018556837
1654618487488618752,0.172715262,-0.441925615,-0.124235869
1654618487498549760,-0.13475439,-0.313028187,-0.176771864
1654618487508480768,-0.347072005,-0.266859889,-0.182672367
1654618487518411520,-0.452015519,-0.308240205,-0.111431472
1654618487528342784,-0.45025596,-0.351542145,0.068401404
1654618487538273792,-0.328173757,-0.424070954,0.246136859
1654618487548205824,-0.097934425,-0.498757988,0.329475135
1654618487558136576,0.138314053,-0.466873914,0.284852713
1654618487568067840,0.253529608,-0.330641508,0.15668118
1654618487577998592,0.199142441,-0.26832369,0.154208571
1654618487587929600,0.080724977,-0.188001946,0.201046124
1654618487597860864,-0.071182527,-0.132280901,0.167583227
1654618487607791616,-0.243853912,-0.107232012,0.129500836
1654618487617722624,-0.337042272,-0.036109228,0.203577265
1654618487627653888,-0.352629483,-0.043097366,0.270715803
1654618487637584640,-0.253733873,-0.0551796,0.310367465
1654618487647515648,-0.067360803,-0.130371824,0.354952246
1654618487657446912,0.153403521,-0.114668265,0.470270991
1654618487667378688,0.341332674,-0.045733139,0.564401448
1654618487677309696,0.446702957,0.022812134,0.557290554
1654618487687240960,0.439954251,0.109125979,0.48783052
1654618487697171712,0.305213481,0.214460909,0.40125972
1654618487707102720,0.099911183,0.294367194,0.309511691
1654618487717033984,-0.08841753,0.349340975,0.241449282
1654618487726964736,-0.192970306,0.317632318,0.27779901
1654618487736895744,-0.167080551,0.172006175,0.381611526
1654618487746826752,0.006368462,-0.104050174,0.414656818
1654618487756757760,0.29909423,-0.318828195,0.419415802
1654618487766688768,0.636054158,-0.512288988,0.403090626
1654618487776619776,0.864484131,-0.58654958,0.280439258
1654618487786551808,0.871080756,-0.666777313,0.167075142
1654618487796482816,0.69120878,-0.747589409,0.100512028
1654618487806413568,0.325318128,-0.749716222,0.060811486
1654618487816344832,-0.089004591,-0.718447268,0.035071351
1654618487826275840,-0.385610938,-0.585750163,0.040830702
1654618487836206592,-0.505867899,-0.468114406,0.071862459
1654618487846137856,-0.473701477,-0.348088116,0.106604464
1654618487856068864,-0.361821175,-0.294744223,0.165666685
1654618487865999616,-0.22696884,-0.418902665,0.200367406
1654618487875930880,-0.050333537,-0.626851916,0.242220268
1654618487885861632,0.158635125,-0.792118132,0.191017002
1654618487895792640,0.315978706,-0.832969666,0.141085923
1654618487905724672,0.352817655,-1.027721524,0.117532656
1654618487915655936,0.285889506,-1.1622926,0.13683112
1654618487925586688,0.121184975,-1.140254855,0.080138005
1654618487935517696,-0.06093584,-0.983216941,0.040004309
1654618487945448704,-0.206810758,-0.843129337,0.068648741
1654618487955379712,-0.25616312,-0.725764453,0.193053946
1654618487965310720,-0.274057418,-0.638132334,0.330248833
1654618487975241728,-0.321483553,-0.616061866,0.399907976
1654618487985172736,-0.410722882,-0.791207552,0.391421527
1654618487995103744,-0.552870929,-0.971690238,0.324792087
1654618488005034752,-0.710564137,-1.034995079,0.2721017
1654618488014965760,-0.771831393,-0.985656798,0.255105019
1654618488024897792,-0.69389689,-0.908404648,0.313052207
1654618488034828544,-0.486273617,-0.830046415,0.475439996
1654618488044759808,-0.249716237,-0.835840941,0.714133501
1654618488054690816,-0.067495018,-1.154514194,1.016504407
1654618488064621568,0.049346648,-1.61310792,1.328462124
1654618488074552832,0.182735771,-1.886120558,1.553863764
1654618488084483840,0.343749166,-1.886931181,1.632539868
1654618488094414592,0.495682299,-1.813284397,1.627104402
1654618488104345856,0.597622573,-1.80350101,1.564080358
1654618488114276608,0.679538965,-1.887705564,1.479466558
1654618488124207616,0.755160749,-1.980608821,1.412801266
1654618488134139904,0.761754453,-1.989488602,1.461049676
1654618488144070912,0.782405376,-2.514574051,1.76341784
1654618488154001664,0.903410494,-3.289092302,2.211041212
1654618488163932928,1.171738029,-4.111001968,2.601450205
1654618488173863680,1.577604771,-4.864466667,2.886547565
1654618488183794688,2.057419538,-5.374568462,3.16683507
1654618488193725952,2.546964884,-5.64745903,3.498909235
1654618488203656704,2.923261404,-5.695892334,3.803254128
1654618488213587712,2.999620914,-5.933828354,4.167537689
1654618488223518976,2.728387117,-6.382281303,4.575512886
1654618488233449728,2.320682764,-6.755746841,4.945867062
1654618488243380736,2.033940315,-6.924388885,5.214769363
1654618488253312768,1.979414582,-7.061355591,5.554157734
1654618488263243776,2.062509298,-7.266009808,5.934080124
1654618488273174784,2.199967861,-7.464291096,6.297427654
1654618488283105792,2.353310823,-7.323618412,6.702952385
1654618488293036800,2.46771431,-6.523035049,6.951247215
1654618488302967808,2.562809229,-4.904953957,6.810260773
1654618488312898560,2.499923229,-3.040566206,6.361539841
1654618488322829824,2.30509305,-1.76559031,5.76492548
1654618488332760832,2.355884075,-1.080047965,4.960271358
1654618488342691584,2.793642282,-0.827638626,4.129265308
1654618488352622848,3.108125448,-1.219333887,3.199519873
1654618488362554880,2.969718695,-1.812493563,2.44107008
1654618488372485632,2.45000577,-1.741473079,1.919569254
1654618488382416640,1.901421309,-1.158985972,1.594535828
1654618488392348416,1.606213927,-0.488500595,1.308326602
1654618488402279424,1.385926843,-0.099376805,1.032460451
1654618488412210432,1.335105658,-0.104323298,0.715790987
1654618488422141440,1.413687825,-0.39051351,0.372565985
1654618488432072448,1.542862058,-0.811566651,-0.060973458
