Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487021858048,-0.491357026,-0.127333646,-0.889990076
1654618487031789056,-0.231377247,-0.110338129,-0.826959431
1654618487041719808,-0.036812316,-0.047067162,-0.608522072
1654618487051651840,-0.011426921,0.09705384,-0.213663107
1654618487061583104,-0.077970574,0.154552435,0.040818243
1654618487071513856,-0.215554097,0.203755585,0.19458832
1654618487081444864,-0.198316505,0.246288524,0.15481439
1654618487091376128,0.135545768,-0.008507699,-0.03457634
1654618487101306880,0.24132073,-0.152482813,-0.308413729
1654618487111237888,0.282919576,-0.008370874,-0.680613563
1654618487121169152,0.241995498,0.264699652,-0.842183826
1654618487131099904,0.241798447,0.562598333,-0.694798324
1654618487141030912,0.207578495,0.70742597,-0.571352491
1654618487150962176,0.006394807,0.646598848,-0.379954997
1654618487160892928,-0.161294859,0.572569005,-0.445731495
1654618487170824960,-0.128760366,0.457206363,-0.611153319
1654618487180755968,0.007371,0.453596292,-0.415331821
1654618487190686976,0.122525188,0.66388234,-0.419374001
1654618487200617984,0.056042054,0.861772583,-0.651118453
1654618487210548992,-0.146266638,0.881095292,-0.538193516
1654618487220480000,-0.105717513,0.758514555,-0.443938154
1654618487230411008,-0.75311816,1.217004821,-0.608010441
1654618487240342016,-1.334712196,1.24492016,0.038269442
1654618487250273024,-0.800111794,0.729840687,0.696684635
1654618487260204032,0.25058959,0.135124184,0.36189938
1654618487270135040,0.884072183,-0.430854278,1.207202695
1654618487280066048,0.553004148,-0.83540281,1.867020636
1654618487289997056,0.715269279,-0.579768681,1.579389666
1654618487299928832,0.938644466,-0.110778278,1.213332916
1654618487309860096,1.146000766,0.048293324,0.937833164
1654618487319791104,1.062629411,0.040897473,0.338383048
1654618487329721856,1.042428743,0.245895299,-0.045342819
1654618487339653120,0.821632763,0.251600866,-0.128905962
1654618487349584128,0.463881326,0.109075276,-0.119685488
1654618487359514880,0.171455858,0.036846814,-0.227036274
1654618487369446144,-0.267366841,-0.060220766,-0.160231835
1654618487379376896,-0.280358386,-0.21464924,0.133961465
1654618487389307648,0.319136243,-0.329828279,0.640637904
1654618487399238912,0.829522923,-0.30008744,0.580146119
1654618487409169664,1.211945372,-0.316096678,-0.181687024
1654618487419101696,1.224889572,-0.285992872,-0.786054064
1654618487429032704,0.540289378,-0.09227111,-1.405278295
1654618487438963712,-2.093716894,0.892906521,-1.399914644
1654618487448894720,-3.010692455,1.324037665,-0.603113397
1654618487458825728,0.054917853,-0.440713999,0.500463772
1654618487468756736,0.465962203,-0.206468547,0.627744209
1654618487478687744,-0.037787631,0.292924747,0.244244045
1654618487488618752,-0.408891405,0.460254225,-0.492151371
1654618487498549760,0.06111656,0.710615627,-0.872368907
1654618487508480768,0.129265712,0.878721176,-1.189203796
1654618487518411520,-0.311606381,0.888433401,-1.027475658
1654618487528342784,-0.380010472,0.6498958,-0.641247768
1654618487538273792,-0.167656191,0.316881082,-0.521141281
1654618487548205824,-0.537406116,-0.095404194,-0.186159559
1654618487558136576,-0.838289142,-0.405028588,0.448483779
1654618487568067840,-0.605646631,-0.572021559,0.432189928
1654618487577998592,-0.352609396,-0.605269412,0.147236399
1654618487587929600,-0.102684854,-0.064524609,0.187587449
1654618487597860864,0.235167266,0.265080306,-0.118156441
1654618487607791616,0.358688454,0.013722684,-0.379549785
1654618487617722624,0.457090369,-0.071571674,-0.186029751
1654618487627653888,-0.096181727,0.017306735,-0.093397576
1654618487637584640,0.072735416,-0.219312979,0.215598536
1654618487647515648,0.264719094,-0.47619622,0.38029472
1654618487657446912,0.138253906,-0.530250074,0.551227545
1654618487667378688,0.293950275,-0.568197188,0.372538973
1654618487677309696,0.342800327,-0.605624923,-0.038669976
1654618487687240960,0.357180677,-0.575102896,-0.223258973
1654618487697171712,0.425354606,-0.121471374,-0.403116403
1654618487707102720,0.697729387,0.386658537,-0.747809765
1654618487717033984,0.713342549,0.556300004,-1.028517632
1654618487726964736,0.674892793,0.50880161,-1.204400709
1654618487736895744,0.492622072,0.400521262,-1.103054429
1654618487746826752,0.222893376,0.173187511,-0.640659539
1654618487756757760,0.017001876,-0.207178253,0.244473841
1654618487766688768,0.1084008,-0.323738988,0.717048733
1654618487776619776,0.411394452,-0.432111137,0.923088825
1654618487786551808,0.794628421,-0.218501824,0.737988197
1654618487796482816,1.230360739,0.199732847,0.394100581
1654618487806413568,1.559432242,0.417278213,-0.065150846
1654618487816344832,1.056832481,0.538880272,-0.42832258
1654618487826275840,1.318932754,0.755346242,-0.363534261
1654618487836206592,1.450626229,0.655857329,-0.178900241
1654618487846137856,1.203614405,0.525683837,0.479762875
1654618487856068864,1.135603539,0.181505321,0.733479994
1654618487865999616,1.06081999,-0.056976146,0.733182371
1654618487875930880,0.806446667,-0.060803003,0.830958341
1654618487885861632,0.618237221,0.19384894,0.926007171
1654618487895792640,0.913502023,-0.068069922,0.533149123
1654618487905724672,0.964306872,0.11556437,-0.412866635
1654618487915655936,1.132719254,0.543418442,-0.617240855
1654618487925586688,1.501776503,0.800220113,-0.832717184
1654618487935517696,2.160372521,0.543943668,-1.093736891
1654618487945448704,2.291047412,-0.062929197,-1.087358163
1654618487955379712,1.854231606,-0.260362334,-0.962445849
1654618487965310720,1.649885452,-0.501492298,-0.846573916
1654618487975241728,1.607168325,-0.778081824,-0.896870495
1654618487985172736,1.81699449,-1.103701715,-1.111570898
1654618487995103744,2.044282194,-1.062414672,-1.478752652
1654618488005034752,2.243863744,-0.866022047,-2.067266137
1654618488014965760,2.198965314,-0.816790246,-2.564895179
1654618488024897792,2.132053579,-0.632115149,-2.51818996
1654618488034828544,2.099215908,-0.550820871,-2.154346966
1654618488044759808,1.963061737,-0.678334611,-2.143945938
1654618488054690816,1.773301171,-0.966679526,-2.578320386
1654618488064621568,1.359613002,-1.462036048,-2.974274535
1654618488074552832,0.85092746,-1.919694401,-3.419427155
1654618488084483840,0.289704685,-2.219859024,-3.600248791
1654618488094414592,0.351055133,-2.306893805,-3.412499959
1654618488104345856,0.557440504,-2.175512571,-2.804405903
1654618488114276608,0.950712242,-2.029581417,-2.263561844
1654618488124207616,1.459946837,-1.724559366,-1.899649268
1654618488134139904,2.144041248,-1.253797402,-1.649012462
1654618488144070912,2.322309697,-0.965356812,-1.435251707
1654618488154001664,1.573958187,-0.752439445,-1.151095737
1654618488163932928,0.628692627,-1.113409994,-2.08969781
1654618488173863680,-0.370911693,-2.002940041,-2.531632124
1654618488183794688,-1.520702332,-2.51800051,-2.719710739
1654618488193725952,-1.998460196,-2.930837324,-3.038250675
1654618488203656704,-2.368174379,-3.249123491,-2.982939523
1654618488213587712,-2.826330038,-3.706611983,-2.80932692
1654618488223518976,-2.954703904,-3.855276563,-1.993521053
1654618488233449728,-3.245723335,-3.75015649,-1.351245929
1654618488243380736,-3.391943488,-4.116490105,-1.79361089
1654618488253312768,-3.824233403,-4.508581875,-1.664743811
1654618488263243776,-4.197795639,-4.362032525,-0.522190856
1654618488273174784,-4.595423845,-4.14289847,1.487164164
1654618488283105792,-3.747529628,-3.924040112,3.625185996
1654618488293036800,-1.512619725,-3.531145812,5.433027547
1654618488302967808,1.279963692,-2.874315214,6.440049645
1654618488312898560,4.446820368,-1.555511099,6.453164949
1654618488322829824,7.228725016,0.424680057,5.66813064
1654618488332760832,8.430816075,2.954372951,5.919710017
1654618488342691584,9.094259874,4.501550306,6.659734215
1654618488352622848,9.649679287,6.125176497,6.6525398
1654618488362554880,10.65063314,6.486905723,5.335516455
1654618488372485632,11.69447925,6.041868292,3.022491844
1654618488382416640,11.42846135,5.611641274,-0.269986997
1654618488392348416,11.05387936,4.991839923,-2.32211937
1654618488402279424,10.65242473,4.633538336,-2.808823475
1654618488412210432,9.885485215,4.336350676,-3.449781806
1654618488422141440,8.805778134,4.506862502,-3.705006337
1654618488432072448,7.643038836,4.217973796,-4.014143366
1654618488442003456,7.063986731,4.533443359,-4.188015586
1654618488451934464,7.147753358,5.337142566,-6.887332991
1654618488461865472,8.944319138,4.358941394,-8.473957416
1654618488471797504,6.275461634,3.784106301,-9.500165398
1654618488481728256,3.724254202,1.47572321,-10.23533348
1654618488491659520,1.253100999,-0.657521739,-9.4638308
1654618488501590528,-1.148239957,-2.140894276,-7.848790661
1654618488511521280,-2.661042116,-3.35417983,-4.3436404
1654618488521452544,-3.504196579,-4.199291357,-1.339743286
1654618488531383296,-3.269006363,-4.142489165,-0.954288983
1654618488541314304,-2.342181167,-3.493606102,-1.905970693
1654618488551245568,-0.871180753,-2.218518111,-2.678574407
1654618488561176320,0.471476201,-1.641157605,-2.729967924
1654618488571107328,0.306545543,-1.567379192,-1.08668968
1654618488581039360,-0.585292254,-2.166417958,1.090193405
1654618488590970368,-0.187886826,-2.133656885,2.863407233
1654618488600901376,1.958869869,-1.340094996,4.249628867
1654618488610832384,4.022910681,0.056418907,4.218326383
1654618488620763392,3.704384193,-0.103634588,1.85791082
1654618488630694400,1.947045044,0.437693474,-1.875739857
1654618488640625408,-0.059716444,1.501371875,-3.445009893
1654618488650556416,-1.753141433,0.856378965,-2.144351881
1654618488660487424,-2.467999799,-0.348940488,0.080931312
1654618488670418176,-2.199083428,-0.375249304,1.392482686
1654618488680350208,-4.465913281,-1.863253421,2.040877214
1654618488690281472,-4.369785056,-1.720501106,1.183375949
1654618488700212480,-3.621796365,-1.24757655,-0.453771928
1654618488710143232,-3.481626912,0.378484751,-2.19465767
1654618488720074496,-3.949219392,1.688161618,-2.966451545
1654618488730005248,-5.255774467,2.635211163,-3.025649925
1654618488739936256,-7.704444541,3.484394984,-3.058482041
1654618488749867520,-9.631773359,2.694280905,-3.401655128
1654618488759798272,-8.321394789,0.262461484,-4.630308334
1654618488769729280,-3.154868714,-1.906009577,-3.478629044
1654618488779660544,1.343396627,-0.896376552,1.856473574
1654618488789592320,5.703351928,0.2358606,6.336965572
1654618488799523328,7.218214061,0.983795495,4.806806538
1654618488809454336,4.898154665,0.100691392,2.676029699
1654618488819385344,0.872099351,-2.649124905,0.300223972
1654618488829316352,-3.299942227,-4.455459921,-1.743530949
1654618488839247360,-1.674812717,-7.674491594,-0.644645878
1654618488849178368,1.08142207,-8.434870534,-0.290794606
1654618488859109376,1.300023735,-6.376485733,-3.20615815
1654618488869040384,1.91899829,-4.584876053,-3.547171276
1654618488878971392,2.500182289,-2.504505136,-3.703654461
1654618488888903424,2.443064933,-0.103553312,-3.374655025
1654618488898834432,3.118928803,-2.34392276,-2.338005816
1654618488908765440,2.652019862,-3.067467458,-2.110175929
1654618488918696448,3.474226676,-0.312425211,-2.490873815
1654618488928627456,5.825637088,-2.390041504,-0.675886601
1654618488938558464,6.054249771,-4.47155789,1.798764918
1654618488948489472,5.024457446,-3.986083748,2.73663492
1654618488958421504,5.153283886,-3.684808008,2.024179759
1654618488968352256,4.394753251,-1.300233065,0.614734154
1654618488978283520,1.374113805,1.318331367,-3.227734376
1654618488988214528,2.127776633,3.723035934,-3.399113928
1654618488998145280,-0.811096519,1.24642611,-4.26540407
1654618489008076544,-2.803724118,-1.759599975,-3.578054515
1654618489018008576,-5.551267018,-2.469039727,-3.963512911
1654618489027939328,-3.823439351,-0.887546233,-1.211427893
1654618489037870336,-1.109757092,0.436993416,-0.674834175
1654618489047801344,-0.002568682,1.775138366,-1.043377234
1654618489057732352,-2.134736574,2.382105955,-0.495244548
1654618489067663360,-3.207672579,2.316278294,-0.472227056
1654618489077594368,-1.982939932,0.892012921,-0.174682132
1654618489087525376,-1.617750909,-1.285520009,0.653652563
1654618489097456384,-1.338980809,-6.151695374,1.556517112
1654618489107387392,0.439700092,-6.271763855,0.334474038
1654618489117319424,-0.252459383,-0.737228644,-1.367029903
1654618489127250432,-2.081471363,4.637197523,-0.49065039
1654618489137181184,-3.180107051,7.215658243,-0.967679253
1654618489147112448,-3.350703076,7.359716095,-2.005500975
1654618489157043456,-2.340233459,3.552379391,-1.583025903
1654618489166974208,0.344991571,-1.129948112,0.703763275
1654618489176905472,2.292797922,-1.447101382,2.526681286
1654618489186836480,2.07298179,-0.294783869,1.251700445
1654618489196767232,0.666170356,-0.804831812,-1.222133706
1654618489206698496,-0.974322714,0.42031131,-2.060088534
1654618489216629248,-0.016045344,2.617157593,-1.238846218
1654618489226561280,0.558165266,1.785075124,-0.471999088
1654618489236492288,0.610782021,0.515701616,-0.236652678
1654618489246423552,1.186449172,0.669367321,-0.649468296
1654618489256354304,0.687065966,1.274227574,-1.712095733
1654618489266285312,-0.363658222,5.00540254,-2.184754826
1654618489276216320,-0.25941757,6.653519209,-1.878985208
1654618489286147328,4.368931362,-4.707904978,-4.200812218
1654618489296078336,0.037167826,-3.504286627,-5.339441106
1654618489306009344,-4.126439728,-2.222989184,-4.998028032
1654618489315940352,-3.429414784,-3.008076704,-3.205548871
1654618489325872384,-2.294500632,-1.959238828,-0.05071937
1654618489335803392,-0.784853631,-2.024094974,0.096331087
1654618489345734400,0.167228614,-1.551254033,-0.469529699
1654618489355665408,0.108904976,-1.003917226,-0.560873733
1654618489365596416,0.451084036,0.00740199,-1.257233811
1654618489375527424,0.64086653,0.979647773,-1.501851493
1654618489385457664,0.577791445,0.941470133,-1.078286208
1654618489395388672,0.90767615,0.480361045,-0.93521427
1654618489405319680,1.618702251,0.247954103,-0.517399136
1654618489415251712,1.306006021,0.290333553,0.217795919
1654618489425182464,0.084663005,0.494548144,-0.13655529
1654618489435113728,-0.41743331,1.924625065,-0.314127628
1654618489445044736,-1.552226425,3.278453709,1.144428157
1654618489454975488,-3.091581375,2.8847063,1.790677049
1654618489464906752,-4.124254623,1.336737233,2.396757324
1654618489474837760,-4.29743044,-1.002015127,3.411890679
1654618489484768512,-3.948661568,-1.354724438,3.263356783
1654618489494699776,-3.320258378,-0.446874041,2.348958675
1654618489504630528,-3.251022082,1.123952962,0.69328331
1654618489514562560,-3.692522532,2.541644311,-0.838272039
1654618489524493568,-3.601467351,2.633498806,-0.870710052
1654618489534424832,-3.617862943,1.263141838,-0.803295164
1654618489544355584,-5.316678481,0.429357537,-0.150840622
1654618489554286592,-6.463879972,0.243231892,-1.099101053
1654618489564217600,-5.968272312,-0.11749746,-3.650194538
1654618489574148608,-3.728965888,-1.155151366,-4.910770032
1654618489584079616,-2.152766463,-2.883528087,-3.766400932
1654618489594010624,-0.021618326,-5.516608232,-1.536845617
1654618489603941632,2.736397523,-7.871165031,-1.815401416
1654618489613873664,2.940506864,-5.790779496,-3.399864418
1654618489623804672,1.950721774,-1.325873106,-4.13554852
1654618489633735680,1.998804597,1.403921156,-3.432393941
1654618489643666688,3.072936358,1.07265417,-2.310891985
1654618489653597696,4.777362299,-1.704115453,-1.449472135
1654618489663528704,6.053128275,-5.203429608,-0.954918144
1654618489673459712,6.257194347,-6.783102279,0.835233972
1654618489683390720,4.433415626,-5.821430601,1.236440527
1654618489693321728,0.571330857,-3.425625789,-0.608364197
1654618489703253760,-1.941361551,-1.702855963,-2.202962763
1654618489713184512,-2.367076857,-0.838934528,-2.93535956
1654618489723115776,-2.136194285,0.829871344,-2.732241322
1654618489733046784,-2.670327494,1.204773762,0.314246984
1654618489742977536,-4.794961249,1.226431264,1.484821039
1654618489752908800,-6.19323224,-0.150246545,-0.03891914
1654618489762839552,-2.530161549,-0.910305058,-3.07583073
1654618489772770560,2.954241389,-1.778066944,-5.10933212
1654618489782701824,4.954717705,-2.255557006,-5.942492523
1654618489792632576,6.45747961,-0.990744619,-4.122757151
1654618489802564608,6.408520288,-2.058652896,-2.104849116
1654618489812495616,4.455022257,-4.893756097,-0.867588809
1654618489822426624,1.625786152,-4.868783516,-0.226960845
1654618489832357632,0.929903171,-2.638252008,0.623949366
1654618489842288640,1.508807341,0.023908972,3.213938456
1654618489852219648,-0.077608924,-0.849388473,2.773233812
1654618489862150656,-3.332985427,-0.586350892,1.696263227
1654618489872081664,-5.272167721,-0.189226424,0.782590174
1654618489882012672,-5.159604726,-0.375495618,0.553765163
1654618489891944704,-5.585866163,-0.765520689,-0.616599269
1654618489901875712,-6.314809302,-0.272117722,-2.907059036
1654618489911806464,-5.389357032,-0.211780011,-3.755618666
1654618489921737728,-3.35356061,-0.822838313,-4.155358887
1654618489931668736,0.768598371,-0.629641338,-3.867727332
1654618489941599488,3.671000685,-0.839435635,-2.309144983
1654618489951530752,3.12859542,-1.420144256,-2.184511582
1654618489961461760,1.279616368,-2.426881302,-3.439408261
1654618489971392512,-0.451176422,-3.211327089,-4.559526619
1654618489981323776,-0.380671865,-2.651830997,-1.319489701
1654618489991255808,1.105415534,-3.928266772,3.085174581
1654618490001186560,1.715685339,-4.598778685,2.023404418
1654618490011117824,2.483200806,-3.057359668,-0.071976959
1654618490021048832,1.181113588,-0.336167245,0.80052468
1654618490030979584,0.438541174,2.245969034,1.306935729
1654618490040910848,-2.023279873,2.433449771,-1.520108839
