Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (°)
0,029191971;52,32157628;4,954481497;-0,650213242;-1;-1;12,13072648;12,13072648
0,599792004;52,32157628;4,954481497;-0,636719704;-1;-1;12,13072648;12,13072648
2,106291294;52,32164208;4,954552146;-2,45680837;1,036428332;122,0550639;33,48971959;33,48971959
3,106291294;52,32164208;4,954552146;-2,456808303;1,036428332;-1;33,48971959;33,48971959
4,106292486;52,32154333;4,954793392;-2,484940046;1,036428332;125,6886279;22,22540901;22,22540901
5,106293201;52,3214297;4,954809322;-2,443440315;1,696673512;144,6704293;14,82073757;14,82073757
6,10629344;52,32139715;4,95484566;-2,381780048;2,40614152;142,5500427;12,55060644;12,55060644
7,106938839;52,32138191;4,954827054;-2,399207506;2,45299077;148,5540084;11,30213073;11,30213073
8,106746554;52,32136575;4,954800043;-2,368770679;2,423834085;147,6784942;9,671800302;9,671800302
9,056003332;52,32134272;4,954810634;-2,374016018;2,45299077;145,3467528;8,540103557;8,540103557
10,02352059;52,32134228;4,954871025;-2,210016704;2,924648285;141,4621022;12,96448643;12,96448643
11,02270961;52,32132887;4,954914628;-1,982560367;3,340405703;141,5495635;18,32353591;18,32353591
12,02221191;52,32130661;4,954952139;-1,958023945;3,593739271;149,376703;6,088381061;6,088381061
13,02183628;52,32127829;4,954985896;-1,772978893;3,593739271;150,1677584;5,889436482;5,889436482
14,02139521;52,32125089;4,955031995;-1,134039584;3,814135313;145,5447792;5,565264696;5,565264696
15,02090454;52,32121472;4,955042052;-0,960264229;3,814135313;161,8253098;7,011125587;7,011125587
16,02051389;52,32118914;4,95497299;-0,689688991;3,801016808;219,6175127;7,188504257;7,188504257
17,02015269;52,3211701;4,95488933;-0,658831577;4,590884686;242,7210897;5,154223124;5,154223124
18,01980591;52,32115601;4,954832233;-0,683458201;4,590884686;242,4354777;8,425759849;8,425759849
19,01948464;52,32114627;4,954767743;-1,045191579;4,831439972;248,4864668;7,467289676;7,467289676
20,01918304;52,32112184;4,954711806;-1,402334358;4,889689445;240,4121185;8,834027223;8,834027223
21,01891065;52,32110609;4,95465785;-1,664588386;4,680240154;240,797538;9,000794137;9,000794137
22,01864755;52,32108508;4,954600909;-1,778413315;4,785095692;240,0709901;6,761908704;6,761908704
23,0187242;52,32114353;4,954569759;0,926645419;5,301052397;253,8522339;4,84466916;4,84466916
24,01849473;52,32111856;4,954509128;0,506964763;5,181544981;241,3643099;4,840316077;4,840316077
25,01828051;52,32110201;4,954442279;0,14813371;5,019575593;242,9785937;4,830070855;4,830070855
26,01807904;52,3210715;4,954382022;-0,292823562;4,898829918;240,2340277;4,815108147;4,815108147
27,01789153;52,32105825;4,954318581;-0,26159139;4,781069101;245,0896589;4,812725888;4,812725888
28,01771486;52,32104591;4,9542539;-0,555516212;4,79974972;247,2179844;4,810504784;4,810504784
29,01754963;52,32102009;4,954196037;-0,79548535;5,014871963;235,9828008;4,810923375;4,810923375
30,01739538;52,3210106;4,954130295;-0,520908912;4,775163381;245,6156176;4,812566626;4,812566626
