Time (s);X (µT);Y (µT);Z (µT)
0,021858;-4,450469971;-15,68991852;-43,1831665
0,031789;-4,768875122;-15,60356903;-43,17950439
0,04172;-4,845657349;-15,35240936;-43,34503174
0,051652;-5,42288208;-14,6774826;-43,6262207
0,061583;-5,804481506;-14,06957245;-43,56072998
0,071514;-6,514671326;-13,99297333;-43,52313232
0,081445;-6,562446594;-13,60282135;-43,91253662
0,091376;-6,813293457;-13,13212585;-43,79388428
0,101307;-6,551727295;-12,82749939;-43,92608643
0,111238;-6,94834137;-12,69547272;-43,84771729
0,121169;-6,999923706;-11,9964447;-43,99676514
0,1311;-7,05683136;-11,57001495;-44,42144775
0,141031;-7,403427124;-11,04849243;-44,61102295
0,150962;-7,662368774;-10,3968277;-44,6708374
0,160893;-8,11076355;-9,821311951;-44,87463379
0,170825;-8,240020752;-9,301513672;-44,93615723
0,180756;-8,557182312;-8,702819824;-44,7489624
0,190687;-8,978797913;-7,682052612;-44,66564941
0,200618;-9,465515137;-6,983383179;-44,7008667
0,210549;-10,215065;-6,245376587;-44,64331055
0,22048;-10,8509903;-5,552742004;-44,81549072
0,230411;-12,24567413;-4,303710938;-44,58276367
0,240342;-13,79747772;-3,559165955;-44,53594971
0,250273;-15,29547119;-2,524551392;-43,93652344
0,260204;-16,66235352;-1,97479248;-43,25036621
0,270135;-17,9637146;-1,737220764;-42,91912842
0,280066;-19,07794189;-1,561355591;-42,53088379
0,289997;-19,92955017;-1,337303162;-42,2532959
0,299929;-20,44872284;-1,127059937;-42,31750488
0,30986;-20,75119019;-0,910331726;-42,10253906
0,319791;-20,81796265;-0,576530457;-42,2557373
0,329722;-20,84887695;-0,57585144;-41,99932861
0,339653;-21,0255661;-0,248847961;-42,14807129
0,349584;-20,90789795;-0,037384033;-42,25012207
0,359515;-20,87599945;-0,01512146;-42,34692383
0,369446;-21,09391022;-0,005249023;-42,08013916
0,379377;-21,38038635;-0,060127258;-42,25201416
0,38930775;-21,63816833;-0,278663635;-41,47149658
0,39923875;-22,1969986;-0,423576355;-40,91156006
0,40916975;-22,77101898;-0,482139587;-40,58898926
0,41910175;-23,28440094;-0,567489624;-40,82946777
0,42903275;-23,82559967;-1,019645691;-40,32818604
0,43896375;-24,05789948;-1,307182312;-40,30419922
0,44889475;-24,26017761;-1,173866272;-39,9743042
0,45882575;-24,65125275;-1,299827576;-40,12683105
0,46875675;-24,81911469;-1,465652466;-40,16241455
0,47868775;-25,11714935;-1,450233459;-40,03771973
0,48861875;-25,30045319;-1,422401428;-40,0324707
0,49854975;-25,62563324;-1,624816895;-39,8114624
0,50848075;-25,54161072;-1,511779785;-40,18554688
0,51841175;-25,75352478;-1,356307983;-39,91778564
0,52834275;-26,01080322;-1,509147644;-39,19372559
0,53827375;-26,10712433;-1,213409424;-38,9977417
0,54820575;-26,25283813;-1,098548889;-38,94915771
0,55813675;-26,28079224;-0,815551758;-39,67993164
0,56806775;-26,46604919;-0,952758789;-39,10467529
0,57799875;-26,76106262;-1,219070435;-38,86450195
0,58792975;-26,83972168;-0,988471985;-38,71368408
0,59786075;-26,90241241;-0,976356506;-39,04577637
0,60779175;-26,97981262;-0,851615906;-38,74084473
0,61772275;-27,151474;-0,823997498;-38,70532227
0,62765375;-27,29230499;-0,874305725;-38,45837402
0,63758475;-27,09657288;-0,649101257;-38,53369141
0,64751575;-26,85800171;-0,13621521;-38,65618896
0,65744675;-26,91665649;-0,223472595;-39,23901367
0,66737875;-26,81040955;-0,153907776;-38,90643311
0,67730975;-26,9339447;-0,131256104;-38,93719482
0,68724075;-27,03264618;-0,46761322;-39,0894165
0,69717175;-27,41455841;-0,246803284;-38,8951416
0,70710275;-27,26572418;-0,294662476;-38,96282959
0,71703375;-27,10847473;0,002914429;-39,20324707
0,72696475;-26,66130066;-0,293746948;-38,83483887
0,73689575;-26,7749939;-0,13470459;-39,4173584
0,74682675;-26,79088593;-0,080154419;-39,16461182
0,75675775;-26,85626984;0,026161194;-39,04187012
0,76668875;-26,8211441;0,244865418;-38,87036133
0,77661975;-26,90929413;0,040565491;-38,7678833
0,78655175;-27,25621033;-0,272819519;-38,93005371
0,79648275;-27,65405273;-0,701400757;-38,59936523
0,80641375;-28,07051849;-1,077766418;-38,25878906
0,81634475;-28,15686035;-1,018493652;-38,08624268
0,82627575;-28,14347839;-0,981765747;-38,09069824
0,83620675;-28,47211456;-0,890609741;-37,94750977
0,84613775;-28,64187622;-0,645309448;-37,76922607
0,85606875;-28,96168518;-0,376861572;-37,47595215
0,86599975;-29,16667938;-0,208236694;-37,42950439
0,87593075;-29,40090942;-0,119186401;-37,25714111
0,88586175;-29,50045013;-0,132553101;-36,98773193
0,89579275;-29,68830109;-0,068077087;-37,20031738
0,90572475;-29,97149658;-0,161705017;-37,02410889
0,91565575;-30,2995224;-0,088905334;-36,66052246
0,92558675;-30,73039246;-0,36668396;-36,53845215
0,93551775;-31,13446808;-0,497787476;-36,28216553
0,94544875;-31,55478668;-0,411018372;-35,90161133
0,95537975;-32,0450592;-0,347343445;-36,00354004
0,96531075;-32,45277405;0,011390686;-35,63793945
0,97524175;-32,26670837;0,149856567;-34,8885498
0,98517275;-32,39897919;0,354286194;-35,19238281
0,99510375;-32,49399567;0,358268738;-34,85247803
1,00503475;-33,03570557;0,725547791;-34,45654297
1,01496575;-33,47285461;0,999313355;-33,95739746
1,02489775;-33,60778809;1,461196899;-33,46673584
1,03482875;-34,21034241;1,602256775;-33,56530762
1,04475975;-34,49828339;2,052085876;-32,89581299
1,05469075;-34,91205597;2,369728088;-32,79406738
1,06462175;-35,16179657;3,179542542;-32,68060303
1,07455275;-35,61912537;3,392204285;-32,23852539
1,08448375;-36,10178375;3,791427612;-31,64837646
1,09441475;-36,61358643;3,868087769;-30,5378418
1,10434575;-37,0460434;4,099052429;-30,16943359
1,11427675;-37,67823029;4,366523743;-29,14440918
1,12420775;-38,28122711;4,712188721;-28,21630859
1,13413975;-38,62084198;5,186515808;-28,05688477
1,14407075;-39,28474426;5,456001282;-27,08044434
1,15400175;-40,05272675;5,925369263;-26,472229
1,16393275;-40,30304718;7,002868652;-24,9107666
1,17386375;-41,10061646;7,542793274;-23,45404053
1,18379475;-42,21154022;8,100723267;-21,66870117
1,19372575;-43,17103577;8,780044556;-19,92425537
1,20365675;-44,1155014;9,712013245;-17,41351318
1,21358775;-45,02226257;10,82723236;-15,15081787
1,22351875;-45,25164795;12,2502594;-12,92425537
1,23344975;-45,49498749;13,81848145;-10,91687012
1,24338075;-45,30119324;15,81303406;-8,022705078
1,25331275;-44,86062622;17,53250122;-4,914245605
1,26324375;-44,25784302;20,02327728;-2,41394043
1,27317475;-42,86867523;22,79481506;0,240661621
1,28310575;-41,03729248;25,08433151;2,501342773
1,29303675;-39,14391327;27,87980652;4,888427734
1,30296775;-36,69578552;30,33284378;6,286315918
1,31289875;-34,2486496;32,92597198;6,90435791
1,32282975;-31,96734619;34,93846512;6,834411621
1,33276075;-29,86460876;36,703125;6,776428223
1,34269175;-27,83638763;38,02735138;5,682922363
1,35262275;-26,24796295;39,22220612;4,748168945
1,36255475;-24,88584137;40,35877991;3,981994629
1,37248575;-24,0769577;40,89307785;3,508178711
1,38241675;-23,38942719;41,25246048;2,94354248
1,392348375;-22,76181793;41,55242538;2,099365234
1,402279375;-21,91960144;41,85240555;1,32019043
1,412210375;-21,68317413;41,8992691;0,390380859
1,422141375;-21,10774231;41,91836166;-0,150573731
1,432072375;-21,30917358;41,9641304;-0,359436035
1,442003375;-21,19486237;41,88250351;-0,999084473
1,451934375;-21,9276123;41,49128342;-1,695617676
1,461865375;-22,20546722;41,47023392;-1,588745117
1,471797375;-22,88517761;41,19269943;-1,72857666
1,481728375;-23,26127625;40,92527771;-0,823425293
1,491659375;-23,26127625;40,92527771;-0,823425293
1,501590375;-24,39855957;40,2936821;0,902587891
1,511521375;-25,048172;40,17899704;1,180664062
1,521452375;-25,27351379;39,80772018;1,369934082
1,531383375;-25,27351379;39,80772018;1,369934082
1,541314375;-26,09307861;39,4491272;1,756286621
1,551245375;-26,66542816;39,18703842;1,853210449
1,561176375;-27,59472656;38,72602081;1,902526855
1,571107375;-28,58721161;37,65961456;2,60723877
1,581039375;-29,91375732;36,99000549;3,414855957
1,590970375;-30,60748291;36,06139755;4,643493652
1,600901375;-31,84323883;35,24353409;4,999328613
1,610832375;-32,6794281;34,04742813;5,946228027
1,620763375;-33,96469879;32,97217178;6,443115234
1,630694375;-34,86701202;31,50714874;6,764282227
1,640625375;-36,1649704;30,11120987;6,752685547
1,650556375;-37,20868683;29,27919388;6,661560059
1,660487375;-38,460289;28,16273117;6,983886719
1,670418375;-39,00954437;27,17536545;7,137023926
1,680350375;-39,65248108;26,24562454;7,210021973
1,690281375;-40,11490631;25,27732468;7,179870605
1,700212375;-40,81114197;24,74165344;7,610717773
1,710143375;-41,19025421;24,11685944;8,30859375
1,720074375;-41,38587189;23,61635208;9,169189453
1,730005375;-41,41827393;22,9065094;9,988220215
1,739936375;-41,21086121;22,76983643;11,65979004
1,749867375;-40,77523804;22,97600174;13,43438721
1,759798375;-39,73736572;23,52123642;14,54705811
1,769729375;-38,76530457;24,36911011;15,49389648
1,779660375;-37,96855927;25,49272156;16,03387451
1,789592375;-37,1034317;26,25040436;16,10955811
1,799523375;-36,55410004;27,11066055;16,53869629
1,809454375;-35,96450043;27,51332092;16,8069458
1,819385375;-35,75741577;27,7780838;17,57275391
1,829316375;-35,31523895;27,86912155;17,6048584
1,839247375;-34,76634216;28,21192551;18,43341064
1,849178375;-33,94348145;28,15949249;19,60858154
1,859109375;-33,31208038;28,46298981;20,44854736
1,869040375;-32,80467987;28,39837646;20,97888184
1,878971375;-32,32814789;28,79535294;21,46710205
1,888903375;-32,61387634;29,21745682;21,06115723
1,898834375;-32,8208847;29,78290939;20,28430176
1,908765375;-32,95960236;29,5583992;19,66577148
1,918696375;-32,99488068;29,5008316;19,31085205
1,928627375;-33,08867645;29,47807312;18,83331299
1,938558375;-33,56673431;29,20709991;18,28582764
1,948489375;-33,72890472;29,29402542;17,62542725
1,958421375;-34,05377197;29,04561234;17,81079102
1,968352375;-34,44154358;28,91864014;18,03588867
1,978283375;-35,08132935;28,4631958;17,86627197
1,988214375;-35,40560913;28,31263733;17,41967773
1,998145375;-35,89839172;28,53503418;16,45996094
2,008076375;-35,90905762;29,09683228;15,51403809
2,018008375;-36,30445862;29,09636688;14,97485352
2,027939375;-36,24235535;29,3667984;14,65106201
2,037870375;-36,20493317;29,54863739;14,0657959
2,047801375;-35,88670349;30,24879837;13,70245361
2,057732375;-35,41464233;31,04755783;13,2232666
2,067663375;-34,73371124;32,10480118;12,64282227
2,077594375;-33,97892761;33,12507629;12,26501465
2,087525375;-33,04299164;33,89354706;12,28717041
2,097456375;-32,65616608;34,51080322;11,50976562
2,107387375;-32,20098877;35,12481308;11,01184082
2,117319375;-32,14372253;35,05751419;10,63665771
2,127250375;-32,51289368;34,69445038;10,9956665
2,137181375;-33,20706177;34,41956329;10,92443848
2,147112375;-33,14906311;34,48020172;10,20916748
2,157043375;-33,00543976;34,39716339;10,54510498
2,166974375;-32,77618408;34,55743027;10,73449707
2,176905375;-32,56842804;34,50642776;11,38262939
2,186836375;-32,42331696;34,52408218;11,44512939
2,196767375;-32,75302887;34,30521774;11,82922363
2,206698375;-32,67634583;34,15587234;12,40063477
2,216629375;-32,50511932;34,13398743;12,68902588
2,226561375;-32,23789215;33,95349884;13,3013916
2,236492375;-31,78632355;34,33714294;13,51489258
2,246423375;-31,21173096;34,24987411;13,93841553
2,256354375;-31,08402252;34,39030457;14,43798828
2,266285375;-30,55188751;34,54567719;15,21282959
2,276216375;-29,73815155;34,88349533;15,6184082
2,286147375;-28,80112457;35,49597931;15,61431885
2,296078375;-28,39328766;35,8789444;15,62841797
2,306009375;-28,2609787;36,1986084;15,63317871
2,315940375;-28,37875366;36,08888626;15,86315918
2,325872375;-28,37641907;35,95786285;15,80041504
2,335803375;-28,36997986;35,88654709;15,86273193
2,345734375;-27,91770935;35,84180069;15,9397583
2,355665375;-27,99099731;35,69573593;15,94934082
2,365596375;-27,96720886;35,65976334;15,980896
2,375527375;-27,66575623;36,0554924;15,76452637
2,385457667;-27,65021515;36,22453308;15,41375732
2,395388667;-27,96513367;36,04711151;15,67956543
2,405319667;-27,97375488;36,20699692;15,29156494
2,415251667;-27,98866272;36,30437469;15,17077637
