Time (s),X (µT),Y (µT),Z (µT)
1654618487021858048,-4.450469971,-15.68991852,-43.1831665
1654618487031789056,-4.768875122,-15.60356903,-43.17950439
1654618487041719808,-4.845657349,-15.35240936,-43.34503174
1654618487051651840,-5.42288208,-14.6774826,-43.6262207
1654618487061583104,-5.804481506,-14.06957245,-43.56072998
1654618487071513856,-6.514671326,-13.99297333,-43.52313232
1654618487081444864,-6.562446594,-13.60282135,-43.91253662
1654618487091376128,-6.813293457,-13.13212585,-43.79388428
1654618487101306880,-6.551727295,-12.82749939,-43.92608643
1654618487111237888,-6.94834137,-12.69547272,-43.84771729
1654618487121169152,-6.999923706,-11.9964447,-43.99676514
1654618487131099904,-7.05683136,-11.57001495,-44.42144775
1654618487141030912,-7.403427124,-11.04849243,-44.61102295
1654618487150962176,-7.662368774,-10.3968277,-44.6708374
1654618487160892928,-8.11076355,-9.821311951,-44.87463379
1654618487170824960,-8.240020752,-9.301513672,-44.93615723
1654618487180755968,-8.557182312,-8.702819824,-44.7489624
1654618487190686976,-8.978797913,-7.682052612,-44.66564941
1654618487200617984,-9.465515137,-6.983383179,-44.7008667
1654618487210548992,-10.215065,-6.245376587,-44.64331055
1654618487220480000,-10.8509903,-5.552742004,-44.81549072
1654618487230411008,-12.24567413,-4.303710938,-44.58276367
1654618487240342016,-13.79747772,-3.559165955,-44.53594971
1654618487250273024,-15.29547119,-2.524551392,-43.93652344
1654618487260204032,-16.66235352,-1.97479248,-43.25036621
1654618487270135040,-17.9637146,-1.737220764,-42.91912842
1654618487280066048,-19.07794189,-1.561355591,-42.53088379
1654618487289997056,-19.92955017,-1.337303162,-42.2532959
1654618487299928832,-20.44872284,-1.127059937,-42.31750488
1654618487309860096,-20.75119019,-0.910331726,-42.10253906
1654618487319791104,-20.81796265,-0.576530457,-42.2557373
1654618487329721856,-20.84887695,-0.57585144,-41.99932861
1654618487339653120,-21.0255661,-0.248847961,-42.14807129
1654618487349584128,-20.90789795,-0.037384033,-42.25012207
1654618487359514880,-20.87599945,-0.01512146,-42.34692383
1654618487369446144,-21.09391022,-0.005249023,-42.08013916
1654618487379376896,-21.38038635,-0.060127258,-42.25201416
1654618487389307648,-21.63816833,-0.278663635,-41.47149658
1654618487399238912,-22.1969986,-0.423576355,-40.91156006
1654618487409169664,-22.77101898,-0.482139587,-40.58898926
1654618487419101696,-23.28440094,-0.567489624,-40.82946777
1654618487429032704,-23.82559967,-1.019645691,-40.32818604
1654618487438963712,-24.05789948,-1.307182312,-40.30419922
1654618487448894720,-24.26017761,-1.173866272,-39.9743042
1654618487458825728,-24.65125275,-1.299827576,-40.12683105
1654618487468756736,-24.81911469,-1.465652466,-40.16241455
1654618487478687744,-25.11714935,-1.450233459,-40.03771973
1654618487488618752,-25.30045319,-1.422401428,-40.0324707
