Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487003583488,-3.225043488,4.9939151,8.319998474
1654618487013516544,-3.558999023,4.349954224,7.733817444
1654618487023448576,-3.260669403,4.276756439,7.620652771
1654618487033381376,-3.820056152,4.605323181,7.566315765
1654618487043313408,-4.239483948,4.410278778,6.975195007
1654618487053246464,-3.575913849,4.589007111,6.282435608
1654618487063179520,-3.698359222,4.757855988,5.294939117
1654618487073111552,-4.448000336,4.658312988,5.040168915
1654618487083044608,-4.540208588,4.624034271,5.240602112
1654618487092977408,-4.143982544,4.938081207,5.107229462
1654618487102909440,-3.622017975,4.822521515,5.475014648
1654618487112842496,-3.448379059,4.209695892,5.768254852
1654618487122775552,-3.578757935,3.767515411,6.058052216
1654618487132707584,-3.717070312,3.592229919,6.166426849
1654618487142640640,-3.519780579,3.528163147,6.254593506
1654618487152573696,-3.108286285,3.393742676,6.765930176
1654618487162505728,-2.738555145,3.15693512,7.353757782
1654618487172438528,-2.768792267,3.304677887,7.638615417
1654618487182371584,-3.065325623,3.799099731,7.537126465
1654618487192303616,-3.33476532,4.253704376,7.005731506
1654618487202236672,-3.363655243,4.794829102,6.404282227
1654618487212169728,-3.394790497,4.826862488,5.898334351
1654618487222101504,-3.365900574,4.361480255,5.485193481
1654618487232034816,-3.390299835,3.862567749,5.120551758
1654618487241966848,-3.459456024,3.8472995,4.89332428
1654618487251899648,-3.543132019,4.368066559,4.74004303
1654618487261832704,-3.461401978,4.864733734,4.810097351
1654618487271764736,-3.218457184,5.10513382,5.181026001
1654618487281697792,-3.191213837,5.515879669,5.88082077
1654618487291630848,-3.791764984,5.962550812,6.693780212
1654618487301562880,-4.506229248,6.178252258,7.283104706
1654618487311495680,-5.064568176,6.000422058,7.385491791
1654618487321428736,-5.494025116,5.088967438,7.69100647
1654618487331360768,-5.495372314,4.36447403,7.809260559
1654618487341293824,-4.986430664,4.038601685,7.648494873
1654618487351226880,-4.535867615,4.302802277,7.498806152
1654618487361158912,-4.309238892,4.756209412,7.438032532
1654618487371091968,-4.129911804,5.062322845,7.418273621
1654618487381024768,-3.913461914,5.468278656,7.874075775
1654618487390956800,-4.12108017,5.252128143,8.028554535
1654618487400889856,-4.497696991,4.592749329,7.639663239
1654618487410821888,-4.560416565,4.154460754,7.414531403
1654618487420754944,-4.467609558,3.978426819,7.714208221
1654618487430688000,-4.46386734,3.904779968,7.816744995
1654618487440620032,-4.487069092,4.071832581,8.386310577
1654618487450552832,-4.636159058,4.408183136,9.415121155
1654618487460485888,-4.942871246,4.510869598,10.13632141
1654618487470417664,-5.356461182,4.30235321,10.25712021
1654618487480350720,-5.316194916,3.744014282,9.811047821
1654618487490283776,-4.844675446,2.76490036,10.22433838
1654618487500215808,-4.489913177,2.593357086,10.56413177
1654618487510148864,-4.734953613,2.865940247,10.59062668
1654618487520081664,-4.910388794,3.212619324,10.81755478
1654618487530013696,-4.723577271,3.483406219,10.66277664
1654618487539946752,-4.742587738,3.406316528,10.61352905
1654618487549879808,-5.187163239,3.287313995,10.8079747
1654618487559811840,-5.701343994,3.161725159,10.69271439
1654618487569744896,-6.224955139,2.908601532,10.45515839
1654618487579676928,-6.729705505,2.505639496,10.09216324
1654618487589609984,-6.876999207,2.088906097,9.550739136
1654618487599542784,-6.452931061,1.624871063,9.267827454
1654618487609474816,-5.908662872,1.337468719,8.968000946
1654618487619407872,-5.796246643,1.492246857,8.392298126
1654618487629340928,-5.818550262,2.0172052,8.010741577
1654618487639272960,-5.711522827,2.766846313,7.721093903
1654618487649206016,-5.39642807,3.418591003,7.397017822
1654618487659138816,-4.92954895,3.852538605,7.058421936
1654618487669070848,-4.516707458,3.946393433,6.461762695
1654618487679003648,-4.186045074,3.55241272,5.983357544
1654618487688936960,-4.126169586,3.024460602,5.655090179
1654618487698868736,-4.279750214,2.680326233,5.318290558
1654618487708801792,-4.612059174,2.507136383,5.28416153
1654618487718734848,-5.085973663,2.639910278,5.323379974
1654618487728666880,-5.700894928,3.162323914,5.634283447
1654618487738599680,-6.321803741,3.582051086,6.3090802
1654618487748531712,-6.54079834,3.564687195,6.902595978
1654618487758464768,-6.534361725,3.401227112,7.163503418
1654618487768397824,-6.48227005,3.237467651,6.816674652
1654618487778329856,-6.111191711,3.044818268,6.113586731
1654618487788262912,-5.636828156,2.735860748,5.376818848
1654618487798195712,-5.158722382,2.32496521,4.802612915
1654618487808128000,-5.019212494,2.142045593,4.413721619
