Time (s);X (hPa)
-0,546080333;1011,177216
0,455899667;1011,194611
1,457748667;1011,212082
2,459506667;1011,232834
3,461330667;1011,255798
4,463054667;1011,261597
5,012756667;1011,279526
6,014403667;1011,292953
7,016265667;1011,304321
8,018339667;1011,311569
9,020154667;1011,319122
10,02202967;1011,320038
11,02360467;1011,320038
12,02545667;1011,316528
13,02717567;1011,316528
14,02954267;1011,321869
15,03046367;1011,322479
16,03249867;1011,323776
17,03431667;1011,324844
18,03576867;1011,329803
19,03762767;1011,32988
20,03954267;1011,331329
21,04132367;1011,331482
22,04292867;1011,331329
23,04457167;1011,326065
24,04648167;1011,319809
25,04856867;1011,315002
26,05039167;1011,31073
27,05218167;1011,305771
28,05416267;1011,305313
29,05571467;1011,304855
30,05739367;1011,300659
31,05933267;1011,29715
32,06105067;1011,29715
33,06283467;1011,293869
34,06451667;1011,290817
35,06609267;1011,290817
36,06798567;1011,290817
37,07016267;1011,290817
38,07268967;1011,290588
39,07348667;1011,290588
40,07535267;1011,291199
41,07708667;1011,291885
42,07917767;1011,291885
43,08116467;1011,29364
44,08260267;1011,2957
45,08430667;1011,298599
46,08611967;1011,30188
47,08799867;1011,302032
48,08974067;1011,302032
49,09195167;1011,301117
50,09370967;1011,29715
51,09538067;1011,293716
52,09747367;1011,293488
53,09913667;1011,29097
54,10064067;1011,288986
55,10228367;1011,288071
56,10417467;1011,288071
57,10587567;1011,288071
58,10763367;1011,292725
59,10946867;1011,297913
60,11203567;1011,301041
61,11337767;1011,302643
62,11511067;1011,304092
63,11668367;1011,304092
64,11842867;1011,30394
65,12010967;1011,30394
66,12181267;1011,30394
67,12344667;1011,303101
68,12526667;1011,302338
69,12694767;1011,299973
70,12882567;1011,298294
71,13070667;1011,298294
72,13253867;1011,301193
73,13445467;1011,305923
74,13625967;1011,313019
75,13806467;1011,319656
76,13980667;1011,325607
77,14202867;1011,331329
78,14388367;1011,331329
79,14593667;1011,330948
80,14752867;1011,329803
81,14953267;1011,326294
82,15136967;1011,319733
83,15329267;1011,318588
84,15486667;1011,318588
85,15666467;1011,320648
86,15854967;1011,321335
87,16057567;1011,321335
88,16215467;1011,320419
89,16393667;1011,316071
90,16567967;1011,306534
91,16754267;1011,292725
92,16918467;1011,272964
93,17150467;1011,248322
94,17316767;1011,22467
95,17522567;1011,207504
96,17697167;1011,198044
97,17910267;1011,198044
98,18088267;1011,209717
99,18258067;1011,209717
100,1846897;1011,203613
101,1860207;1011,202698
102,1876577;1011,191025
103,1894037;1011,169891
104,1910857;1011,168747
105,1933357;1011,167068
106,1946967;1011,159134
107,1965667;1011,150436
108,1983367;1011,144333
109,1998297;1011,124268
110,2014667;1011,106644
111,2031767;1011,092834
112,2046907;1011,092682
113,2064987;1011,092682
114,2085487;1011,092911
115,2102147;1011,097412
116,2118697;1011,097412
117,2137307;1011,083145
118,2154137;1011,080627
119,2174637;1011,080627
120,2191457;1011,088028
121,2217677;1011,110687
122,2231247;1011,140671
123,2251027;1011,165695
124,2268527;1011,173325
125,2285997;1011,173325
126,2306177;1011,169968
127,2324157;1011,154785
128,2342857;1011,154633
129,2358857;1011,150665
130,2377047;1011,132736
131,2395477;1011,103668
132,2413147;1011,083374
133,2428907;1011,0466
134,2445787;1011,0466
135,2465397;1011,052475
136,2482607;1011,086807
137,2503657;1011,119156
138,2519007;1011,155167
139,2539597;1011,179199
