Time (s),X (hPa)
1654618486453919744,1011.177216
1654618487455899648,1011.194611
1654618488457748736,1011.212082
1654618489459506688,1011.232834
1654618490461330688,1011.255798
1654618491463054592,1011.261597
1654618492012756480,1011.279526
1654618493014403584,1011.292953
1654618494016265728,1011.304321
1654618495018339584,1011.311569
1654618496020154624,1011.319122
1654618497022029568,1011.320038
1654618498023604736,1011.320038
1654618499025456640,1011.316528
1654618500027175680,1011.316528
1654618501029542656,1011.321869
1654618502030463744,1011.322479
1654618503032498688,1011.323776
1654618504034316800,1011.324844
1654618505035768832,1011.329803
1654618506037627648,1011.32988
1654618507039542784,1011.331329
1654618508041323776,1011.331482
1654618509042928640,1011.331329
1654618510044571648,1011.326065
1654618511046481664,1011.319809
1654618512048568832,1011.315002
1654618513050391552,1011.31073
1654618514052181760,1011.305771
1654618515054162688,1011.305313
1654618516055714560,1011.304855
1654618517057393664,1011.300659
1654618518059332608,1011.29715
1654618519061050624,1011.29715
1654618520062834688,1011.293869
1654618521064516864,1011.290817
1654618522066092800,1011.290817
1654618523067985664,1011.290817
1654618524070162688,1011.290817
1654618525072689664,1011.290588
1654618526073486592,1011.290588
1654618527075352576,1011.291199
1654618528077086720,1011.291885
1654618529079177728,1011.291885
1654618530081164544,1011.29364
1654618531082602752,1011.2957
1654618532084306688,1011.298599
1654618533086119680,1011.30188
1654618534087998720,1011.302032
1654618535089740800,1011.302032
1654618536091951616,1011.301117
1654618537093709824,1011.29715
1654618538095380736,1011.293716
1654618539097473536,1011.293488
1654618540099136512,1011.29097
1654618541100640768,1011.288986
1654618542102283776,1011.288071
1654618543104174592,1011.288071
1654618544105875712,1011.288071
1654618545107633664,1011.292725
1654618546109468672,1011.297913
1654618547112035840,1011.301041
1654618548113377536,1011.302643
1654618549115110656,1011.304092
1654618550116683776,1011.304092
1654618551118428672,1011.30394
1654618552120109568,1011.30394
1654618553121812480,1011.30394
1654618554123446784,1011.303101
1654618555125266432,1011.302338
1654618556126947584,1011.299973
1654618557128825600,1011.298294
1654618558130706688,1011.298294
1654618559132538624,1011.301193
1654618560134454784,1011.305923
1654618561136259584,1011.313019
1654618562138064640,1011.319656
1654618563139806720,1011.325607
1654618564142028544,1011.331329
1654618565143883776,1011.331329
1654618566145936640,1011.330948
1654618567147528704,1011.329803
1654618568149532672,1011.326294
1654618569151369472,1011.319733
1654618570153292544,1011.318588
1654618571154866688,1011.318588
1654618572156664576,1011.320648
1654618573158549760,1011.321335
1654618574160575744,1011.321335
1654618575162154752,1011.320419
1654618576163936512,1011.316071
1654618577165679616,1011.306534
1654618578167542784,1011.292725
1654618579169184768,1011.272964
1654618580171504640,1011.248322
1654618581173167616,1011.22467
1654618582175225856,1011.207504
1654618583176971776,1011.198044
1654618584179102720,1011.198044
1654618585180882688,1011.209717
1654618586182580736,1011.209717
1654618587184689664,1011.203613
1654618588186020608,1011.202698
1654618589187657472,1011.191025
1654618590189403648,1011.169891
1654618591191085824,1011.168747
1654618592193335808,1011.167068
1654618593194696704,1011.159134
1654618594196566528,1011.150436
1654618595198336512,1011.144333
1654618596199829760,1011.124268
1654618597201466880,1011.106644
1654618598203176704,1011.092834
1654618599204690688,1011.092682
1654618600206498560,1011.092682
1654618601208548864,1011.092911
1654618602210214656,1011.097412
1654618603211869696,1011.097412
1654618604213730816,1011.083145
1654618605215413760,1011.080627
1654618606217463808,1011.080627
1654618607219145728,1011.088028
1654618608221767680,1011.110687
1654618609223124736,1011.140671
1654618610225102592,1011.165695
1654618611226852608,1011.173325
1654618612228599808,1011.173325
1654618613230617856,1011.169968
1654618614232415744,1011.154785
1654618615234285568,1011.154633
1654618616235885568,1011.150665
1654618617237704704,1011.132736
1654618618239547648,1011.103668
1654618619241314560,1011.083374
1654618620242890496,1011.0466
1654618621244578560,1011.0466
1654618622246539520,1011.052475
1654618623248260864,1011.086807
1654618624250365696,1011.119156
1654618625251900672,1011.155167
1654618626253959680,1011.179199
1654618627255878656,1011.193924
1654618628257734656,1011.196671
1654618629259777792,1011.196671
1654618630262414592,1011.19339
1654618631264799488,1011.19339
1654618632266464768,1011.197128
1654618633268252672,1011.210175
1654618634270049792,1011.22879
1654618635272158720,1011.253815
1654618636273329664,1011.272507
1654618637275148544,1011.285324
1654618638277048576,1011.294174
1654618639278833664,1011.294174
1654618640280733696,1011.289825
1654618641282792704,1011.280975
1654618642284599808,1011.276474
1654618643286457856,1011.273651
1654618644288403712,1011.273651
1654618645290372608,1011.281738
1654618646292078848,1011.295319
1654618647293999616,1011.307755
1654618648295632640,1011.313324
1654618649297739776,1011.320343
1654618650299470592,1011.320343
1654618651301409792,1011.319275
1654618652303091712,1011.312103
1654618653304974848,1011.304245
1654618654306986752,1011.292496
1654618655309069568,1011.281586
1654618656311151616,1011.27182
1654618657312896768,1011.268387
1654618658314973696,1011.268387
1654618659316674816,1011.270447
1654618660318526720,1011.270447
1654618661320053760,1011.26915
1654618662322295552,1011.265945
1654618663324052736,1011.259384
1654618664325960704,1011.247482
1654618665327565568,1011.235275
1654618666329106688,1011.223602
1654618667330469632,1011.201935
1654618668332079616,1011.177444
1654618669333902592,1011.145325
1654618670335928576,1011.108246
1654618671338414592,1011.073074
1654618672339634688,1011.049271
1654618673341219584,1011.039505
1654618674342920704,1011.039505
1654618675344858624,1011.052017
1654618676346654720,1011.064911
1654618677348268800,1011.079025
1654618678349912576,1011.085434
1654618679351748608,1011.101151
1654618680353618688,1011.113358
1654618681355317504,1011.12442
1654618682357357824,1011.138306
1654618683359158784,1011.154633
1654618684360974848,1011.160812
1654618685362886656,1011.160812
1654618686364463872,1011.156235
1654618687366334720,1011.155014
1654618688368033536,1011.153641
1654618689369836800,1011.148453
1654618690371714560,1011.148453
1654618691373306624,1011.174164
1654618692374953728,1011.192932
1654618693376912640,1011.202698
1654618694378850816,1011.218033
1654618695380697600,1011.229782
1654618696382427648,1011.237411
1654618697384230656,1011.244278
1654618698386246656,1011.256332
1654618699388194816,1011.264954
1654618700389869568,1011.272659
1654618701392043520,1011.272659
1654618702394081536,1011.271973
1654618703396124672,1011.267853
1654618704397967872,1011.262512
1654618705399856896,1011.260529
1654618706401589760,1011.260529
1654618707403574784,1011.264267
1654618708405227776,1011.266785
1654618709407086592,1011.268997
1654618710408604672,1011.268997
1654618711410486784,1011.267624
1654618712412054784,1011.261139
1654618713413832704,1011.258926
1654618714415415808,1011.256027
1654618715417200896,1011.256027
1654618716418978816,1011.256256
1654618717420757760,1011.259918
1654618718422788608,1011.263809
1654618719424429568,1011.264801
1654618720426069760,1011.267014
1654618721427807744,1011.267014
1654618722429635840,1011.266937
1654618723431417600,1011.266174
1654618724432952576,1011.265106
1654618725434920704,1011.260605
1654618726436471808,1011.260452
1654618727438380800,1011.259995
1654618728439998720,1011.259537
1654618729441836544,1011.259537
1654618730443711744,1011.259918
1654618731445489664,1011.259918
1654618732447438592,1011.25824
1654618733449251584,1011.254959
1654618734451625472,1011.246872
1654618735453348608,1011.242981
1654618736456192768,1011.237259
1654618737457042688,1011.236038
1654618738458875648,1011.236038
1654618739460718592,1011.239624
1654618740462433792,1011.245193
1654618741464138752,1011.245193
1654618742466191872,1011.244354
1654618743467924480,1011.239471
1654618744469593856,1011.235733
1654618745471528704,1011.22963
1654618746473229568,1011.228561
1654618747475378688,1011.225204
1654618748477258752,1011.224136
1654618749478912512,1011.224136
1654618750480521728,1011.224899
1654618751483037696,1011.227875
1654618752484354816,1011.229401
1654618753486084608,1011.229401
1654618754487959552,1011.22879
1654618755489693696,1011.224289
1654618756491806720,1011.214218
1654618757493563648,1011.207275
1654618758495088896,1011.198578
1654618759496891648,1011.191635
1654618760498584832,1011.183319
1654618761500306688,1011.172714
1654618762501809664,1011.156769
1654618763503559680,1011.138763
1654618764505162752,1011.131897
1654618765507134720,1011.125183
1654618766508924672,1011.125183
1654618767510673664,1011.132431
1654618768512733696,1011.144638
1654618769514715648,1011.148376
1654618770516507648,1011.153259
1654618771518253824,1011.158066
1654618772520234496,1011.159592
1654618773521687808,1011.160126
1654618774523414528,1011.164322
1654618775525316608,1011.165771
1654618776527782656,1011.165771
1654618777529086464,1011.164093
1654618778530682880,1011.163406
1654618779532915712,1011.158752
1654618780535209728,1011.152344
1654618781537821696,1011.147308
1654618782539535872,1011.14563
1654618783541625856,1011.140518
1654618784543186688,1011.135788
1654618785545028608,1011.134491
1654618786546771712,1011.133118
1654618787548729600,1011.125793
1654618788550672896,1011.122818
1654618789552451584,1011.12175
1654618790554138624,1011.12114
