Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487014757632,-0.108293898,0.138031572,-0.672175705
1654618487024689408,-0.051684417,0.122463271,-0.63510716
1654618487034622464,-0.006744293,0.134204641,-0.515957415
1654618487044554496,-0.021953873,0.168387383,-0.468279868
1654618487054487552,-0.194089592,0.246151879,-0.534953892
1654618487064420352,-0.511398852,0.348478019,-0.504491806
1654618487074352384,-0.833038509,0.363640904,-0.415433675
1654618487084285440,-1.114582896,0.210269183,-0.287959069
1654618487094218496,-1.356007457,0.115187436,-0.202646941
1654618487104150528,-1.555562615,0.119718276,-0.158014223
1654618487114083584,-1.725076675,0.26394859,-0.117583498
1654618487124016640,-1.759643793,0.397355646,-0.13219972
1654618487133948672,-1.647259593,0.501983762,-0.180152535
1654618487143881472,-1.342624545,0.543524027,-0.221665084
1654618487153814528,-0.885832071,0.507515013,-0.27195394
1654618487163746560,-0.344724625,0.424987435,-0.273487896
1654618487173679616,0.20999451,0.227140114,-0.213894367
1654618487183612672,0.643091321,0.127609536,-0.122895211
1654618487193544704,0.918136478,-0.021836421,-0.025419507
1654618487203477504,1.020701408,-0.118295848,0.002383363
1654618487213410560,0.977485776,-0.173535824,-0.03901118
1654618487223342848,0.828030765,-0.128085777,-0.106091946
1654618487233275904,0.652754128,-0.082964599,-0.170872361
1654618487243207936,0.471256495,-0.003845817,-0.18639113
1654618487253140992,0.284335077,0.029446891,-0.179816827
1654618487263074048,0.091194391,-0.017131796,-0.205573052
1654618487273005824,-0.106995471,-0.165764183,-0.246283412
1654618487282938624,-0.201156855,-0.363548368,-0.169593424
1654618487292871936,-0.178294271,-0.611279011,0.040841695
1654618487302803712,-0.107789472,-0.932480156,0.298473507
1654618487312736768,-0.074040294,-1.045458674,0.598333478
1654618487322669824,0.033195082,-1.088961363,0.799773395
1654618487332601856,0.118342839,-0.976323605,0.786379159
1654618487342534656,0.138227329,-0.789963603,0.628395915
1654618487352467712,0.104018167,-0.589220703,0.414698899
1654618487362399744,0.018459853,-0.381625146,0.254037321
1654618487372332800,0.02390388,-0.501794994,0.184359148
1654618487382265856,0.089580365,-0.639914751,0.160794959
1654618487392197888,0.106942646,-0.603535354,0.1846845
1654618487402130944,0.053187806,-0.400416106,0.125967652
1654618487412062976,-0.084252492,-0.294229031,-0.052531891
1654618487421995776,-0.29291144,-0.123866342,-0.263281405
1654618487431928832,-0.506530762,0.016853105,-0.451787978
1654618487441860864,-0.646839678,-0.042695176,-0.532745957
1654618487451793920,-0.67392081,-0.24132742,-0.434482276
1654618487461726976,-0.61263746,-0.455342233,-0.243528545
1654618487471659008,-0.613820434,-0.452972055,-0.166642487
1654618487481592064,-0.706127226,-0.158864006,-0.239884213
1654618487491524864,-0.694237828,0.090084024,-0.478936464
1654618487501456640,-0.650735855,0.47281009,-0.743019998
1654618487511389696,-0.600850284,0.761243641,-0.970260441
1654618487521322752,-0.473946959,0.982530773,-1.140131712
1654618487531254784,-0.318383545,1.105944872,-1.241637945
1654618487541187840,-0.196595863,1.051068544,-1.24975121
1654618487551120640,-0.12894015,0.939637423,-1.14597404
1654618487561052672,-0.11136435,0.791341424,-0.973846555
1654618487570985728,-0.126528323,0.662641347,-0.753808141
1654618487580917760,-0.155390859,0.691564918,-0.561022997
1654618487590850816,-0.162179634,0.791455269,-0.478957415
1654618487600783872,-0.161757782,0.878253043,-0.509656429
1654618487610715904,-0.176249355,0.980099976,-0.572951794
1654618487620648960,-0.218659669,1.061964035,-0.619543791
1654618487630581760,-0.255734503,1.050209045,-0.580632508
1654618487640513792,-0.261059761,0.957467854,-0.439623714
1654618487650446848,-0.23424843,0.770785987,-0.271372587
1654618487660379904,-0.195098355,0.604338169,-0.170244917
1654618487670311936,-0.168543398,0.582102478,-0.215899229
1654618487680244992,-0.179825619,0.622133255,-0.380262613
1654618487690177792,-0.20822601,0.741632521,-0.58318013
1654618487700109824,-0.282352448,0.846571207,-0.792771161
1654618487710042624,-0.386983007,0.930381954,-0.962221742
1654618487719975936,-0.469464034,1.012236834,-1.024200439
1654618487729907712,-0.47589621,1.060163736,-0.957182348
1654618487739840768,-0.346620232,1.033775449,-0.79588002
1654618487749772800,-0.110263474,0.927581608,-0.551872253
1654618487759705856,0.140112013,0.806578517,-0.270461857
1654618487769638656,0.30878368,0.679576814,-0.030366033
1654618487779570944,0.358682513,0.576748967,0.11275091
1654618487789503744,0.308149666,0.468770862,0.137978703
1654618487799436800,0.154897258,0.361743242,0.073071606
1654618487809368832,-0.048394021,0.455631673,-0.016424824
1654618487819301888,-0.154812336,0.706888914,-0.093802966
1654618487829234944,-0.106565751,0.760379195,-0.246629506
1654618487839166976,-0.050468929,0.742757857,-0.405991972
1654618487849099776,0.005613613,0.707699537,-0.486584634
1654618487859032832,0.007015502,0.647108614,-0.517357171
1654618487868964864,-0.082683079,0.370283723,-0.548029006
1654618487878897920,-0.19592841,0.145502001,-0.506168366
1654618487888829952,-0.296501309,0.000880531,-0.404933363
1654618487898763008,-0.22770761,-0.128908619,-0.33522886
1654618487908696064,-0.108611956,-0.26433295,-0.218181476
1654618487918627840,-0.100849375,-0.122686878,-0.113215916
1654618487928560640,-0.162143678,-0.047716908,-0.160740018
1654618487938493696,-0.232790947,0.073844418,-0.268676072
1654618487948425728,-0.220385209,0.182849944,-0.36036244
1654618487958358784,-0.056919843,0.155983701,-0.41234389
1654618487968291840,0.071106471,0.084834673,-0.395636499
1654618487978223872,0.065982014,0.047367457,-0.396092445
1654618487988156672,-0.044980668,0.062905014,-0.434577793
1654618487998089728,-0.185260817,0.065470703,-0.509408593
1654618488008021760,-0.302524805,0.02875055,-0.60711503
1654618488017954816,-0.432565898,-0.002891265,-0.689572394
1654618488027887872,-0.555828095,-0.011591933,-0.770250738
1654618488037819904,-0.667357326,-0.009846497,-0.839842558
1654618488047752960,-0.755322278,-0.014518059,-0.886526465
1654618488057684992,-0.758610249,-0.042741705,-0.926073074
1654618488067617792,-0.725477457,0.034769893,-0.928750992
1654618488077550848,-0.735796154,0.05410764,-0.934956431
1654618488087482880,-0.737946749,0.039548516,-0.932021558
1654618488097415936,-0.566083908,0.091552332,-0.901695073
1654618488107348992,-0.203491584,0.331651211,-0.840539932
1654618488117280768,0.237439483,0.402092636,-0.756730259
1654618488127213824,0.688985407,0.473352581,-0.632937968
1654618488137146880,1.048515081,0.410595715,-0.457323849
1654618488147078656,1.136844277,0.190727592,-0.315916479
1654618488157011712,0.94500047,-0.093940631,-0.225198537
1654618488166944768,0.534386277,-0.260806918,-0.206398368
1654618488176876800,0.022383451,-0.247546762,-0.280424386
1654618488186809856,-0.500956059,-0.188561127,-0.422944129
1654618488196741888,-0.882979333,-0.138779178,-0.570471525
1654618488206674688,-1.017040849,-0.133581936,-0.67276001
1654618488216607744,-0.9869802,-0.176475614,-0.715331197
1654618488226543104,-0.869671941,-0.159199417,-0.7063936
1654618488236476160,-0.712377131,-0.090609439,-0.665246427
1654618488246409216,-0.535683513,-0.026391694,-0.617272556
