Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487014757632,0.797706103,-0.571854183,0.451576957
1654618487024689408,1.137129955,-0.610373885,0.339758313
1654618487034622464,0.615265666,-0.253784362,0.289427819
1654618487044554496,0.230037358,-0.427114253,-0.295231766
1654618487054487552,0.931367606,-0.219091662,-0.984110953
1654618487064420352,0.855910165,-0.001516475,-1.974387209
1654618487074352384,0.153958358,-0.03117063,-2.244528573
1654618487084285440,0.098479391,0.021440278,-2.076146303
1654618487094218496,0.517844329,0.437101589,-2.257867826
1654618487104150528,1.053629669,0.436031549,-1.950153424
1654618487114083584,1.248056021,-0.048550309,-1.718195549
1654618487124016640,1.147011165,-0.354209706,-1.486123652
1654618487133948672,1.048709822,-0.393175551,-1.425673383
1654618487143881472,1.293983854,-0.333617275,-1.371049279
1654618487153814528,1.754506758,-0.371137103,-0.877042002
1654618487163746560,2.170712153,-0.547550231,-0.289016175
1654618487173679616,2.173898885,-0.383045543,0.009290056
1654618487183612672,1.897265359,0.08682589,-0.067333612
1654618487193544704,1.634159365,0.485437013,-0.566985791
1654618487203477504,1.60002332,0.953306359,-1.134995429
1654618487213410560,1.558018093,0.910843586,-1.609700462
1654618487223342848,1.578083398,0.381424694,-1.994932571
1654618487233275904,1.551301981,-0.165464509,-2.335428218
1654618487243207936,1.486231241,-0.213294733,-2.54225593
1654618487253140992,1.411048912,0.28845572,-2.679456167
1654618487263074048,1.501336353,0.780600074,-2.601190016
1654618487273005824,1.747788892,1.033010632,-2.234519309
1654618487282938624,1.763600932,1.46637702,-1.554731957
1654618487292871936,1.131238593,1.931364274,-0.77279024
1654618487302803712,0.351291069,2.149432966,-0.227502297
1654618487312736768,-0.299034795,1.957193472,-0.176128076
1654618487322669824,-0.838746833,1.014165349,0.077828779
1654618487332601856,-0.951728195,0.246936688,0.151762143
1654618487342534656,-0.539999721,-0.120969244,-0.043275243
1654618487352467712,-0.16405416,0.110983661,-0.218188267
1654618487362399744,0.010957097,0.545200235,-0.297561296
1654618487372332800,0.148405549,0.841134251,-0.335026746
1654618487382265856,0.313009932,1.235518714,0.098679366
1654618487392197888,0.049106086,1.004293202,0.231019982
1654618487402130944,-0.373368985,0.331717807,-0.175042833
1654618487412062976,-0.464837272,-0.107434402,-0.414809665
1654618487421995776,-0.382098294,-0.262541152,-0.131739523
1654618487431928832,-0.366548501,-0.290158429,-0.047768828
1654618487441860864,-0.36939054,-0.056874405,0.497419127
1654618487451793920,-0.509038714,0.35202928,1.493594055
1654618487461726976,-0.830807483,0.519668368,2.174076641
1654618487471659008,-1.273011938,0.366181296,2.252865533
1654618487481592064,-1.249494144,-0.131238416,1.768631292
1654618487491524864,-0.768366529,-1.039855383,2.153177522
1654618487501456640,-0.36789336,-1.132473525,2.479378481
1654618487511389696,-0.531677087,-0.773885424,2.508533283
1654618487521322752,-0.599417957,-0.338822758,2.752885501
1654618487531254784,-0.286736346,0.015379931,2.630134318
1654618487541187840,-0.176362257,0.014807197,2.620822628
1654618487551120640,-0.501726771,-0.036241627,2.855819886
1654618487561052672,-0.912914085,-0.102626236,2.777473043
1654618487570985728,-1.352045828,-0.305108005,2.570810807
1654618487580917760,-1.784385445,-0.665250296,2.235613908
1654618487590850816,-1.857937571,-1.044335227,1.725912119
1654618487600783872,-1.35392103,-1.471199219,1.479980568
1654618487610715904,-0.721696685,-1.717923068,1.222288511
1654618487620648960,-0.512543535,-1.51691012,0.694014797
1654618487630581760,-0.436042074,-0.94145873,0.361491829
1654618487640513792,-0.237354271,-0.144299927,0.118804312
1654618487650446848,0.153399949,0.54558732,-0.164817807
1654618487660379904,0.677233872,1.007515895,-0.471912403
1654618487670311936,1.13910953,1.124906351,-1.040707322
1654618487680244992,1.522266462,0.760335963,-1.490302657
1654618487690177792,1.645643882,0.274030346,-1.785165464
1654618487700109824,1.569190367,-0.0124534,-2.082718574
1654618487710042624,1.325242192,-0.109432103,-2.073700413
1654618487719975936,0.947671689,0.114264534,-1.98773114
1654618487729907712,0.432324414,0.731587543,-1.625967416
1654618487739840768,-0.092186033,1.235667526,-0.896643038
1654618487749772800,-0.225480915,1.277135248,-0.247227879
1654618487759705856,-0.148700541,1.138453472,0.068484344
1654618487769638656,-0.041176677,0.967660835,-0.22579608
1654618487779570944,0.372623173,0.748046578,-0.880774865
1654618487789503744,0.879900706,0.407060788,-1.576241525
1654618487799436800,1.383897951,-0.02742578,-2.118115278
1654618487809368832,1.549589916,-0.215689167,-2.480336255
1654618487819301888,1.54100328,0.207644568,-2.67192086
1654618487829234944,1.982633538,0.308472493,-2.148442447
1654618487839166976,2.491141325,0.067410064,-1.260214137
1654618487849099776,2.284724672,0.559387626,-0.852759685
1654618487859032832,2.025853817,0.825397347,-0.861642775
1654618487868964864,1.954895516,0.638484813,-0.888572127
1654618487878897920,1.494425529,0.91230963,-0.676990044
1654618487888829952,0.534229689,1.101782075,-0.347605861
1654618487898763008,-0.339001098,0.689773373,0.395909125
1654618487908696064,-1.416486822,0.050563651,1.102046953
1654618487918627840,-2.307353396,0.099722655,1.201288821
1654618487928560640,-2.35160337,-0.436728829,1.151411487
1654618487938493696,-2.079993187,-0.906017587,1.775084864
1654618487948425728,-1.724840325,-0.870801561,2.053594762
1654618487958358784,-1.493415715,-0.380376581,2.35390425
1654618487968291840,-1.319430644,-0.077438916,2.484609985
1654618487978223872,-1.172699445,-0.256216219,2.164632803
1654618487988156672,-0.844614514,0.121955962,1.509587944
1654618487998089728,-0.571078257,0.528299589,1.041107272
1654618488008021760,-0.110341637,0.758042247,1.077453564
1654618488017954816,0.321172353,0.471662727,1.457737759
1654618488027887872,0.369475617,-0.25658167,2.08201223
1654618488037819904,0.35446523,-0.408969319,2.587291769
1654618488047752960,0.431988199,-0.073936726,2.983884434
1654618488057684992,0.210327271,0.569685743,3.404302163
1654618488067617792,-0.201219648,1.070567883,3.565288289
1654618488077550848,-0.267106658,0.69933357,3.518070853
1654618488087482880,-0.225873848,0.252733837,3.847040468
1654618488097415936,-0.365559737,0.416536055,4.014513495
1654618488107348992,-0.419245947,0.469983334,3.87963811
1654618488117280768,-0.363303881,-0.021437208,3.553812543
1654618488127213824,-0.064022334,-0.699951329,3.435614587
1654618488137146880,0.563154695,-1.303082414,2.207617439
1654618488147078656,1.377486479,-1.474178814,0.881523308
1654618488157011712,1.9554434,-1.025473206,-0.786471555
1654618488166944768,2.258846065,-0.3367679,-2.479091967
1654618488176876800,2.265345245,0.20637638,-3.823161609
1654618488186809856,2.389858194,0.506915225,-4.475963475
1654618488196741888,2.414791891,0.819734465,-3.960739576
1654618488206674688,2.165067251,1.172454885,-2.993752779
1654618488216607744,1.791766385,1.39379524,-1.882942604
1654618488226543104,1.382522686,1.668835108,-0.988143777
1654618488236476160,0.983461912,2.134633663,-0.598602855
1654618488246409216,0.719347274,2.465078823,-0.283343207
1654618488256341248,0.783135134,2.61311512,-0.003180885
1654618488266274304,0.88370315,2.577478095,0.063237053
1654618488276207104,0.832327759,2.261108499,0.01489929
1654618488286139136,0.635846695,1.791374914,-0.143208836
