Time (s),X (µT),Y (µT),Z (µT)
1654618487014757632,-1.21887207,-15.12413788,-43.22625732
1654618487024689408,-1.198120117,-15.30028534,-42.94830322
1654618487034622464,-1.155059814,-15.12326813,-42.87738037
1654618487044554496,-0.803672791,-14.66590118,-42.91271973
1654618487054487552,-0.711166382,-14.70618439,-42.78375244
1654618487064420352,-0.475761414,-14.58274841,-42.95404053
1654618487074352384,-0.18170929,-14.53672028,-42.64691162
1654618487084285440,0.034362793,-13.84455109,-42.93066406
1654618487094218496,-0.011451721,-13.31156921,-42.84448242
1654618487104150528,0.245162964,-12.53461456,-42.86877441
1654618487114083584,0.261123657,-11.60868835,-43.05334473
1654618487124016640,0.536727905,-11.02398682,-43.39581299
1654618487133948672,0.727859497,-10.19556427,-43.46911621
1654618487143881472,0.94581604,-9.654754639,-43.83959961
1654618487153814528,1.114639282,-9.179336548,-44.0213623
1654618487163746560,1.529022217,-8.637054443,-43.90838623
1654618487173679616,1.649627686,-8.543235779,-43.97821045
1654618487183612672,1.706848145,-8.608848572,-44.03308105
1654618487193544704,1.662750244,-8.923545837,-43.40533447
1654618487203477504,1.800201416,-9.27973175,-43.4776001
1654618487213410560,1.721862793,-9.810150146,-43.40893555
1654618487223342848,1.718582153,-10.21474457,-43.42266846
1654618487233275904,1.720016479,-10.63526154,-43.42565918
1654618487243207936,1.665176392,-10.68270111,-43.65649414
1654618487253140992,1.610549927,-10.9857254,-43.58660889
1654618487263074048,1.752761841,-11.02542877,-43.88195801
1654618487273005824,1.693023682,-10.88565826,-43.54449463
1654618487282938624,1.626861572,-10.48688507,-43.74432373
1654618487292871936,1.576446533,-10.67625427,-43.58618164
1654618487302803712,1.275634766,-10.66912842,-43.82830811
1654618487312736768,0.555923462,-10.56876373,-43.70495605
1654618487322669824,0.31388855,-10.49988556,-43.98303223
1654618487332601856,-0.320594788,-10.73857117,-43.55633545
1654618487342534656,-0.838027954,-10.81945038,-43.66546631
1654618487352467712,-0.965820313,-10.77812958,-43.99731445
1654618487362399744,-1.391929626,-10.68099976,-43.97802734
1654618487372332800,-1.415008545,-10.66434479,-43.8671875
1654618487382265856,-1.729804993,-10.6621933,-43.50177002
1654618487392197888,-1.996566772,-10.75852966,-43.69873047
1654618487402130944,-2.348075867,-11.08049011,-43.78039551
1654618487412062976,-2.478561401,-11.00731659,-43.6998291
1654618487421995776,-2.55418396,-10.89746094,-43.61279297
1654618487431928832,-2.636062622,-11.01943207,-43.29473877
1654618487441860864,-2.555107117,-10.85522461,-43.3371582
1654618487451793920,-2.511817932,-10.40187073,-43.4017334
1654618487461726976,-2.84299469,-9.852409363,-43.62463379
1654618487471659008,-3.002700806,-9.841537476,-43.48083496
1654618487481592064,-3.277114868,-9.499252319,-44.10778809
1654618487491524864,-2.967918396,-8.999160767,-44.11968994
1654618487501456640,-2.679656982,-8.639976501,-44.20214844
1654618487511389696,-2.517654419,-8.430381775,-43.49920654
1654618487521322752,-2.133323669,-7.901924133,-44.18487549
1654618487531254784,-1.348373413,-7.685371399,-44.0880127
1654618487541187840,-0.828773499,-7.468742371,-44.50463867
1654618487551120640,-0.322891235,-7.462631226,-43.82995605
1654618487561052672,-0.066467285,-7.690353394,-44.24090576
1654618487570985728,0.33354187,-7.652305603,-43.98468018
1654618487580917760,0.694244385,-7.585594177,-43.77398682
1654618487590850816,1.177337646,-7.562705994,-43.49298096
1654618487600783872,1.844360352,-7.497650146,-43.59124756
1654618487610715904,2.210769653,-7.008491516,-43.82196045
1654618487620648960,2.861358643,-6.834083557,-44.34429932
1654618487630581760,2.861358643,-6.834083557,-44.34429932
1654618487640513792,3.525848389,-6.737136841,-44.34283447
1654618487650446848,3.821975708,-6.713424683,-43.95300293
1654618487660379904,4.267654419,-6.778366089,-43.97460938
1654618487670311936,4.947143555,-6.49294281,-43.8762207
1654618487680244992,4.978149414,-6.570198059,-43.71289062
1654618487690177792,5.34588623,-6.494812012,-43.17138672
1654618487700109824,5.53364563,-6.25188446,-43.14416504
1654618487710042624,5.984802246,-5.932594299,-43.574646
1654618487719975936,6.409820557,-5.567955017,-43.31414795
1654618487729907712,6.974700928,-5.347099304,-43.55645752
1654618487739840768,7.260101318,-5.095314026,-43.4342041
1654618487749772800,7.881668091,-4.692466736,-43.4130249
1654618487759705856,8.245635986,-4.533424377,-43.2666626
1654618487769638656,8.735946655,-4.504722595,-43.23944092
1654618487779570944,9.181274414,-4.671005249,-42.62084961
