Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,001250292;-0,050145721;-0,020207977;9,873617706
0,011207292;-0,049397278;-0,000149689;9,865235138
0,021141292;-0,050744476;-0,001347198;9,876761169
0,031073292;-0,040565643;-0,012573853;9,862989807
0,041005292;-0,022004242;-0,020806732;9,870773621
0,050937292;-0,016914825;-0,016914825;9,875413971
0,060869292;-0,054935761;-0,038769379;9,864337006
0,070801292;-0,062869263;-0,024998016;9,861193542
0,080733292;-0,054935761;-0,009729767;9,871222687
0,090665292;-0,047301636;0,004790039;9,867480469
0,100597292;-0,054935761;0,001646576;9,869576111
0,110528292;-0,044307861;-0,011376343;9,861343231
0,120460292;-0,026794281;-0,025147705;9,86029541
0,130392292;-0,03038681;-0,026195526;9,870324554
0,140324292;-0,04445755;-0,022602997;9,864636383
0,150256292;-0,052391052;-0,029338989;9,866582336
0,160188292;-0,054187317;-0,012124786;9,871522064
0,170120292;-0,042511597;0,002245331;9,870773621
0,180052292;-0,036524048;-0,006586304;9,864486694
0,189984292;-0,047451324;-0,014819183;9,876611481
0,199916292;-0,041164398;-0,021405487;9,870474243
0,209848292;-0,035476227;-0,029937744;9,871222687
0,219779292;-0,04445755;-0,022303619;9,869875488
0,229711292;-0,043858795;-0,019609222;9,870474243
0,239643292;-0,047451324;-0,013022919;9,87197113
0,249575292;-0,035925293;-0,003293152;9,872869263
0,259507292;-0,033679962;-0,004939728;9,862391052
0,269439292;-0,043559418;-0,020357666;9,86733078
0,279371292;-0,046702881;-0,037571869;9,868677979
0,289303292;-0,036524048;-0,021854553;9,87556366
0,299235292;-0,038320313;-0,010029144;9,880653076
0,309167292;-0,038919067;-0,015867004;9,874665527
0,319099292;-0,039966888;-0,015867004;9,871072998
0,329031292;-0,044607239;-0,012573853;9,869276733
0,338962292;-0,046702881;-0,001945953;9,867630157
0,348894292;-0,044756927;-0,015567627;9,869276733
0,358826292;-0,044158173;-0,020507355;9,869276733
0,368758292;-0,035027161;-0,023800507;9,874216461
0,378690292;-0,039068756;-0,018112335;9,868079224
0,388622292;-0,034129028;-0,011825409;9,865684204
0,398554292;-0,042361908;-0,011825409;9,874066772
0,408486292;-0,046702881;-0,019010468;9,868827667
0,418418292;-0,044756927;-0,019160156;9,871522064
0,428350292;-0,038769379;-0,016016693;9,869576111
0,438282292;-0,047151947;-0,020956421;9,870474243
0,448213292;-0,043110352;-0,0199086;9,858948212
0,458141875;-0,037571869;-0,021555176;9,860445099
0,468073875;-0,043858795;-0,020806732;9,868677979
0,478005875;-0,047451324;-0,017363892;9,873468018
0,487937875;-0,052540741;-0,018112335;9,861642609
0,497869875;-0,046702881;-0,023800507;9,864337006
0,507801875;-0,038170624;-0,017962646;9,873767395
0,517733875;-0,038170624;-0,012573853;9,86613327
0,527665875;-0,035027161;-0,011226654;9,860894165
0,537597875;-0,037272491;-0,021405487;9,864486694
0,547529875;-0,047750702;-0,015717316;9,868228912
0,557461875;-0,042062531;-0,009729767;9,859546967
