Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487001250304,-0.050145721,-0.020207977,9.873617706
1654618487011207424,-0.049397278,-0.000149689,9.865235138
1654618487021141248,-0.050744476,-0.001347198,9.876761169
1654618487031073280,-0.040565643,-0.012573853,9.862989807
1654618487041005312,-0.022004242,-0.020806732,9.870773621
1654618487050937088,-0.016914825,-0.016914825,9.875413971
1654618487060869120,-0.054935761,-0.038769379,9.864337006
1654618487070801152,-0.062869263,-0.024998016,9.861193542
1654618487080733184,-0.054935761,-0.009729767,9.871222687
1654618487090665216,-0.047301636,0.004790039,9.867480469
1654618487100597504,-0.054935761,0.001646576,9.869576111
1654618487110528256,-0.044307861,-0.011376343,9.861343231
1654618487120460288,-0.026794281,-0.025147705,9.86029541
1654618487130392320,-0.03038681,-0.026195526,9.870324554
1654618487140324352,-0.04445755,-0.022602997,9.864636383
1654618487150256384,-0.052391052,-0.029338989,9.866582336
1654618487160188160,-0.054187317,-0.012124786,9.871522064
1654618487170120192,-0.042511597,0.002245331,9.870773621
1654618487180052224,-0.036524048,-0.006586304,9.864486694
1654618487189984256,-0.047451324,-0.014819183,9.876611481
1654618487199916288,-0.041164398,-0.021405487,9.870474243
1654618487209848320,-0.035476227,-0.029937744,9.871222687
1654618487219779328,-0.04445755,-0.022303619,9.869875488
1654618487229711360,-0.043858795,-0.019609222,9.870474243
1654618487239643392,-0.047451324,-0.013022919,9.87197113
1654618487249575424,-0.035925293,-0.003293152,9.872869263
1654618487259507200,-0.033679962,-0.004939728,9.862391052
1654618487269439232,-0.043559418,-0.020357666,9.86733078
1654618487279371264,-0.046702881,-0.037571869,9.868677979
1654618487289303296,-0.036524048,-0.021854553,9.87556366
1654618487299235328,-0.038320313,-0.010029144,9.880653076
1654618487309167360,-0.038919067,-0.015867004,9.874665527
1654618487319099136,-0.039966888,-0.015867004,9.871072998
1654618487329031168,-0.044607239,-0.012573853,9.869276733
1654618487338962432,-0.046702881,-0.001945953,9.867630157
1654618487348894464,-0.044756927,-0.015567627,9.869276733
1654618487358826496,-0.044158173,-0.020507355,9.869276733
