Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487050937088,0.000480688,0.002185621,-0.002115498
1654618487060869120,0.000555789,0.000574408,-0.000115198
1654618487070801152,0.001198943,-0.000400575,0.000677892
1654618487080733184,0.001394437,-0.000550133,0.000437729
1654618487090665216,0.003988239,-0.003631657,0.001324038
1654618487100597504,0.001451312,-0.001075022,-0.000896506
1654618487110528256,-7.25277E-05,0.000481447,0.00236566
1654618487120460288,-0.000617411,0.000728322,-0.000317742
1654618487130392320,0.000636842,0.002221167,0.001391157
1654618487140324352,-0.000966914,0.001876021,0.000377025
1654618487150256384,-0.000660703,0.000514454,0.001756731
1654618487160188160,-0.001874305,0.000188217,-0.001746657
1654618487170120192,0.002732006,0.000492929,0.001842496
1654618487180052224,-0.000295209,0.004420293,-0.000875527
1654618487189984256,-0.001301051,-0.000112102,0.00136421
1654618487199916288,-0.000248304,0.000488174,8.26968E-05
1654618487209848320,0.00175947,-0.001262728,-0.000709923
1654618487219779328,-0.001119407,0.000937043,0.00052099
1654618487229711360,-0.000424714,0.000545117,-0.001558233
1654618487239643392,-0.000646555,-0.000188318,-0.00087167
1654618487249575424,-0.000747427,-0.000730982,-0.00111011
1654618487259507200,-0.000103741,0.001129768,-0.001389476
1654618487269439232,-0.003777866,-0.002530528,-0.002532931
1654618487279371264,-0.000265955,0.000943033,0.001858355
1654618487289303296,-0.00169909,-0.000456124,-0.001387868
1654618487299235328,-9.45362E-05,0.001985729,0.00031549
1654618487309167360,-0.001106921,-0.000241719,0.000585277
1654618487319099136,-0.001615318,-0.000356235,-0.000967612
1654618487329031168,-0.001252923,0.0010437,-0.002737995
1654618487338962432,-3.0532E-05,0.001841317,0.000816793
1654618487348894464,0.000382873,0.001037515,0.000308634
1654618487358826496,0.00071124,0.001593317,-0.000318008
1654618487368758272,0.002658448,0.000935122,0.002654947
1654618487378690304,8.58344E-05,5.73439E-05,-0.00033525
1654618487388622336,-0.00315356,0.001220356,0.00197811
1654618487398554368,0.001155435,0.000824877,-0.000840846
1654618487408486400,-0.002039355,-0.000460187,0.001079114
1654618487418418432,-0.002274245,0.001012541,0.000451141
1654618487428350208,-0.000497942,-0.000748984,0.001554838
1654618487438282240,0.003343135,-0.002854745,-0.004197057
1654618487448213248,-0.000707638,0.00052608,0.000481818
1654618487458141696,-0.000785402,0.001273896,0.001128966
1654618487468073728,0.002627037,0.00145436,0.00179071
1654618487478005760,0.001141525,-0.002777403,0.001533449
1654618487487938048,0.000748784,-0.001532898,-0.000730632
1654618487497870080,-0.000926078,0.002000584,-0.001509075
1654618487507801856,-0.002290696,-0.000364757,6.3031E-05
1654618487517733888,-0.003158886,0.000654701,0.001522177
1654618487527665920,-0.001986383,-0.000682937,-0.000872367
1654618487537597952,0.000499944,0.000653969,-0.000334408
1654618487547529984,0.000173249,0.001147729,0.001509968
1654618487557462016,0.000677119,0.001798073,0.000648702
1654618487567392768,0.001502609,-0.001446859,-4.16632E-05
1654618487577324800,-0.001305161,0.000637864,0.000558347
1654618487587256832,0.001608172,0.002132489,0.000212168
1654618487597188864,-0.001688555,-0.001179418,0.001054792
1654618487607120896,8.39913E-05,0.000558669,0.00092635
1654618487617052672,0.003443303,7.6104E-05,-0.001690738
