Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487050937088,-0.055911939,0.01535591,0.06390305
1654618487060869120,-0.063885445,0.012692035,0.063902466
1654618487070801152,-0.09941881,-0.00613565,0.050878962
1654618487080733184,-0.101134621,0.017311554,0.054471492
1654618487090665216,-0.09086691,0.026374972,0.058063436
1654618487100597504,-0.087094149,0.040877944,0.06000939
1654618487110528256,-0.093878491,0.030942127,0.055368454
1654618487120460288,-0.076242174,0.02060752,0.05012818
1654618487130392320,-0.065249893,0.006238993,0.054767945
1654618487140324352,-0.070516818,0.005480684,0.056863003
1654618487150256384,-0.084465186,0.011079681,0.058808956
1654618487160188160,-0.092251467,0.003134158,0.055814597
1654618487170120192,-0.089947335,0.028395847,0.064047477
1654618487180052224,-0.078055779,0.035057683,0.057759966
1654618487189984256,-0.075136091,0.024410408,0.058059343
1654618487199916288,-0.086465683,0.01574813,0.064196581
1654618487209848320,-0.076453181,0.012458402,0.059252175
1654618487219779328,-0.070831535,0.000240766,0.061043762
1654618487229711360,-0.08270945,0.01370115,0.060440914
1654618487239643392,-0.075613534,0.01335764,0.060736198
1654618487249575424,-0.078624412,0.02388499,0.064473739
1654618487259507200,-0.063692692,0.030728619,0.05818155
1654618487269439232,-0.065279878,0.023218144,0.055483645
1654618487279371264,-0.074113276,0.007119727,0.058324222
1654618487289303296,-0.072868691,-0.005160554,0.059369704
1654618487299235328,-0.064260749,0.01726599,0.070294642
1654618487309167360,-0.060991009,0.024125822,0.067746425
1654618487319099136,-0.06628464,0.012183489,0.062654085
1654618487329031168,-0.064435307,0.019201162,0.063249916
1654618487338962432,-0.070152052,0.021785581,0.056211038
1654618487348894464,-0.070086581,0.028071256,0.059202474
1654618487358826496,-0.064432653,0.01250452,0.060247371
1654618487368758272,-0.062243528,0.007185618,0.05695188
1654618487378690304,-0.053917897,0.008481804,0.063984911
1654618487388622336,-0.058367025,0.012293029,0.053505532
1654618487398554368,-0.050701828,0.021015848,0.060089496
1654618487408486400,-0.063131378,0.016218338,0.059938053
1654618487418418432,-0.060238162,0.011462215,0.063229451
1654618487428350208,-0.060450713,0.010215798,0.060233923
1654618487438282240,-0.055225755,0.014619949,0.059334036
1654618487448213248,-0.063730215,0.007950955,0.058734112
1654618487458141696,-0.05499796,0.010747438,0.048254732
1654618487468073728,-0.051627123,0.00643789,0.054241111
1654618487478005760,-0.059012942,0.011361339,0.061574104
1654618487487938048,-0.059643345,0.012872817,0.061871728
1654618487497870080,-0.066365002,0.008269066,0.051392933
1654618487507801856,-0.054304348,0.005582855,0.057828378
1654618487517733888,-0.049520517,0.012394987,0.063815342
1654618487527665920,-0.04653037,0.013897852,0.051540867
1654618487537597952,-0.046127378,0.015837506,0.048546508
1654618487547529984,-0.049691576,0.007128711,0.056629114
1654618487557462016,-0.054274925,0.016934507,0.052287557
1654618487567392768,-0.050686324,0.018909457,0.050939189
1654618487577324800,-0.056872354,0.009358878,0.065159032
1654618487587256832,-0.045488309,0.006778181,0.072642884
1654618487597188864,-0.041342967,0.009906408,0.059169729
1654618487607120896,-0.051275952,0.012992529,0.062313192
1654618487617052672,-0.047045505,0.017787381,0.062162334
1654618487626984960,-0.047590913,0.009355867,0.067849336
1654618487636916992,-0.043745172,0.005690654,0.060215212
1654618487646849024,-0.046410625,0.001652172,0.050933926
1654618487656781056,-0.049810914,0.009613416,0.069345054
1654618487666712832,-0.043222536,0.002705936,0.066051317
1654618487676643840,-0.046379594,0.008475598,0.055573107
1654618487686575872,-0.045865039,0.021554205,0.07458299
1654618487696507904,-0.042379906,0.005939069,0.078025246
1654618487706439936,-0.047032221,0.006307364,0.065600497
1654618487716371712,-0.049855357,0.012892581,0.057217929
1654618487726303744,-0.045809869,0.013068607,0.054822909
1654618487736235776,-0.043192272,0.008879294,0.06410361
