Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (°)
0,018239021;52,32157524;4,954475971;-0,491569042;-1;-1;11,98828274;11,98828274
0,018239021;52,32157524;4,954475971;-0,490851879;-1;-1;11,98828274;11,98828274
0,527961016;52,32157524;4,954475971;-0,495537281;-1;-1;11,98828274;11,98828274
6,553573966;52,32157524;4,954475971;-0,493116379;-1;-1;11,98828274;11,98828274
7,089244008;52,32157524;4,954475971;-0,49364996;-1;-1;11,98828274;11,98828274
13,16065598;52,32157524;4,954475971;-0,491993427;-1;-1;11,98828274;11,98828274
13,68614495;52,32157524;4,954475971;-0,49623394;-1;-1;11,98828274;11,98828274
19,74430799;52,32157524;4,954475971;-0,493465424;-1;-1;11,98828274;11,98828274
20,26226497;52,32157524;4,954475971;-0,497561455;-1;-1;11,98828274;11,98828274
26,36188793;52,32157524;4,954475971;-0,494225979;-1;-1;11,98828274;11,98828274
26,88869202;52,32157524;4,954475971;-0,497714043;-1;-1;11,98828274;11,98828274
32,89548004;52,32157524;4,954475971;-0,494330883;-1;-1;11,98828274;11,98828274
33,43189597;52,32157524;4,954475971;-0,49809742;-1;-1;11,98828274;11,98828274
39,49777102;52,32157524;4,954475971;-0,494538307;-1;-1;11,98828274;11,98828274
40,01917303;52,32157524;4,954475971;-0,497115135;-1;-1;11,98828274;11,98828274
46,11795998;52,32157524;4,954475971;-0,493975163;-1;-1;11,98828274;11,98828274
46,64322495;52,32157524;4,954475971;-0,494776726;-1;-1;11,98828274;11,98828274
52,67030203;52,32157524;4,954475971;-0,492643356;-1;-1;11,98828274;11,98828274
53,20113397;52,32157524;4,954475971;-0,494051933;-1;-1;11,98828274;11,98828274
59,28332102;52,32157524;4,954475971;-0,492218971;-1;-1;11,98828274;11,98828274
59,82244599;52,32157524;4,954475971;-0,491680145;-1;-1;11,98828274;11,98828274
65,88760495;52,32157524;4,954475971;-0,490861893;-1;-1;11,98828274;11,98828274
66,40884495;52,32157524;4,954475971;-0,495132923;-1;-1;11,98828274;11,98828274
72,61196601;52,32157524;4,954475971;-0,492821217;-1;-1;11,98828274;11,98828274
73,15616298;52,32157524;4,954475971;-0,496376038;-1;-1;11,98828274;11,98828274
79,25883496;52,32157524;4,954475971;-0,493538857;-1;-1;11,98828274;11,98828274
79,79107797;52,32157524;4,954475971;-0,495954514;-1;-1;11,98828274;11,98828274
85,81828797;52,32157524;4,954475971;-0,493316174;-1;-1;11,98828274;11,98828274
85,94926131;52,32158999;4,954438896;-2,466051892;0,424865037;278,4518715;31,00167767;31,00167767
86,94970977;52,32158976;4,954427187;-2,468405666;0,424865037;282,5260404;33,61511426;33,61511426
95,952999;52,32160821;4,954327487;-2,471835388;0,606314123;15,18648174;76,80021146;76,80021146
96,9532609;52,32160835;4,954296949;-2,475593644;0,606314123;315,5209645;68,8011839;68,8011839
97,95351601;52,32160835;4,954296949;-2,475593575;0,606314123;-1;68,8011839;68,8011839
98,95373571;52,3216083;4,954274476;-2,476862749;0,606314123;-1;72,67124672;72,67124672
99,95394194;52,32160855;4,954259292;-2,476982333;0,768030942;-1;75,68190572;75,68190572
100,9541347;52,32161484;4,954277326;-2,477044011;0,548054457;-1;76,28658414;76,28658414
101,9543161;52,32161313;4,95430567;-2,476407335;0,548054457;-1;76,43333622;76,43333622
102,9544828;52,32170993;4,954294384;-2,480694682;0,548054457;-1;76,4303164;76,4303164
103,9546409;52,32173572;4,954271181;-2,48225036;1,740424871;-1;76,55384843;76,55384843
104,9547861;52,32164443;4,954298828;-2,479504121;0,977478743;-1;72,83251094;72,83251094
105,9549226;52,32156439;4,954331149;-2,47573677;1,318499088;-1;89,17534175;89,17534175
106,9550502;52,32149218;4,954377173;-2,473765514;1,318499088;-1;82,24152421;82,24152421
107,955171;52,32143651;4,954424694;-2,472575514;1,318499088;-1;77,32418374;77,32418374
109,0981793;52,32137589;4,954448043;-2,472120767;1,726971745;-1;73,89862803;73,89862803
116,9559743;52,32133569;4,954679854;-2,466185703;1,417265773;146,9417678;70,27062819;70,27062819
117,9560395;52,32158639;4,954557533;-2,432390363;0,233792433;-1;31,37823823;31,37823823
118,9561006;52,32158413;4,954568717;-2,451731418;0,835728184;-1;34,81360599;34,81360599
119,956158;52,32158708;4,954544492;-2,465127853;0,573899622;-1;38,96631214;38,96631214
120,9562135;52,32159029;4,954523486;-2,472728072;0,535069004;-1;43,036247;43,036247
121,9562654;52,32155269;4,954539645;-2,452784074;0,692833855;-1;44,33320521;44,33320521
122,9563124;52,32159694;4,954508819;-2,427039019;0,502954604;-1;35,44738982;35,44738982
123,9563581;52,32160725;4,954476736;-2,430375562;0,169121217;-1;19,74091014;19,74091014
124,9564011;52,32160618;4,954478426;-2,435819152;0,168963013;-1;22,12801761;22,12801761
125,9564421;52,32160107;4,954442533;-2,446582514;0,522956875;-1;24,93630278;24,93630278
126,9564799;52,32159555;4,954400331;-2,455989981;0,908152165;-1;27,76896198;27,76896198
127,9565172;52,32159779;4,954410408;-2,457822787;0,375706541;-1;31,33414853;31,33414853
128,9565511;52,32159845;4,954416482;-2,460826916;0,376178229;-1;36,00147433;36,00147433
129,9565834;52,32159906;4,95442169;-2,464221959;0,376777627;-1;40,45422802;40,45422802
130,9566143;52,32159783;4,954387839;-2,460565398;0,355516371;-1;41,78739185;41,78739185
131,9566433;52,32165571;4,954322625;-2,483606187;1,092929326;-1;42,74513257;42,74513257
132,9566711;52,32171918;4,954286954;-2,498311035;1,648375214;-1;45,41384725;45,41384725
133,9566972;52,3217095;4,954277695;-2,488649434;1,433650236;-1;47,08400258;47,08400258
134,956722;52,32165178;4,954305161;-2,471298858;1,034327155;-1;37,01629024;37,01629024
135,9567455;52,32161661;4,954408369;-2,471280818;0,148306213;-1;21,04304075;21,04304075
136,9567678;52,32161967;4,954416149;-2,477599817;0,571473062;-1;23,53309788;23,53309788
137,956789;52,32161869;4,954418923;-2,478278499;0,665794193;-1;26,147702;26,147702
138,9568086;52,32161813;4,954421475;-2,479717212;0,642562432;-1;29,84922881;29,84922881
