Time (s),X (µT),Y (µT),Z (µT)
1654618487050937088,24.45722961,-12.49797821,-31.66320801
1654618487060869120,24.48649597,-12.67297363,-31.53710938
1654618487070801152,24.48002625,-12.70764923,-31.93255615
1654618487080733184,24.42816162,-12.3490448,-31.9720459
1654618487090665216,24.52087402,-12.35708618,-31.42114258
1654618487100597504,24.41552734,-12.11759186,-31.31610107
1654618487110528256,24.42541504,-12.31627655,-31.38195801
1654618487120460288,24.19358826,-12.36670685,-31.29229736
1654618487130392320,24.44180298,-12.62469482,-31.47302246
1654618487140324352,24.36138916,-12.51660919,-31.44519043
1654618487150256384,24.40379333,-12.73985291,-31.55554199
1654618487160188160,24.68235779,-12.54968262,-31.80847168
1654618487170120192,24.5279541,-12.18566895,-32.00799561
1654618487180052224,24.70513916,-12.49752045,-31.89031982
1654618487189984256,24.50297546,-12.74212646,-31.63903809
1654618487199916288,24.52119446,-12.43912506,-31.74243164
1654618487209848320,24.47319031,-12.57176208,-31.91845703
1654618487219779328,24.38340759,-12.47598267,-31.42346191
1654618487229711360,24.38960266,-12.1619873,-31.87536621
1654618487239643392,24.61932373,-12.64847565,-31.76251221
1654618487249575424,24.62785339,-12.42603302,-31.40612793
1654618487259507200,24.57369995,-12.34198761,-31.77404785
1654618487269439232,24.24012756,-12.69545746,-31.90222168
1654618487279371264,24.28993225,-13.0092392,-31.83001709
1654618487289303296,24.34880066,-12.67996979,-32.27185059
1654618487299235328,24.36955261,-12.30245972,-32.15362549
1654618487309167360,24.38072205,-12.15048218,-32.74987793
1654618487319099136,23.9947052,-12.35411835,-32.05145264
1654618487329031168,24.24078369,-12.31326294,-31.9128418
1654618487338962432,24.37567139,-12.46720886,-31.64807129
1654618487348894464,24.25343323,-12.36647034,-31.57678223
1654618487358826496,24.40023804,-12.37112427,-31.73236084
1654618487368758272,24.35368347,-12.25470734,-31.93060303
1654618487378690304,24.11006165,-12.37158203,-32.11419678
1654618487388622336,24.23364258,-12.63934326,-31.54901123
1654618487398554368,24.18107605,-12.5820694,-31.52252197
1654618487408486400,24.03282166,-12.56238556,-31.73577881
1654618487418418432,23.9356842,-12.51064301,-31.57769775
1654618487428350208,24.07725525,-12.46740723,-31.64532471
1654618487438282240,24.09011841,-12.56076813,-31.80743408
1654618487448213248,23.88381958,-12.50256348,-31.77423096
1654618487458141696,24.07138062,-12.94703674,-31.31085205
1654618487468073728,24.01499939,-12.84351349,-31.47607422
1654618487478005760,24.14221191,-12.76721954,-31.59979248
1654618487487938048,24.10119629,-13.0872345,-31.34228516
1654618487497870080,24.20431519,-12.82343292,-31.50445557
1654618487507801856,24.19708252,-12.53916168,-31.74493408
1654618487517733888,23.94558716,-12.48696899,-31.75927734
1654618487527665920,24.0965271,-12.73576355,-31.55706787
1654618487537597952,24.48660278,-12.60435486,-31.26403809
1654618487547529984,24.36999512,-12.60089111,-31.28863525
1654618487557462016,24.50228882,-12.68540955,-31.39099121
1654618487567392768,24.39125061,-12.33170319,-31.74560547
1654618487577324800,24.39720154,-12.6493988,-31.40588379
1654618487587256832,24.35334778,-12.4684906,-31.52075195
1654618487597188864,24.47686768,-12.09970856,-31.96960449
1654618487607120896,24.52903748,-12.61266327,-31.78912354
1654618487617052672,24.38398743,-12.39833069,-31.5670166
1654618487626984960,24.33055115,-12.53925323,-31.72558594
1654618487636916992,24.35720825,-12.23000336,-31.76940918
1654618487646849024,24.2570343,-12.49707031,-31.80401611
1654618487656781056,24.49745178,-12.72001648,-31.74591064
1654618487666712832,24.58158875,-12.51579285,-31.71923828
1654618487676643840,24.54090881,-12.71183014,-31.92907715
1654618487686575872,24.70101929,-12.70688629,-31.99414062
1654618487696507904,24.73730469,-12.61607361,-31.42041016
1654618487706439936,24.3187561,-12.72914886,-31.80871582
1654618487716371712,24.55741882,-12.42494965,-31.73883057
1654618487726303744,24.36772156,-12.41146088,-31.35211182
1654618487736235776,24.24542236,-12.51715851,-31.23065186
1654618487746167808,24.52549744,-12.29442596,-31.50335693
1654618487756099840,24.59220886,-12.69176483,-31.28814697
1654618487766031872,24.4263916,-12.61997986,-31.58843994
1654618487775963904,24.35636902,-12.82241058,-31.3729248
1654618487785895936,24.33885193,-12.6481781,-32.28009033
1654618487795826944,24.49803162,-12.73077393,-32.16815186
1654618487805758976,24.27993774,-12.88084412,-31.82226562
1654618487815690752,24.12249756,-12.71633148,-32.09240723
1654618487825622784,24.08621216,-12.88296509,-31.42382812
1654618487835554816,24.34757996,-12.34918213,-32.15936279
1654618487845486848,24.17582703,-12.12705994,-32.15582275
1654618487855418880,24.14179993,-12.47296143,-32.31866455
1654618487865350912,24.41969299,-12.37999725,-32.15710449
1654618487875282688,24.33392334,-12.56307983,-31.71374512
1654618487885214720,24.47622681,-12.47083282,-32.08392334
1654618487895146752,24.26852417,-12.68675232,-31.87097168
1654618487905078016,24.33815002,-12.2305603,-31.8302002
1654618487915010048,24.32278442,-12.66441345,-31.73974609
1654618487924941824,24.19570923,-12.61977386,-31.89154053
1654618487934873856,24.20043945,-12.45718384,-32.37957764
1654618487944805888,24.28964233,-12.41039276,-31.97924805
1654618487954737920,24.10353088,-12.65631104,-31.91271973
1654618487964669952,24.16696167,-12.72223663,-31.98175049
1654618487974601984,24.0372467,-12.78862762,-32.4553833
1654618487984533760,23.95988464,-12.62145233,-32.67730713
1654618487994465792,24.08140564,-12.62434387,-32.13641357
1654618488004397824,24.3441925,-12.77566528,-32.08203125
1654618488014329856,24.03742981,-12.66013336,-32.04907227
1654618488024260864,24.0838623,-12.77183533,-32.3949585
1654618488034192896,24.08335876,-12.89015198,-31.90490723
1654618488044124928,24.19088745,-12.54743958,-32.27062988
