Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487001518848,-4.886887665,5.014422455,6.847809906
1654618487011450112,-4.808899841,4.693340149,6.879394226
1654618487021382144,-4.196074219,4.608017578,6.708000641
1654618487031313152,-3.825744324,4.227359161,6.699169006
1654618487041243904,-3.841910706,3.898942108,6.560557251
1654618487051176192,-4.148173828,4.302203522,6.965914307
1654618487061107200,-4.431384888,4.722230072,7.535779266
1654618487071037952,-4.531826019,4.951253815,7.916737061
1654618487080969984,-4.553530884,4.947511597,7.870632935
1654618487090901248,-4.53526886,4.750670929,7.669002228
1654618487100832000,-4.557572479,4.513863373,7.527845764
1654618487110764032,-4.512516174,4.508773956,7.369624786
1654618487120695040,-4.403093719,4.641398163,7.346872101
1654618487130627072,-4.210743713,4.628973999,7.555687866
1654618487140558080,-4.09293869,4.556374969,7.544610901
1654618487150489088,-4.099375305,4.549040222,7.413932648
1654618487160421120,-4.101021881,4.513563995,7.370522919
1654618487170351872,-4.199217682,4.423451385,7.404951324
1654618487180283136,-4.37734726,4.296964417,7.519612885
1654618487190215168,-4.578379211,4.267924805,7.50494339
1654618487200146176,-4.705914001,4.355642395,7.288194122
1654618487210076928,-4.634362793,4.449946289,7.236850891
1654618487220009216,-4.406686249,4.527485046,7.222780151
1654618487229940224,-4.155209198,4.463268585,7.189848633
1654618487239872000,-3.98770752,4.277953949,7.148833923
1654618487249803008,-3.98995285,4.20415741,7.08955719
1654618487259734272,-4.219725037,4.209695892,7.25571167
1654618487269666304,-4.493954773,4.182901611,7.574249268
1654618487279597056,-4.777914276,4.323309631,7.886649628
1654618487289528064,-4.940925293,4.416116638,7.990982666
1654618487299460096,-5.016069031,4.208498383,8.027357025
1654618487309391104,-5.030588837,4.006717987,7.856711884
1654618487319322112,-4.899012451,3.803740082,7.791746979
1654618487329254144,-4.623585205,3.631448364,7.952063599
1654618487339184896,-4.437671814,3.642375641,8.236322479
1654618487349116928,-4.325704651,3.781137085,8.436156921
1654618487359048192,-4.354145508,3.921395416,8.634793854
1654618487368979200,-4.500241699,4.086801453,8.678952026
1654618487378911232,-4.609664154,4.079616394,8.552315369
1654618487388841984,-4.602479095,3.859124908,8.419840851
1654618487398773248,-4.598886566,3.74655899,8.147407379
1654618487408705280,-4.548591156,3.69042572,7.949219513
1654618487418636032,-4.52583847,3.586541748,7.99517395
1654618487428568064,-4.606969757,3.694916382,8.038883057
1654618487438499328,-4.712799683,3.970792694,8.161178741
1654618487448430080,-4.769831085,4.1432341,8.308322754
1654618487458362112,-4.79737381,4.170477448,8.293503571
1654618487468293120,-4.782255249,4.103416901,8.138875122
1654618487478224384,-4.668342133,3.974684601,7.861651611
1654618487488156160,-4.45922699,3.841012573,7.650291138
1654618487498087168,-4.296215973,3.687431946,7.615862732
1654618487508019200,-4.28139679,3.595373383,7.604187012
1654618487517949952,-4.325554962,3.572021942,7.731572113
1654618487527881216,-4.475842438,3.739673309,7.928113403
1654618487537813248,-4.719685364,3.969445496,7.925269318
1654618487547744256,-4.942571869,3.963457947,7.973768463
1654618487557675008,-5.011278992,3.891008606,7.889493713
1654618487567607040,-4.980892181,3.782334595,7.787555695
1654618487577538304,-4.920118561,3.626957703,7.713010712
1654618487587470080,-4.793032837,3.488795013,7.58562561
1654618487597401088,-4.640949097,3.409909058,7.429649963
1654618487607332352,-4.5785289,3.400628357,7.321724396
1654618487617264384,-4.541256409,3.481759644,7.321874084
