Time (s),X (hPa)
1654618486437358080,1011.241684
1654618487439397120,1011.262054
1654618488441477120,1011.266632
1654618489444591104,1011.276855
1654618490446481920,1011.276855
1654618491448282880,1011.289215
1654618491997313024,1011.296082
1654618492999472128,1011.30249
1654618494001152000,1011.30249
1654618495003140096,1011.302719
1654618496004967936,1011.302719
1654618497006891008,1011.292953
1654618498008580864,1011.290131
1654618499010780160,1011.290131
1654618500012715008,1011.290131
1654618501014611968,1011.31897
1654618502016547072,1011.326447
1654618503018844160,1011.333389
1654618504020806144,1011.336365
1654618505022699008,1011.350555
1654618506024652032,1011.353531
1654618507026551040,1011.370773
1654618508028396032,1011.382828
1654618509030187008,1011.386642
1654618510032316928,1011.388168
1654618511034002944,1011.386642
1654618512035678208,1011.382141
1654618513037771008,1011.368256
1654618514039414016,1011.366119
1654618515041903104,1011.360855
1654618516044000256,1011.360855
1654618517046085120,1011.36261
1654618518047789056,1011.364746
1654618519049409024,1011.365433
1654618520051821056,1011.369781
1654618521053623040,1011.370087
1654618522055531008,1011.370087
1654618523057409024,1011.366119
1654618524059448832,1011.353607
1654618525061267200,1011.349869
1654618526063038976,1011.348648
1654618527065117952,1011.347885
1654618528067850240,1011.347885
1654618529069612032,1011.351624
1654618530071429120,1011.357803
1654618531073511168,1011.357803
1654618532075073024,1011.357269
1654618533077275904,1011.355743
1654618534079118080,1011.355743
1654618535080910848,1011.347427
1654618536082767872,1011.343536
1654618537084667904,1011.343536
1654618538086727168,1011.345291
1654618539088438016,1011.345291
1654618540090873856,1011.34407
1654618541092838144,1011.343536
1654618542095118080,1011.342697
1654618543096873984,1011.342468
1654618544098684160,1011.342697
1654618545100734976,1011.344452
1654618546102519040,1011.347275
1654618547105059072,1011.347275
1654618548107512064,1011.343384
1654618549108519168,1011.33667
1654618550110379008,1011.327744
1654618551112414976,1011.317062
1654618552114804992,1011.316528
1654618553116219136,1011.316528
1654618554118356992,1011.323395
1654618555120263936,1011.333389
1654618556122156032,1011.349411
1654618557124107008,1011.357956
1654618558125891840,1011.366425
1654618559127584000,1011.369247
1654618560129373952,1011.369247
1654618561131107072,1011.371841
1654618562133175040,1011.371841
1654618563135395072,1011.363373
1654618564136624128,1011.363373
1654618565139038208,1011.364594
1654618566141025024,1011.364594
1654618567143278080,1011.365204
1654618568145043200,1011.365204
1654618569147181056,1011.365204
1654618570149977856,1011.358871
1654618571151217920,1011.355057
1654618572153268224,1011.353455
1654618573154895104,1011.34346
1654618574156979200,1011.339951
1654618575158482176,1011.322021
1654618576160325120,1011.312027
1654618577162352128,1011.305542
1654618578164143104,1011.30394
1654618579166253056,1011.30394
1654618580167892992,1011.310272
1654618581169861120,1011.316071
1654618582171936000,1011.317291
1654618583173951232,1011.317291
1654618584175941888,1011.313705
1654618585177607936,1011.304855
1654618586179947264,1011.30188
1654618587181705984,1011.300659
1654618588184002048,1011.30188
1654618589186393856,1011.307373
1654618590188005888,1011.319656
1654618591189896192,1011.333389
1654618592191604992,1011.341782
1654618593193389056,1011.349182
1654618594195399936,1011.357193
1654618595197277952,1011.36116
1654618596199412224,1011.36116
1654618597201158912,1011.364136
1654618598203166976,1011.366577
1654618599205295104,1011.372147
1654618600207305984,1011.372147
1654618601209747200,1011.37413
1654618602211915008,1011.371841
1654618603213691904,1011.354752
1654618604215619072,1011.345139
1654618605217291008,1011.340942
1654618606219554816,1011.337357
1654618607221432064,1011.337357
1654618608223345920,1011.34552
1654618609224952832,1011.34552
1654618610226754816,1011.343536
1654618611228573184,1011.343536
1654618612230864896,1011.353455
1654618613232697856,1011.364365
1654618614234381824,1011.391678
1654618615236358912,1011.420441
1654618616238308864,1011.43074
1654618617240160000,1011.43074
