Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487010208256,-0.198466152,0.048856508,-0.096126474
1654618487020140288,-0.256094188,0.058328554,-0.197906539
1654618487030071040,-0.360675991,0.089177012,-0.295963079
1654618487040002048,-0.465025306,0.06726338,-0.349373877
1654618487049934080,-0.489529043,-0.03330531,-0.296814263
1654618487059865088,-0.457850725,-0.164020702,-0.169662461
1654618487069796096,-0.38871026,-0.270531416,-0.050714236
1654618487079728128,-0.296742588,-0.247929573,0.009458181
1654618487089658880,-0.232920453,-0.144678012,-0.006142883
1654618487099590912,-0.208337039,-0.006275206,-0.059710316
1654618487109522176,-0.209447578,0.108181596,-0.103108391
1654618487119453184,-0.216462016,0.131028563,-0.126737952
1654618487129384960,-0.238059461,0.063679621,-0.123356529
1654618487139315968,-0.273522526,-0.023116542,-0.094752483
1654618487149247232,-0.293593437,-0.089095823,-0.063213468
1654618487159179008,-0.296605498,-0.128253192,-0.05787158
1654618487169110016,-0.278582811,-0.136370227,-0.059292909
1654618487179041024,-0.255894989,-0.114993431,-0.066718161
1654618487188973312,-0.234486088,-0.050817639,-0.073343836
1654618487198904064,-0.226009622,0.052043613,-0.080505252
1654618487208836096,-0.220688894,0.129262775,-0.102318406
1654618487218767104,-0.210253015,0.152801842,-0.129120544
1654618487228698112,-0.222119525,0.109500967,-0.161944002
1654618487238630144,-0.271036238,0.035770874,-0.194398105
1654618487248561152,-0.334912419,-0.044815049,-0.212732375
1654618487258491904,-0.384388298,-0.100228526,-0.203894272
1654618487268423936,-0.391349524,-0.159271076,-0.174024791
1654618487278355200,-0.363785178,-0.19740507,-0.102335013
1654618487288285952,-0.315285295,-0.196232483,-0.036835369
1654618487298217984,-0.272684425,-0.112471752,-0.017045103
1654618487308148992,-0.252550125,0.032699551,-0.040653229
1654618487318081024,-0.260369062,0.16668953,-0.091432564
1654618487328012032,-0.281216264,0.221625477,-0.150582179
1654618487337943040,-0.288225293,0.187856406,-0.183641657
1654618487347875072,-0.286467075,0.086674944,-0.177382961
1654618487357806080,-0.269270599,-0.043135665,-0.138911903
1654618487367737088,-0.225661084,-0.144190371,-0.070911281
1654618487377669120,-0.189454317,-0.200297028,-0.019935876
1654618487387600128,-0.175946504,-0.196174175,-0.01288649
1654618487397532160,-0.175021812,-0.117187567,-0.038626816
1654618487407463168,-0.175353646,-0.033260442,-0.095076248
1654618487417394176,-0.173273802,0.021722775,-0.138290778
1654618487427326208,-0.165319473,0.050398361,-0.136852399
1654618487437256960,-0.134785041,0.022786487,-0.104077712
1654618487447188224,-0.092501514,-0.020501865,-0.05325501
1654618487457120256,-0.038499903,-0.064640358,0.008433782
1654618487467051264,-0.010290638,-0.093519673,0.051618535
1654618487476983040,-0.023426469,-0.078220382,0.063105218
1654618487486914048,-0.059715763,-0.056559291,0.038596675
1654618487496845312,-0.09754695,-0.023887604,-0.020396309
1654618487506777088,-0.119983807,0.008578193,-0.087471478
1654618487516708096,-0.141008928,0.017467715,-0.139099747
1654618487526639104,-0.137332439,-0.004063941,-0.155445963
1654618487536571392,-0.10136614,-0.028602393,-0.122329377
1654618487546502144,-0.065655015,-0.044828501,-0.067411006
1654618487556434176,-0.041218963,-0.043502394,-0.020649347
1654618487566365184,-0.030072033,-0.032424446,0.012098478
1654618487576296192,-0.023565756,-0.021605372,0.033471383
1654618487586228224,-0.027807105,-0.006398455,0.032133412
1654618487596159232,-0.061322615,0.008226083,0.006679054
1654618487606089984,-0.108556703,0.020190068,-0.028898913
1654618487616022016,-0.151930973,0.032962911,-0.061305184
1654618487625953280,-0.181419879,0.04674264,-0.090552017
1654618487635885312,-0.19480674,0.060082372,-0.115058929
1654618487645816064,-0.182568714,0.075346276,-0.129441872
1654618487655747072,-0.170339406,0.066610716,-0.128044546
1654618487665679104,-0.159256131,0.040865138,-0.104005262
1654618487675610112,-0.146790654,0.01189878,-0.076768741
1654618487685541120,-0.138584644,-0.015824728,-0.060399089
1654618487695473152,-0.141520158,-0.02195698,-0.062834822
1654618487705404160,-0.144172132,-0.02610432,-0.074728236
1654618487715336192,-0.137686104,-0.015938178,-0.086776368
1654618487725267200,-0.129557073,-0.000123528,-0.105238468
1654618487735198208,-0.131679237,0.009496596,-0.12339633
1654618487745129984,-0.138660714,0.008098437,-0.141195297
1654618487755061248,-0.145204902,-0.010143351,-0.152902514
1654618487764992256,-0.158336416,-0.039260492,-0.148423076
1654618487774924288,-0.171678171,-0.071838774,-0.130864307
1654618487784855040,-0.175954685,-0.077075876,-0.110789403
1654618487794787072,-0.168355197,-0.059631962,-0.108937845
1654618487804718336,-0.164863795,-0.016119638,-0.119745486
1654618487814649088,-0.160272062,0.022798745,-0.135851055
1654618487824581120,-0.159633443,0.03657528,-0.158543319
1654618487834512128,-0.159881115,0.022183822,-0.160422176
1654618487844444160,-0.156999841,-0.000428546,-0.149943963
1654618487854375168,-0.149364963,-0.034311909,-0.122377642
1654618487864306176,-0.127906814,-0.058206324,-0.093290329
1654618487874238208,-0.111557029,-0.064743601,-0.070155084
1654618487884169216,-0.103652768,-0.047176056,-0.058478989
1654618487894100224,-0.09292616,-0.025677696,-0.060318306
