Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487010208256,-0.442111192,0.241150576,-0.4799418
1654618487020140288,-0.353239361,-0.056902471,-0.456707304
1654618487030071040,0.276801342,-0.108925442,-0.63910301
1654618487040002048,0.668557774,-0.44462374,-0.663570099
1654618487049934080,0.66903286,-0.722951497,-0.823587341
1654618487059865088,0.366222811,-0.27426979,-0.444363831
1654618487069796096,0.071202714,0.182026455,0.096063906
1654618487079728128,-0.048061481,0.437173218,0.449807589
1654618487089658880,-0.084723231,0.452772712,0.383097875
1654618487099590912,-0.070791655,0.273630397,0.168292222
1654618487109522176,-0.085493017,0.05596604,0.02026528
1654618487119453184,-0.025834168,0.071866666,-0.141676281
1654618487129384960,0.096571444,0.227049138,-0.169951662
1654618487139315968,0.295211008,0.238657323,0.028563648
1654618487149247232,0.412012064,0.190774766,0.002524828
1654618487159179008,0.399897218,0.208310858,-0.145876921
1654618487169110016,0.390477646,0.197108763,-0.207785486
1654618487179041024,0.2852991,0.129880985,-0.190472465
1654618487188973312,0.103663532,0.025079293,-0.090094483
1654618487198904064,-0.094036676,0.016869217,-0.114459831
1654618487208836096,-0.210644774,0.125478617,-0.336395579
1654618487218767104,-0.123291466,0.241208755,-0.390263053
1654618487228698112,0.120590052,0.34137156,-0.407182556
1654618487238630144,0.385052599,0.303782149,-0.446956487
1654618487248561152,0.560838321,0.150794137,-0.500570192
1654618487258491904,0.561587057,0.114020998,-0.577930609
1654618487268423936,0.329756066,0.158051701,-0.433404395
1654618487278355200,0.046995826,0.166616702,-0.138423475
1654618487288285952,-0.249763232,0.33588921,0.151507205
1654618487298217984,-0.424135096,0.452340895,0.237068342
1654618487308148992,-0.501339101,0.266057083,0.261375217
1654618487318081024,-0.505170781,0.086858342,0.085521376
1654618487328012032,-0.353320637,-0.089743066,0.019129751
1654618487337943040,-0.055311152,-0.23238443,0.177890427
1654618487347875072,0.148489164,-0.190950475,0.457579708
1654618487357806080,0.268301829,-0.023327467,0.647880265
1654618487367737088,0.23619126,0.140894801,0.832696134
1654618487377669120,0.078100675,0.324378674,0.861083781
1654618487387600128,-0.04660494,0.331880944,0.7184737
1654618487397532160,-0.051041807,0.126109531,0.572221972
1654618487407463168,-0.050793301,0.030022529,0.290034176
1654618487417394176,0.003563878,-0.007017536,0.085193932
1654618487427326208,0.034424897,-0.091217734,0.126617362
1654618487437256960,-0.039214352,0.03457137,0.166552675
1654618487447188224,-0.142403382,0.32298499,0.284562936
1654618487457120256,-0.202050245,0.501508378,0.4273765
