Time (s);X (µT);Y (µT);Z (µT)
0,010208083;-18,70135498;-10,63965607;-49,76593018
0,020140083;-18,664711;-10,65618134;-49,77075195
0,030071083;-18,65551758;-10,63898468;-49,83221436
0,040002083;-18,51222229;-10,23564148;-49,87554932
0,049934083;-18,28694153;-10,31240845;-49,55865479
0,059865083;-18,20640564;-9,955451965;-49,79663086
0,069796083;-18,28014374;-9,946556091;-49,39624023
0,079728083;-18,32872772;-9,527046204;-49,578125
0,089659083;-18,47855377;-9,186332703;-49,57116699
0,099591083;-18,62049866;-9,185630798;-49,32861328
0,109522083;-18,62049866;-9,185630798;-49,32861328
0,119453083;-18,45672607;-9,397407532;-49,83374023
0,129385083;-18,39605713;-9,254570007;-49,5078125
0,139316083;-18,59938812;-9,133934021;-49,27929688
0,149247083;-18,43539429;-9,18963623;-50,0737915
0,159179083;-18,52709198;-8,830657959;-49,66937256
0,169110083;-18,41129303;-9,003067017;-50,18066406
0,179041083;-18,27226257;-8,833496094;-50,25653076
0,188973083;-18,27046967;-8,766021729;-50,05908203
0,198904083;-18,19645691;-8,632194519;-50,1206665
0,208836083;-18,1131134;-8,261398315;-50,33306885
0,218767083;-18,23357391;-8,231056213;-50,13098145
0,228698083;-18,23357391;-8,231056213;-50,13098145
0,238630083;-18,32287598;-8,480201721;-50,24768066
0,248561083;-18,16571808;-8,278778076;-50,34210205
0,258492083;-18,26228333;-8,505096436;-50,21142578
0,268424083;-18,24903107;-8,05745697;-50,31335449
0,278355083;-18,27658081;-8,358047485;-50,07067871
0,288286083;-18,63995361;-8,221687317;-50,52258301
0,298218083;-18,84120178;-8,254356384;-50,4364624
0,308149083;-18,82556152;-7,68686676;-50,85247803
0,318081083;-18,55092621;-7,574256897;-50,62945557
0,328012083;-18,54929352;-7,548614502;-50,18939209
0,337943083;-18,40200043;-7,510520935;-50,02362061
0,347875083;-18,33379364;-7,587890625;-50,25280762
0,357806167;-18,23829651;-7,288696289;-50,7119751
0,367737167;-18,16474152;-7,160873413;-50,56134033
0,377669167;-18,47615814;-7,116523743;-50,84783936
0,387600167;-18,67813873;-6,871513367;-51,28771973
0,397532167;-18,5477829;-6,953773499;-50,89038086
0,407463167;-18,26374054;-6,891326904;-51,19824219
0,417394167;-18,70333099;-7,04624939;-50,8815918
0,427326167;-18,47331238;-6,779350281;-51,08911133
0,437257167;-18,51760101;-6,622665405;-51,14013672
0,447188167;-18,54736328;-6,670211792;-51,16894531
0,457120167;-18,50756073;-6,634490967;-50,76245117
0,467051167;-18,65132904;-6,540489197;-50,93591309
0,476983167;-18,61736298;-6,543563843;-50,69512939
0,486914167;-18,60468292;-6,595291138;-50,940979
0,496845167;-18,50566101;-6,599098206;-50,81005859
0,506777167;-18,56519318;-6,298721313;-50,72192383
0,516708167;-18,49787903;-6,297271729;-50,19750977
0,526639167;-18,65513611;-6,300628662;-50,56915283
0,536571167;-18,86451721;-6,209663391;-50,46563721
0,546502167;-18,93041992;-6,285018921;-50,44744873
0,556434167;-18,90135193;-6,493309021;-50,76678467
0,566365167;-18,8118515;-6,373886108;-51,06958008
0,576296167;-18,87754059;-6,562179565;-50,51678467
0,586228167;-18,76811218;-6,419090271;-50,27905273
0,596159167;-18,55744171;-6,314918518;-50,49346924
0,606090167;-18,69231415;-6,200271606;-50,35736084
0,616022167;-18,50856781;-5,891334534;-50,83166504
0,625953167;-18,76106262;-6,022895813;-50,91894531
0,635885167;-18,79033661;-5,90007019;-51,00518799
0,645816167;-18,68354034;-6,114997864;-51,02838135
0,655747167;-18,54346466;-6,342758179;-50,8772583
0,665679167;-18,59379578;-6,04498291;-50,63720703
0,675610167;-18,35951996;-6,039421082;-50,82751465
0,685541167;-18,55841827;-5,917236328;-50,9710083
0,695473167;-18,56204987;-6,069793701;-50,9362793
0,705404167;-18,46923828;-5,792022705;-51,0982666
0,715336167;-18,47194672;-5,814308167;-51,16845703
0,725267167;-18,51506042;-5,735214233;-50,92938232
0,735198167;-18,49746704;-5,680839539;-50,92193604
0,745130167;-18,56087494;-5,759819031;-50,96246338
0,755061167;-18,39967346;-5,504119873;-51,05743408
0,764992167;-18,38538361;-5,207244873;-51,42181396
0,774924167;-18,5411911;-5,276947021;-51,63391113
0,784855167;-18,45291138;-5,467315674;-51,51068115
