Time (s),X (µT),Y (µT),Z (µT)
1654618487010208256,-18.70135498,-10.63965607,-49.76593018
1654618487020140288,-18.664711,-10.65618134,-49.77075195
1654618487030071040,-18.65551758,-10.63898468,-49.83221436
1654618487040002048,-18.51222229,-10.23564148,-49.87554932
1654618487049934080,-18.28694153,-10.31240845,-49.55865479
1654618487059865088,-18.20640564,-9.955451965,-49.79663086
1654618487069796096,-18.28014374,-9.946556091,-49.39624023
1654618487079728128,-18.32872772,-9.527046204,-49.578125
1654618487089658880,-18.47855377,-9.186332703,-49.57116699
1654618487099590912,-18.62049866,-9.185630798,-49.32861328
1654618487109522176,-18.62049866,-9.185630798,-49.32861328
1654618487119453184,-18.45672607,-9.397407532,-49.83374023
1654618487129384960,-18.39605713,-9.254570007,-49.5078125
1654618487139315968,-18.59938812,-9.133934021,-49.27929688
1654618487149247232,-18.43539429,-9.18963623,-50.0737915
1654618487159179008,-18.52709198,-8.830657959,-49.66937256
1654618487169110016,-18.41129303,-9.003067017,-50.18066406
1654618487179041024,-18.27226257,-8.833496094,-50.25653076
1654618487188973312,-18.27046967,-8.766021729,-50.05908203
1654618487198904064,-18.19645691,-8.632194519,-50.1206665
1654618487208836096,-18.1131134,-8.261398315,-50.33306885
1654618487218767104,-18.23357391,-8.231056213,-50.13098145
1654618487228698112,-18.23357391,-8.231056213,-50.13098145
1654618487238630144,-18.32287598,-8.480201721,-50.24768066
1654618487248561152,-18.16571808,-8.278778076,-50.34210205
1654618487258491904,-18.26228333,-8.505096436,-50.21142578
1654618487268423936,-18.24903107,-8.05745697,-50.31335449
1654618487278355200,-18.27658081,-8.358047485,-50.07067871
1654618487288285952,-18.63995361,-8.221687317,-50.52258301
1654618487298217984,-18.84120178,-8.254356384,-50.4364624
1654618487308148992,-18.82556152,-7.68686676,-50.85247803
1654618487318081024,-18.55092621,-7.574256897,-50.62945557
1654618487328012032,-18.54929352,-7.548614502,-50.18939209
1654618487337943040,-18.40200043,-7.510520935,-50.02362061
1654618487347875072,-18.33379364,-7.587890625,-50.25280762
1654618487357806080,-18.23829651,-7.288696289,-50.7119751
1654618487367737088,-18.16474152,-7.160873413,-50.56134033
1654618487377669120,-18.47615814,-7.116523743,-50.84783936
1654618487387600128,-18.67813873,-6.871513367,-51.28771973
1654618487397532160,-18.5477829,-6.953773499,-50.89038086
1654618487407463168,-18.26374054,-6.891326904,-51.19824219
1654618487417394176,-18.70333099,-7.04624939,-50.8815918
1654618487427326208,-18.47331238,-6.779350281,-51.08911133
1654618487437256960,-18.51760101,-6.622665405,-51.14013672
1654618487447188224,-18.54736328,-6.670211792,-51.16894531
1654618487457120256,-18.50756073,-6.634490967,-50.76245117
1654618487467051264,-18.65132904,-6.540489197,-50.93591309
1654618487476983040,-18.61736298,-6.543563843,-50.69512939
1654618487486914048,-18.60468292,-6.595291138,-50.940979
1654618487496845312,-18.50566101,-6.599098206,-50.81005859
1654618487506777088,-18.56519318,-6.298721313,-50.72192383
1654618487516708096,-18.49787903,-6.297271729,-50.19750977
1654618487526639104,-18.65513611,-6.300628662,-50.56915283
1654618487536571392,-18.86451721,-6.209663391,-50.46563721
1654618487546502144,-18.93041992,-6.285018921,-50.44744873
1654618487556434176,-18.90135193,-6.493309021,-50.76678467
1654618487566365184,-18.8118515,-6.373886108,-51.06958008
1654618487576296192,-18.87754059,-6.562179565,-50.51678467
1654618487586228224,-18.76811218,-6.419090271,-50.27905273
1654618487596159232,-18.55744171,-6.314918518,-50.49346924
1654618487606089984,-18.69231415,-6.200271606,-50.35736084
1654618487616022016,-18.50856781,-5.891334534,-50.83166504
1654618487625953280,-18.76106262,-6.022895813,-50.91894531
1654618487635885312,-18.79033661,-5.90007019,-51.00518799
1654618487645816064,-18.68354034,-6.114997864,-51.02838135
1654618487655747072,-18.54346466,-6.342758179,-50.8772583
1654618487665679104,-18.59379578,-6.04498291,-50.63720703
1654618487675610112,-18.35951996,-6.039421082,-50.82751465
1654618487685541120,-18.55841827,-5.917236328,-50.9710083
1654618487695473152,-18.56204987,-6.069793701,-50.9362793
1654618487705404160,-18.46923828,-5.792022705,-51.0982666
1654618487715336192,-18.47194672,-5.814308167,-51.16845703
1654618487725267200,-18.51506042,-5.735214233,-50.92938232
1654618487735198208,-18.49746704,-5.680839539,-50.92193604
1654618487745129984,-18.56087494,-5.759819031,-50.96246338
1654618487755061248,-18.39967346,-5.504119873,-51.05743408
1654618487764992256,-18.38538361,-5.207244873,-51.42181396
1654618487774924288,-18.5411911,-5.276947021,-51.63391113
1654618487784855040,-18.45291138,-5.467315674,-51.51068115
1654618487794787072,-18.64949036,-5.577354431,-51.57958984
1654618487804718336,-18.97753906,-5.400253296,-51.26226807
1654618487814649088,-18.71435547,-5.182998657,-51.39904785
1654618487824581120,-18.69753265,-5.366264343,-51.11804199
1654618487834512128,-18.48117065,-5.202293396,-51.4229126
1654618487844444160,-18.55761719,-4.98840332,-51.50183105
1654618487854375168,-18.37666321,-4.880187988,-51.33258057
1654618487864306176,-18.30028534,-4.577461243,-51.6348877
1654618487874238208,-18.43678284,-4.680137634,-51.09716797
1654618487884169216,-18.60055542,-4.955528259,-51.00994873
1654618487894100224,-18.60552979,-5.047988892,-51.1105957
1654618487904032256,-18.70368958,-5.178443909,-51.04064941
1654618487913963008,-18.50796509,-4.653862,-51.44439697
1654618487923895040,-18.75153351,-5.023277283,-51.43048096
1654618487933826304,-18.71648407,-5.036148071,-51.55670166
1654618487943757056,-18.80445862,-4.949829102,-51.83636475
1654618487953689088,-18.57308197,-4.825439453,-51.56317139
1654618487963620096,-18.51803589,-4.761932373,-51.50012207
1654618487973552128,-18.74513245,-4.967079163,-51.33862305
1654618487983483136,-18.82240295,-4.667175293,-51.28283691
1654618487993414144,-18.70066833,-4.779846191,-51.59448242
1654618488003346176,-18.60041809,-4.626525879,-51.55755615
1654618488013276928,-18.54471588,-4.548187256,-51.25836182
1654618488023208192,-18.47367096,-4.495323181,-51.52453613
1654618488033140224,-18.53314972,-4.693778992,-51.4263916
1654618488043071232,-18.41117096,-3.987709045,-52.02819824
1654618488053003008,-18.54637146,-4.227966309,-51.76837158
1654618488062934272,-18.58489227,-4.05645752,-52.0713501
1654618488072865280,-18.62954712,-4.219009399,-51.69818115
1654618488082797056,-18.78134155,-4.02481842,-51.79644775
1654618488092728064,-18.92303467,-4.035583496,-51.359375
1654618488102660096,-18.85020447,-3.889038086,-51.79003906
1654618488112591360,-19.19691467,-3.981185913,-51.88031006
1654618488122522112,-19.25792694,-3.754173279,-52.23693848
