Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,002426833;-3,624862061;3,999233551;7,811655579
0,012357833;-3,610491943;4,114793243;7,837102661
0,022289833;-3,400179291;4,048032074;7,6441539
0,032221833;-3,242706757;3,801045685;7,402107239
0,042152833;-3,087479553;3,646716614;7,26738739
0,052084833;-2,899021454;3,559597778;7,430697784
0,062016833;-2,582130432;3,493585052;7,732619934
0,071948833;-2,262545013;3,49972229;8,124505005
0,081879833;-2,019450531;3,459306335;8,614735565
0,091811833;-1,964065704;3,278332672;8,626111908
0,101743833;-1,953288116;3,218457184;8,524173889
0,111674833;-1,908231812;2,825524292;8,741521912
0,121606833;-1,625170441;2,593806152;8,736282806
0,131538833;-1,393302612;2,441572723;8,568032684
0,141470833;-1,088835754;2,446063385;8,48315918
0,151401833;-0,648002472;2,4034021;8,787775726
0,161333833;-0,562230835;2,342628479;9,130562897
0,171265833;-0,812959442;2,234104156;8,839568024
0,181197833;-0,506995697;2,029629364;9,001231842
0,191128833;-0,124541016;1,698068848;9,129964142
0,201060833;0,1778302;1,469494171;9,445807343
0,210992833;-0,041463776;1,11622879;9,387728119
0,220923833;-0,226179657;0,692460022;9,877958679
0,230855833;-0,499810638;0,730031891;10,10608429
0,240787833;-1,117126923;1,474134521;9,480684814
0,250719833;-0,90561676;2,168839874;9,258247375
0,260650833;-0,290994873;1,676962738;9,945318604
0,270582833;-0,197888489;0,737965393;9,94217514
0,280514833;-0,285157013;-0,292641449;9,369615784
0,290446833;-0,405806122;0,334404602;8,873547363
0,300377833;0,172142029;0,69859726;9,115294647
0,310309833;0,573457489;0,254620514;9,041947174
0,320241833;0,84125061;-0,352816315;8,724607086
0,330172833;0,909508667;-1,407672729;8,729097748
0,340104833;0,675994263;-2,224224701;9,284143524
0,350036833;0,657432861;-2,703228607;10,15458344
0,359968833;0,882115631;-2,749332733;11,51240982
0,369899833;0,41778122;-2,025288391;10,94898148
0,379831833;-0,31120285;-1,131646729;9,230554962
0,389763833;-0,780027924;-1,049168243;9,092242584
0,399694833;-0,971030731;-1,411564636;9,75266922
0,409626833;-0,886456604;-1,706301727;10,11326935
0,419558833;-0,773142242;-2,030976563;9,654473419
0,429490833;-0,613723755;-2,282154236;8,999884644
0,439421833;-0,355810089;-2,520758057;8,236472168
0,449353833;-0,070653076;-2,822829895;7,777975616
0,459285833;0,1685495;-3,214415588;7,668553162
0,469217833;-0,094453583;-3,635789337;7,95311142
0,479148833;-1,636097717;-2,526296539;8,31460968
0,489080833;-2,237397308;-1,500330048;8,201445007
0,499012833;-0,983754273;-0,855021973;8,842711487
0,508943833;-1,492246857;-0,633332977;10,18661682
0,518875833;-0,663270721;-1,596879272;10,50859726
0,528807833;-0,249531097;-1,610500946;10,55036041
0,538739833;-0,207917633;-1,200054474;11,41825562
0,548670833;-0,962797852;-0,222587128;14,79807724
0,558602833;-1,431173859;-0,902473297;20,00574783
0,568534833;-1,369502106;-3,490142212;23,91097687
0,578466833;-2,16704361;-3,947291565;26,36422531
0,588397833;-2,009122009;-3,760480042;27,03557922
0,598329833;-0,749341736;-3,929628296;25,27733551
0,608261833;0,247285767;-3,303181;21,71893524
0,618192833;1,091979218;-1,511556702;19,44067291
0,628124833;1,630409546;-0,585881653;18,1919696
0,638056833;1,670675812;-0,243693237;17,40745102
0,647988833;0,82253952;0,197289734;16,29241974
0,657919833;-0,210162964;0,218246155;15,15343826
0,667851833;-0,863254852;-0,331859894;14,18405411
0,677783833;-1,025966492;-0,942589874;13,36825058
0,687714833;0,039966888;-1,407822418;12,2810614
0,697646833;0,172142029;-1,087338867;10,7495961
0,707578833;0,113314362;-0,261506195;8,330626373
0,717510833;0,32766861;0,66581543;5,745801544
0,727441833;0,223335571;1,504221954;4,503834229
0,737373833;0,215851135;1,922751617;4,364324341
0,747305833;0,286055145;1,37369339;4,105362854
0,757237833;0,053139496;0,556093597;4,079167328
0,767168833;-1,031355286;-0,263901215;4,927602997
0,777100833;-4,636907501;-1,477727051;5,236261139
0,787032833;-10,7190596;0,660276947;3,270698547
0,796963833;-7,593110046;1,281335449;3,386707306
0,806896333;-1,519190826;0,884510651;4,796625366
0,816828333;0,130827942;2,072140961;3,480412445
0,826760333;0,749341736;1,410965881;3,11831543
0,836691333;0,810564423;0,935404816;1,782193909
0,846623333;0,561781769;0,105829926;0,254021759
0,856555333;1,615590363;0,28201355;0,257763977
0,866486333;2,137255554;0,852028198;1,323996735
0,876418333;1,008003845;1,517095184;2,799777832
0,886350333;-1,064885559;2,885250092;5,330415344
0,896282333;-2,605481873;4,083807678;4,414919128
0,906213333;-2,40684494;4,059857483;2,80232254
0,916145333;0,042810974;0,960851898;3,387755127
0,926077333;0,521066437;-0,51597702;3,152294769
0,936009333;0,070653076;0,238154755;3,104693756
0,945940333;-0,523760834;0,747545471;3,217409363
0,955872333;-0,55115387;0,542322235;3,096311188
0,965804333;-0,196990356;0,45280838;3,059936829
0,975735333;0,372874603;0,6529422;2,662064209
0,985667333;0,751736755;0,746347961;2,817291412
0,995599333;0,371527405;1,154549103;3,343447266
1,005531333;-0,172291718;1,839225311;3,507655792
1,015462333;-1,044527893;2,666704559;5,019511871
1,025394333;-1,497186584;3,626658325;9,161698151
1,035326333;-0,265697479;4,3117836;15,04057297
1,045258333;1,657652893;4,435725861;20,97528168
1,055189333;3,370091858;3,392694855;26,98184097
1,065121333;3,968996429;0,949176178;32,5712178
1,075053333;3,877087555;-0,295934601;36,74274307
1,084984333;5,968837738;-0,745898895;37,87873077
1,094916333;7,6242453;-0,370778961;39,69909531
1,104848333;7,51317627;0,675694885;39,39492783
1,114780333;5,372926941;2,244133301;36,39516586
1,124711333;3,146905975;3,486998749;31,66425385
1,134643333;1,977687378;4,684209137;26,76673828
1,144575333;1,979034576;4,8160849;21,81847824
1,154506333;2,811004486;5,370082855;16,45692764
1,164438333;3,681743774;5,215005341;11,9333345
1,174370333;3,988306274;4,626279602;8,298592987
1,184302333;3,872596893;3,885021057;5,572611694
1,194233333;3,566483459;3,381767578;3,337160339
1,204165333;3,157384186;2,697540436;1,418450317
1,214097333;2,439327393;2,110461273;-0,031883698
1,224029333;1,616039429;1,408870239;-0,468226318
1,233960333;1,064885559;0,766106873;-0,83900528
