Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487002426880,-3.624862061,3.999233551,7.811655579
1654618487012357888,-3.610491943,4.114793243,7.837102661
1654618487022289664,-3.400179291,4.048032074,7.6441539
1654618487032221696,-3.242706757,3.801045685,7.402107239
1654618487042152960,-3.087479553,3.646716614,7.26738739
1654618487052084992,-2.899021454,3.559597778,7.430697784
1654618487062016768,-2.582130432,3.493585052,7.732619934
1654618487071948800,-2.262545013,3.49972229,8.124505005
1654618487081879808,-2.019450531,3.459306335,8.614735565
1654618487091811840,-1.964065704,3.278332672,8.626111908
1654618487101743872,-1.953288116,3.218457184,8.524173889
1654618487111674880,-1.908231812,2.825524292,8.741521912
1654618487121606912,-1.625170441,2.593806152,8.736282806
1654618487131538944,-1.393302612,2.441572723,8.568032684
1654618487141470976,-1.088835754,2.446063385,8.48315918
1654618487151401728,-0.648002472,2.4034021,8.787775726
1654618487161333760,-0.562230835,2.342628479,9.130562897
1654618487171265792,-0.812959442,2.234104156,8.839568024
1654618487181197824,-0.506995697,2.029629364,9.001231842
1654618487191128832,-0.124541016,1.698068848,9.129964142
1654618487201060864,0.1778302,1.469494171,9.445807343
1654618487210992896,-0.041463776,1.11622879,9.387728119
1654618487220923904,-0.226179657,0.692460022,9.877958679
1654618487230855936,-0.499810638,0.730031891,10.10608429
1654618487240787712,-1.117126923,1.474134521,9.480684814
1654618487250719744,-0.90561676,2.168839874,9.258247375
1654618487260650752,-0.290994873,1.676962738,9.945318604
1654618487270583040,-0.197888489,0.737965393,9.94217514
1654618487280514816,-0.285157013,-0.292641449,9.369615784
1654618487290446848,-0.405806122,0.334404602,8.873547363
1654618487300377856,0.172142029,0.69859726,9.115294647
1654618487310309888,0.573457489,0.254620514,9.041947174
1654618487320241920,0.84125061,-0.352816315,8.724607086
1654618487330172672,0.909508667,-1.407672729,8.729097748
1654618487340104704,0.675994263,-2.224224701,9.284143524
1654618487350036736,0.657432861,-2.703228607,10.15458344
1654618487359969024,0.882115631,-2.749332733,11.51240982
1654618487369899776,0.41778122,-2.025288391,10.94898148
1654618487379831808,-0.31120285,-1.131646729,9.230554962
1654618487389763840,-0.780027924,-1.049168243,9.092242584
1654618487399694848,-0.971030731,-1.411564636,9.75266922
1654618487409626624,-0.886456604,-1.706301727,10.11326935
1654618487419558656,-0.773142242,-2.030976563,9.654473419
1654618487429490688,-0.613723755,-2.282154236,8.999884644
1654618487439421952,-0.355810089,-2.520758057,8.236472168
1654618487449353984,-0.070653076,-2.822829895,7.777975616
1654618487459285760,0.1685495,-3.214415588,7.668553162
1654618487469217792,-0.094453583,-3.635789337,7.95311142
1654618487479148800,-1.636097717,-2.526296539,8.31460968
1654618487489080832,-2.237397308,-1.500330048,8.201445007
1654618487499012864,-0.983754273,-0.855021973,8.842711487
1654618487508943872,-1.492246857,-0.633332977,10.18661682
1654618487518875904,-0.663270721,-1.596879272,10.50859726
1654618487528807936,-0.249531097,-1.610500946,10.55036041
1654618487538739968,-0.207917633,-1.200054474,11.41825562
1654618487548670720,-0.962797852,-0.222587128,14.79807724
1654618487558602752,-1.431173859,-0.902473297,20.00574783
1654618487568534784,-1.369502106,-3.490142212,23.91097687
1654618487578466816,-2.16704361,-3.947291565,26.36422531
1654618487588397824,-2.009122009,-3.760480042,27.03557922
1654618487598329856,-0.749341736,-3.929628296,25.27733551
1654618487608261888,0.247285767,-3.303181,21.71893524
1654618487618192896,1.091979218,-1.511556702,19.44067291
1654618487628124672,1.630409546,-0.585881653,18.1919696
1654618487638056704,1.670675812,-0.243693237,17.40745102
1654618487647988736,0.82253952,0.197289734,16.29241974
1654618487657920000,-0.210162964,0.218246155,15.15343826
1654618487667852032,-0.863254852,-0.331859894,14.18405411
1654618487677783808,-1.025966492,-0.942589874,13.36825058
1654618487687714816,0.039966888,-1.407822418,12.2810614
1654618487697646848,0.172142029,-1.087338867,10.7495961
1654618487707578880,0.113314362,-0.261506195,8.330626373
1654618487717510912,0.32766861,0.66581543,5.745801544
1654618487727441664,0.223335571,1.504221954,4.503834229
1654618487737373952,0.215851135,1.922751617,4.364324341
1654618487747305984,0.286055145,1.37369339,4.105362854
1654618487757238016,0.053139496,0.556093597,4.079167328
1654618487767168768,-1.031355286,-0.263901215,4.927602997
1654618487777100800,-4.636907501,-1.477727051,5.236261139
1654618487787032832,-10.7190596,0.660276947,3.270698547
1654618487796963840,-7.593110046,1.281335449,3.386707306
1654618487806896384,-1.519190826,0.884510651,4.796625366
1654618487816828160,0.130827942,2.072140961,3.480412445
1654618487826760192,0.749341736,1.410965881,3.11831543
1654618487836691456,0.810564423,0.935404816,1.782193909
1654618487846623488,0.561781769,0.105829926,0.254021759
1654618487856555264,1.615590363,0.28201355,0.257763977
1654618487866486272,2.137255554,0.852028198,1.323996735
1654618487876418304,1.008003845,1.517095184,2.799777832
1654618487886350336,-1.064885559,2.885250092,5.330415344
1654618487896282368,-2.605481873,4.083807678,4.414919128
1654618487906213376,-2.40684494,4.059857483,2.80232254
1654618487916145408,0.042810974,0.960851898,3.387755127
1654618487926077440,0.521066437,-0.51597702,3.152294769
1654618487936009472,0.070653076,0.238154755,3.104693756
1654618487945940224,-0.523760834,0.747545471,3.217409363
1654618487955872256,-0.55115387,0.542322235,3.096311188
1654618487965804288,-0.196990356,0.45280838,3.059936829
1654618487975735552,0.372874603,0.6529422,2.662064209
1654618487985667328,0.751736755,0.746347961,2.817291412
1654618487995599360,0.371527405,1.154549103,3.343447266
1654618488005531392,-0.172291718,1.839225311,3.507655792
1654618488015462400,-1.044527893,2.666704559,5.019511871
1654618488025394432,-1.497186584,3.626658325,9.161698151
1654618488035326208,-0.265697479,4.3117836,15.04057297
1654618488045258240,1.657652893,4.435725861,20.97528168
1654618488055189248,3.370091858,3.392694855,26.98184097
1654618488065121536,3.968996429,0.949176178,32.5712178
1654618488075053312,3.877087555,-0.295934601,36.74274307
1654618488084984320,5.968837738,-0.745898895,37.87873077
1654618488094916352,7.6242453,-0.370778961,39.69909531
