Time (s);X (hPa)
-0,573607458;1010,729523
0,428386542;1010,729523
1,430491542;1010,729599
2,432595542;1010,729599
3,434485542;1010,724411
4,436172542;1010,724335
4,985701542;1010,722351
5,987625542;1010,722351
6,989876542;1010,723267
7,991819542;1010,723267
8,993931542;1010,719223
9,996497542;1010,719223
10,99758754;1010,721893
11,99971254;1010,722275
13,00177754;1010,725327
14,00400754;1010,72998
15,00580154;1010,735321
16,00774854;1010,736389
17,00944054;1010,740814
18,01165854;1010,747986
19,01338554;1010,753479
20,01544854;1010,761795
21,01726054;1010,766983
22,01949954;1010,772705
23,02210854;1010,779572
24,02311754;1010,78064
25,02500454;1010,786438
26,02679354;1010,788422
27,02968454;1010,788422
28,03053554;1010,788422
29,03230854;1010,791397
30,03438354;1010,791397
31,03608854;1010,788422
32,03824054;1010,781326
33,03998854;1010,78125
34,04185654;1010,781326
35,04366754;1010,782623
36,04545154;1010,784225
37,04734254;1010,790253
38,04929254;1010,792694
39,05093454;1010,792694
40,05316854;1010,78804
41,05473754;1010,78804
42,05686254;1010,786362
43,05871954;1010,784378
44,06088154;1010,779953
45,06268554;1010,777588
46,06469054;1010,775223
47,06639654;1010,771713
48,06880554;1010,771713
49,07101354;1010,773621
50,07324154;1010,773773
51,07530454;1010,77858
52,07698054;1010,782318
53,07942154;1010,786591
54,08124954;1010,788803
55,08307954;1010,792465
56,08486254;1010,796585
57,08703254;1010,799026
58,08890854;1010,800476
59,09085954;1010,809708
60,09312054;1010,809708
61,09565254;1010,807648
62,09680154;1010,806808
63,09871954;1010,806732
64,10071054;1010,803986
65,10258254;1010,803223
66,10449254;1010,800781
67,10638954;1010,796432
68,10873554;1010,796051
69,11075854;1010,795975
70,11202854;1010,796051
71,11387254;1010,805054
72,11580154;1010,805054
73,11778654;1010,804138
74,11955554;1010,800705
75,12128954;1010,794907
76,12302554;1010,793457
77,12465154;1010,793457
78,12670754;1010,797348
79,12883554;1010,800934
80,13006854;1010,805435
81,13175954;1010,811691
82,13359554;1010,814056
83,13541254;1010,8181
84,13743554;1010,819855
85,13957154;1010,823975
86,14133554;1010,826111
87,14314654;1010,829926
88,14525754;1010,834351
89,14724054;1010,838699
90,14904954;1010,840225
91,15085454;1010,840225
92,15264554;1010,838089
93,15446154;1010,834732
94,15641754;1010,83046
95,15817554;1010,825729
96,16035454;1010,820084
97,16231754;1010,812225
98,16422654;1010,808182
99,16620654;1010,799866
100,1685065;1010,796432
101,1704975;1010,796432
102,1723315;1010,795975
103,1746485;1010,797195
104,1762835;1010,797195
105,1786145;1010,797195
106,1803965;1010,79628
107,1823715;1010,794907
108,1843445;1010,792542
109,1860605;1010,792542
110,1883735;1010,792999
111,1899325;1010,793915
112,1920765;1010,793915
113,1940265;1010,79277
114,1964675;1010,792236
115,1986915;1010,788269
116,2006275;1010,78743
117,2027275;1010,7827
118,2040165;1010,7827
119,2060415;1010,78537
120,2078225;1010,790634
121,2098785;1010,790634
122,2116095;1010,793533
123,2133815;1010,793533
124,2153725;1010,790482
125,2174235;1010,788193
126,2195485;1010,788193
127,2212975;1010,789108
128,2234575;1010,792542
129,2254415;1010,799484
130,2277705;1010,801239
131,2295465;1010,802078
132,2315345;1010,802994
133,2330695;1010,802994
134,2349735;1010,802689
135,2370815;1010,802689
136,2385465;1010,803909
137,2406735;1010,803909
138,2423365;1010,803909
139,2441225;1010,803452
140,2461145;1010,801697
141,2477685;1010,801697
142,2496045;1010,80368
143,2518135;1010,805359
144,2535145;1010,807724
145,2552245;1010,809631
146,2574825;1010,812759
147,2596305;1010,812759
148,2614525;1010,812759
149,2632545;1010,812302
150,2654395;1010,808029
151,2672935;1010,80574
152,2687095;1010,803452
153,2706165;1010,802612
154,2725085;1010,802612
155,2746105;1010,814514
156,2763465;1010,822525
157,2785795;1010,829697
158,2810195;1010,836639
159,2836775;1010,836868
160,2849485;1010,841675
161,2870485;1010,841675
162,2890305;1010,840607
163,2910285;1010,839615
164,2927715;1010,838318
165,2946115;1010,836792
166,2967035;1010,832977
167,2984055;1010,829773
168,3003715;1010,826416
169,3024135;1010,820541
170,3041915;1010,817108
171,3059015;1010,813675
172,3080135;1010,811157
173,3098045;1010,807266
174,3115425;1010,80719
