Time (s);X (rad/s);Y (rad/s);Z (rad/s)
0,019806833;-0,604348064;-1,234090924;0,020099752
0,029738833;-0,781228662;-1,260775328;0,012803741
0,039670833;-0,988346994;-1,330632687;0,023763714
0,049601833;-1,145343065;-1,434208751;0,053863794
0,059533833;-1,253451109;-1,572881699;0,073920593
0,069465833;-1,295328259;-1,718081236;0,073362522
0,079396833;-1,304767728;-1,830273032;0,034825776
0,089328833;-1,296118855;-1,793682218;-0,028261561
0,099260833;-1,253936052;-1,807801723;-0,100244671
0,109192833;-1,275952697;-1,829114318;-0,172748819
0,119123833;-1,374865532;-1,7484653;-0,229933545
0,129055833;-1,551318645;-1,596306086;-0,261110157
0,138987833;-1,76577425;-1,411535382;-0,300906569
0,148918833;-1,899261117;-1,032067776;-0,444873393
0,158850833;-1,961687446;-0,929709673;-0,531469047
0,168782833;-1,9969697;-0,904308438;-0,531582952
0,178714833;-2,008157253;-0,71182102;-0,548768342
0,188645833;-2,011120081;-0,693713725;-0,607398868
0,198577833;-2,07022047;-0,968922675;-0,780660927
0,208509833;-2,122106552;-1,108397484;-0,976337075
0,218441833;-2,131124973;-1,366945744;-1,145682216
0,228372833;-2,132312536;-1,672272444;-1,266124725
0,238304833;-2,051314354;-1,554358006;-1,438599229
0,248236833;-1,851500392;-1,764914632;-1,563486814
0,258167833;-1,797487736;-2,191507578;-1,679236412
0,268099833;-1,886667371;-2,496052027;-1,582090974
0,278031833;-2,02631712;-2,255130768;-1,19403398
0,287963833;-2,001369476;-1,898269653;-0,544472516
0,297894833;-1,934297323;-1,161542296;0,199383512
0,307826833;-1,88009131;-0,12266352;0,809442043
0,317758833;-1,938210011;1,111465812;1,20064187
0,327689833;-2,126947403;2,199804068;1,349027395
0,337621833;-2,312361717;2,861438513;1,278279543
0,347553833;-2,302033663;2,804888487;0,99575752
0,357485833;-1,952340484;2,037351131;0,560233533
0,367416833;-1,481231809;1,43628788;0,268837452
0,377348833;-1,012014508;1,021235824;0,134776563
0,387280833;-0,538768649;0,577615738;0,070878521
0,397212833;-0,015678039;0,028056482;-0,026002215
0,407143833;0,531587243;-0,290443927;-0,151810348
0,417075833;1,081723094;-0,367278785;-0,272853702
0,427007833;1,608222604;-0,205791578;-0,355638206
0,436938833;2,087427616;0,019772839;-0,381653547
0,446870833;2,506388664;0,237159059;-0,376771212
0,456802833;2,754688978;0,256284297;-0,369796932
0,466734833;2,548756838;-0,28814733;-0,324267805
0,476665833;2,144020081;-0,574470162;-0,08160428
0,486597833;1,951651096;-0,920851588;0,11732138
0,496529833;1,927471995;-1,019547582;0,410331428
0,506461833;1,929931045;-0,291781217;0,561112642
0,516392833;1,627637506;0,516392529;0,464329094
0,526324833;1,062146783;1,548141837;0,127900511
0,536256833;0,280731589;2,208930492;-0,302288413
0,546187833;-0,312308788;2,002569437;-0,46149832
0,556119833;-0,276405633;0,960813403;-0,503278256
0,566051833;0,394449741;-0,251743823;-0,494298577
0,575983833;1,229136825;-1,408260345;-0,339204341
0,585914833;1,715805531;-2,398966789;-0,103753485
0,595846833;1,637993693;-2,619767427;-0,138207734
0,605778833;1,119987607;-1,934301734;-0,150296211
0,615709833;0,461103946;-0,921709597;-0,115446076
0,625641833;-0,16471827;-0,147881419;-0,133911669
0,635573833;-0,743919075;0,042443521;-0,180710599
0,645505833;-1,139108419;0,029377518;-0,277786017
0,655436833;-1,319182873;-0,11577595;-0,310739428
