Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487019806976,-0.604348064,-1.234090924,0.020099752
1654618487029739008,-0.781228662,-1.260775328,0.012803741
1654618487039671040,-0.988346994,-1.330632687,0.023763714
1654618487049601792,-1.145343065,-1.434208751,0.053863794
1654618487059533824,-1.253451109,-1.572881699,0.073920593
1654618487069465856,-1.295328259,-1.718081236,0.073362522
1654618487079396608,-1.304767728,-1.830273032,0.034825776
1654618487089328640,-1.296118855,-1.793682218,-0.028261561
1654618487099260928,-1.253936052,-1.807801723,-0.100244671
1654618487109192960,-1.275952697,-1.829114318,-0.172748819
1654618487119123968,-1.374865532,-1.7484653,-0.229933545
1654618487129055744,-1.551318645,-1.596306086,-0.261110157
1654618487138987776,-1.76577425,-1.411535382,-0.300906569
1654618487148918784,-1.899261117,-1.032067776,-0.444873393
1654618487158850816,-1.961687446,-0.929709673,-0.531469047
1654618487168782848,-1.9969697,-0.904308438,-0.531582952
1654618487178714880,-2.008157253,-0.71182102,-0.548768342
1654618487188645888,-2.011120081,-0.693713725,-0.607398868
1654618487198577920,-2.07022047,-0.968922675,-0.780660927
1654618487208509952,-2.122106552,-1.108397484,-0.976337075
1654618487218441728,-2.131124973,-1.366945744,-1.145682216
1654618487228372736,-2.132312536,-1.672272444,-1.266124725
1654618487238304768,-2.051314354,-1.554358006,-1.438599229
1654618487248236800,-1.851500392,-1.764914632,-1.563486814
1654618487258167808,-1.797487736,-2.191507578,-1.679236412
1654618487268099840,-1.886667371,-2.496052027,-1.582090974
1654618487278031872,-2.02631712,-2.255130768,-1.19403398
1654618487287963904,-2.001369476,-1.898269653,-0.544472516
1654618487297894656,-1.934297323,-1.161542296,0.199383512
1654618487307826688,-1.88009131,-0.12266352,0.809442043
1654618487317758720,-1.938210011,1.111465812,1.20064187
1654618487327689984,-2.126947403,2.199804068,1.349027395
1654618487337622016,-2.312361717,2.861438513,1.278279543
1654618487347553792,-2.302033663,2.804888487,0.99575752
1654618487357485824,-1.952340484,2.037351131,0.560233533
1654618487367416832,-1.481231809,1.43628788,0.268837452
1654618487377348864,-1.012014508,1.021235824,0.134776563
1654618487387280896,-0.538768649,0.577615738,0.070878521
1654618487397212672,-0.015678039,0.028056482,-0.026002215
1654618487407143936,0.531587243,-0.290443927,-0.151810348
1654618487417075968,1.081723094,-0.367278785,-0.272853702
1654618487427008000,1.608222604,-0.205791578,-0.355638206
1654618487436938752,2.087427616,0.019772839,-0.381653547
1654618487446870784,2.506388664,0.237159059,-0.376771212
1654618487456802816,2.754688978,0.256284297,-0.369796932
1654618487466734848,2.548756838,-0.28814733,-0.324267805
1654618487476665856,2.144020081,-0.574470162,-0.08160428
1654618487486597888,1.951651096,-0.920851588,0.11732138
1654618487496529920,1.927471995,-1.019547582,0.410331428
1654618487506461952,1.929931045,-0.291781217,0.561112642
1654618487516392960,1.627637506,0.516392529,0.464329094
1654618487526324736,1.062146783,1.548141837,0.127900511
1654618487536256768,0.280731589,2.208930492,-0.302288413
1654618487546187776,-0.312308788,2.002569437,-0.46149832
1654618487556119808,-0.276405633,0.960813403,-0.503278256
1654618487566051840,0.394449741,-0.251743823,-0.494298577
1654618487575983872,1.229136825,-1.408260345,-0.339204341
1654618487585914880,1.715805531,-2.398966789,-0.103753485
1654618487595846912,1.637993693,-2.619767427,-0.138207734
1654618487605778944,1.119987607,-1.934301734,-0.150296211
1654618487615709696,0.461103946,-0.921709597,-0.115446076
1654618487625641728,-0.16471827,-0.147881419,-0.133911669
1654618487635573760,-0.743919075,0.042443521,-0.180710599
1654618487645505792,-1.139108419,0.029377518,-0.277786017
1654618487655436800,-1.319182873,-0.11577595,-0.310739428
1654618487665368832,-1.352216601,-0.434754551,-0.163837358
