Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,019806833;-0,562325268;0,207714442;-0,629273256
0,029738833;-0,457848388;0,198540453;-0,885805224
0,039670833;-0,411028855;0,026553083;-1,198527181
0,049601833;-0,375714304;-0,036929845;-1,410929044
0,059533833;-0,319628103;-0,021540558;-1,330482466
0,069465833;-0,149233661;0,022446584;-1,11431792
0,079396833;0,010879329;0,141921279;-0,808177589
0,089328833;0,09253745;0,217574602;-0,400073512
0,099260833;-0,011695162;0,152512634;-0,465291016
0,109192833;-0,161476708;0,209248459;-0,639350347
0,119123833;-0,274867375;-0,059781348;-0,491204706
0,129055833;-0,139028077;-0,15317717;-0,563264038
0,138987833;-0,040359237;-0,147973732;-0,796789552
0,148918833;0,161442794;0,03276765;-0,942810899
0,158850833;0,521456738;0,177590903;-0,694535784
0,168782833;0,531568402;0,310087494;-0,404030907
0,178714833;0,213626562;0,397420338;-0,742123933
0,188645833;0,465263754;0,390080474;-0,62179759
0,198577833;0,777854294;0,2601359;-0,532029966
0,208509833;0,991673814;0,240888328;-0,252866934
0,218441833;0,665188681;0,101301549;-0,3440069
0,228372833;0,344263921;-0,109281025;0,117430801
0,238304833;-0,0766942;0,141332428;0,322909561
0,248236833;-0,845845864;1,080026705;-0,317640635
0,258167833;-0,82059174;1,95431401;-0,549038347
0,268099833;-0,435471824;1,64057113;0,13645004
0,278031833;-0,574355731;0,88908712;0,140565895
0,287963833;-0,867385618;0,050875929;-0,417064351
0,297894833;-1,139260973;0,867921661;-0,894436299
0,307826833;-0,62250218;1,420682492;-0,635768343
0,317758833;-0,1650582;1,168393117;-0,697443019
0,327689833;0,277629746;0,765349;-1,005148065
0,337621833;0,609658442;-0,068983988;-0,984506224
0,347553833;0,671013458;-0,659538444;-0,400268224
0,357485833;0,899345768;-0,93347348;0,508571522
0,367416833;1,295214108;-0,816800624;1,90351954
0,377348833;0,951827817;0,024977697;1,370500225
0,387280833;0,301385777;0,991847842;-0,32724878
0,397212833;-0,137850009;1,100875756;-0,457679696
0,407143833;-0,345295845;0,714502271;0,196289275
0,417075833;-0,298034263;0,344364457;0,5380602
0,427007833;-0,219306365;-0,106821321;0,050984797
0,436938833;-0,07583338;-0,53294067;-0,637907254
0,446870833;0,188310603;-0,990295845;-1,438119766
0,456802833;0,49446833;-1,545287827;-1,932051614
0,466734833;0,732548386;-2,194634135;-2,071983671
0,476665833;0,417950241;-2,840911825;-1,811196683
0,486597833;-1,192720311;-1,928833599;-1,467136574
0,496529833;-1,894361047;-1,091138096;-1,594012383
0,506461833;-0,702143815;-0,636705213;-0,960815061
0,516392833;-1,202275831;-0,591218882;0,380993462
0,526324833;-0,271781434;-1,688738738;0,706842418
0,536256833;0,328910595;-1,767494009;0,758687341
0,546187833;0,581983753;-1,349744803;1,641254377
0,556119833;-0,025391169;-0,335205598;5,03361711
0,566051833;-0,459127466;-1,013099694;10,24465161
0,575983833;-0,477780961;-3,676377785;14,1433645
0,585914833;-1,461927728;-4,277773562;16,58518164
0,595846833;-1,555593983;-4,255859075;17,24859737
0,605778833;-0,518652158;-4,560638467;15,49036886
0,615709833;0,339417566;-4,010678891;11,93491442
0,625641833;1,136191842;-2,233072708;9,657342063
0,635573833;1,672652463;-1,262196051;8,405401736
0,645505833;1,718888736;-0,826982235;7,614925423
0,655436833;0,869096659;-0,265226596;6,493439401
0,665368833;-0,188508586;-0,11314662;5,349060946
0,675300833;-0,910683153;-0,535104725;4,376274295
0,685232833;-1,232736024;-1,024299451;3,560770145
0,695163833;-0,416530062;-1,377607955;2,481734909
0,705095833;-0,559724791;-0,952181355;0,967867972
0,715027833;-0,846000888;-0,011478322;-1,429153646
0,724958833;-0,749379743;1,063268;-3,996790584
0,734890833;-0,837475648;2,09913814;-5,230478827
0,744822833;-0,707663294;2,762093112;-5,365975186
0,754754833;-0,416890104;2,481173576;-5,616542995
0,764685833;-0,420513441;1,922580733;-5,623639761
0,774617833;-1,340479451;1,329192278;-4,747240368
0,784549833;-4,806620304;0,295701736;-4,410616747
0,794481833;-10,75546203;2,555722652;-6,354376241
0,804413333;-7,557665395;3,235217058;-6,226678898
0,814345333;-1,443811153;2,832136908;-4,817799888
0,824277333;0,224082224;3,954237472;-6,146898903
0,834208333;0,842166211;3,190447267;-6,528494044
0,844140333;0,915754078;2,604983982;-7,884116029
0,854072333;0,773858526;1,663712216;-9,429166167
0,864004333;1,993029595;1,728321026;-9,437690822
0,873935333;2,68283118;2,195752269;-8,378212184
0,883867333;1,650875678;2,778191666;-6,907562603
0,893799333;-0,38995527;4,079287488;-4,383226635
0,903730333;-1,906804799;5,201693569;-5,306103791
0,913662333;-1,699951359;5,06239652;-6,930678985
0,923594333;0,737815339;1,794619534;-6,362009196
0,933526333;1,177745811;0,100892171;-6,616243794
0,943457333;0,655193524;0,608205884;-6,680881255
0,953389333;-0,036612304;0,858672316;-6,57985774
0,963321333;-0,169832269;0,393441125;-6,705144276
0,973253333;0,095854375;0,045282081;-6,737219177
0,983184333;0,602428396;-0,010439473;-7,122788086
0,993116333;0,933200123;-0,164263929;-6,948667944
1,003048333;0,514460472;0,01460364;-6,399047214
1,012979333;-0,089525641;0,502909517;-6,210549354
1,022911333;-1,105597529;1,171306053;-4,675649398
1,032843333;-1,832084984;1,989091787;-0,50485854
1,042775333;-1,005042888;2,540639175;5,420151393
1,052706333;0,486136998;2,588294567;11,41229847
1,062638333;1,821969301;1,507047621;17,48006408
1,072570333;2,082215567;-0,92010046;23,12759732
1,082501333;1,772145469;-2,075783776;27,32799614
1,092433333;3,82872348;-2,387212183;28,44675794
1,102365333;5,593699678;-1,878915919;30,22077744
1,112297333;5,641445117;-0,730390471;29,86835172
1,122228333;3,630934979;0,899157634;26,83521853
1,132160333;1,450835706;2,159646151;22,09359208
1,142092333;0,228842771;3,328807592;17,20951341
1,152024333;0,099223741;3,39640082;12,29551104
1,161955333;0,755621353;3,87576433;6,981775464
1,171887333;1,459025316;3,653492367;2,506919451
1,181819333;1,642152655;3,009214572;-1,088459778
1,191750333;1,448324912;2,22494347;-3,787043942
1,201682333;1,100110063;1,686024899;-6,005085797
1,211614333;0,673536678;0,96274128;-7,911987952
1,221546333;-0,057631035;0,327481499;-9,349731157
1,231477333;-0,899212013;-0,444512497;-9,767397187
1,241409333;-1,477379434;-1,185645911;-10,11066383
1,251341333;-2,163665673;-1,691360191;-10,89075256
1,261273333;-2,724355767;-1,991717918;-11,93329006
1,271204333;-3,101861657;-2,232002375;-12,63332808
1,281136333;-3,418523468;-2,369740264;-13,09551773
1,291068333;-3,686512764;-2,613703935;-13,61874998
1,300999333;-3,856343973;-2,955372241;-13,84385842
1,310931333;-4,049950253;-2,954943347;-13,73938505
1,320863333;-4,219750472;-3,346142832;-13,38623662
1,330795333;-4,272521886;-3,380395529;-13,39754747
1,340726333;-4,08421903;-3,54526596;-12,53236888
1,350658333;-3,967007499;-3,658179203;-11,28435204
1,360590333;-3,675208341;-3,770696881;-9,978957635
1,370521333;-3,201644392;-3,776844936;-8,954742969
1,380453333;-2,844580953;-3,627115285;-8,45048143
1,390385333;-2,634659186;-3,593756627;-8,320509521
1,400317333;-2,418623279;-3,536505662;-8,501781392
1,410248333;-2,156561891;-3,371156344;-8,706217008
1,420180333;-1,960093983;-3,182152991;-8,855222189
1,430112333;-1,766585936;-3,064937075;-8,861980986
1,440044333;-1,524282582;-3,00165266;-8,583818412
1,449975333;-1,430270756;-2,883488618;-8,001268503
1,459907333;-1,287034438;-2,749466634;-7,313530108
1,469839333;-0,76876794;-2,566812481;-6,621253688
1,479770333;-0,651188766;-2,435416775;-5,915041015
1,489702333;-1,520891489;-2,179966833;-4,752331538
1,499634333;-2,428421897;-1,627368409;-3,608950033
