Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654618487019806976,-0.562325268,0.207714442,-0.629273256
1654618487029739008,-0.457848388,0.198540453,-0.885805224
1654618487039671040,-0.411028855,0.026553083,-1.198527181
1654618487049601792,-0.375714304,-0.036929845,-1.410929044
1654618487059533824,-0.319628103,-0.021540558,-1.330482466
1654618487069465856,-0.149233661,0.022446584,-1.11431792
1654618487079396608,0.010879329,0.141921279,-0.808177589
1654618487089328640,0.09253745,0.217574602,-0.400073512
1654618487099260928,-0.011695162,0.152512634,-0.465291016
1654618487109192960,-0.161476708,0.209248459,-0.639350347
1654618487119123968,-0.274867375,-0.059781348,-0.491204706
1654618487129055744,-0.139028077,-0.15317717,-0.563264038
1654618487138987776,-0.040359237,-0.147973732,-0.796789552
1654618487148918784,0.161442794,0.03276765,-0.942810899
1654618487158850816,0.521456738,0.177590903,-0.694535784
1654618487168782848,0.531568402,0.310087494,-0.404030907
1654618487178714880,0.213626562,0.397420338,-0.742123933
1654618487188645888,0.465263754,0.390080474,-0.62179759
1654618487198577920,0.777854294,0.2601359,-0.532029966
1654618487208509952,0.991673814,0.240888328,-0.252866934
1654618487218441728,0.665188681,0.101301549,-0.3440069
1654618487228372736,0.344263921,-0.109281025,0.117430801
1654618487238304768,-0.0766942,0.141332428,0.322909561
1654618487248236800,-0.845845864,1.080026705,-0.317640635
1654618487258167808,-0.82059174,1.95431401,-0.549038347
1654618487268099840,-0.435471824,1.64057113,0.13645004
1654618487278031872,-0.574355731,0.88908712,0.140565895
1654618487287963904,-0.867385618,0.050875929,-0.417064351
1654618487297894656,-1.139260973,0.867921661,-0.894436299
1654618487307826688,-0.62250218,1.420682492,-0.635768343
1654618487317758720,-0.1650582,1.168393117,-0.697443019
1654618487327689984,0.277629746,0.765349,-1.005148065
1654618487337622016,0.609658442,-0.068983988,-0.984506224
1654618487347553792,0.671013458,-0.659538444,-0.400268224
1654618487357485824,0.899345768,-0.93347348,0.508571522
1654618487367416832,1.295214108,-0.816800624,1.90351954
1654618487377348864,0.951827817,0.024977697,1.370500225
1654618487387280896,0.301385777,0.991847842,-0.32724878
1654618487397212672,-0.137850009,1.100875756,-0.457679696
1654618487407143936,-0.345295845,0.714502271,0.196289275
1654618487417075968,-0.298034263,0.344364457,0.5380602
1654618487427008000,-0.219306365,-0.106821321,0.050984797
1654618487436938752,-0.07583338,-0.53294067,-0.637907254
1654618487446870784,0.188310603,-0.990295845,-1.438119766
1654618487456802816,0.49446833,-1.545287827,-1.932051614
1654618487466734848,0.732548386,-2.194634135,-2.071983671
1654618487476665856,0.417950241,-2.840911825,-1.811196683
1654618487486597888,-1.192720311,-1.928833599,-1.467136574
1654618487496529920,-1.894361047,-1.091138096,-1.594012383
1654618487506461952,-0.702143815,-0.636705213,-0.960815061
1654618487516392960,-1.202275831,-0.591218882,0.380993462
1654618487526324736,-0.271781434,-1.688738738,0.706842418
1654618487536256768,0.328910595,-1.767494009,0.758687341
1654618487546187776,0.581983753,-1.349744803,1.641254377
1654618487556119808,-0.025391169,-0.335205598,5.03361711
1654618487566051840,-0.459127466,-1.013099694,10.24465161
1654618487575983872,-0.477780961,-3.676377785,14.1433645
1654618487585914880,-1.461927728,-4.277773562,16.58518164
1654618487595846912,-1.555593983,-4.255859075,17.24859737
1654618487605778944,-0.518652158,-4.560638467,15.49036886
1654618487615709696,0.339417566,-4.010678891,11.93491442
1654618487625641728,1.136191842,-2.233072708,9.657342063
1654618487635573760,1.672652463,-1.262196051,8.405401736
1654618487645505792,1.718888736,-0.826982235,7.614925423
1654618487655436800,0.869096659,-0.265226596,6.493439401
1654618487665368832,-0.188508586,-0.11314662,5.349060946
1654618487675300864,-0.910683153,-0.535104725,4.376274295
1654618487685232896,-1.232736024,-1.024299451,3.560770145
1654618487695163648,-0.416530062,-1.377607955,2.481734909
1654618487705095680,-0.559724791,-0.952181355,0.967867972
1654618487715027712,-0.846000888,-0.011478322,-1.429153646
1654618487724958976,-0.749379743,1.063268,-3.996790584
1654618487734891008,-0.837475648,2.09913814,-5.230478827
1654618487744822784,-0.707663294,2.762093112,-5.365975186
1654618487754754816,-0.416890104,2.481173576,-5.616542995
1654618487764685824,-0.420513441,1.922580733,-5.623639761
1654618487774617856,-1.340479451,1.329192278,-4.747240368
1654618487784549888,-4.806620304,0.295701736,-4.410616747
1654618487794481664,-10.75546203,2.555722652,-6.354376241
1654618487804413440,-7.557665395,3.235217058,-6.226678898
1654618487814345472,-1.443811153,2.832136908,-4.817799888
1654618487824277504,0.224082224,3.954237472,-6.146898903
1654618487834208256,0.842166211,3.190447267,-6.528494044
1654618487844140288,0.915754078,2.604983982,-7.884116029
1654618487854072320,0.773858526,1.663712216,-9.429166167
1654618487864004352,1.993029595,1.728321026,-9.437690822
1654618487873935104,2.68283118,2.195752269,-8.378212184
1654618487883867136,1.650875678,2.778191666,-6.907562603
1654618487893799424,-0.38995527,4.079287488,-4.383226635
1654618487903730432,-1.906804799,5.201693569,-5.306103791
1654618487913662464,-1.699951359,5.06239652,-6.930678985
1654618487923594240,0.737815339,1.794619534,-6.362009196
1654618487933526272,1.177745811,0.100892171,-6.616243794
1654618487943457280,0.655193524,0.608205884,-6.680881255
1654618487953389312,-0.036612304,0.858672316,-6.57985774
1654618487963321344,-0.169832269,0.393441125,-6.705144276
1654618487973253376,0.095854375,0.045282081,-6.737219177
1654618487983184384,0.602428396,-0.010439473,-7.122788086
1654618487993116416,0.933200123,-0.164263929,-6.948667944
1654618488003048448,0.514460472,0.01460364,-6.399047214
1654618488012979200,-0.089525641,0.502909517,-6.210549354
1654618488022911232,-1.105597529,1.171306053,-4.675649398
1654618488032843264,-1.832084984,1.989091787,-0.50485854
1654618488042775296,-1.005042888,2.540639175,5.420151393
1654618488052706304,0.486136998,2.588294567,11.41229847
1654618488062638336,1.821969301,1.507047621,17.48006408
1654618488072570368,2.082215567,-0.92010046,23.12759732
1654618488082501376,1.772145469,-2.075783776,27.32799614
