Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654618487020803072,52.32157524,4.954475971,0.548555136,-1,-1,11.98828274,11.98828274
1654618487564419072,52.32157524,4.954475971,0.353970528,-1,-1,11.98828274,11.98828274
1654618493573458944,52.32157524,4.954475971,0.033120632,-1,-1,11.98828274,11.98828274
1654618494106361856,52.32157524,4.954475971,-0.122765064,-1,-1,11.98828274,11.98828274
1654618495787936000,52.32157524,4.954475971,-0.231993675,-1,-1,11.98828274,11.98828274
1654618501839148032,52.32157524,4.954475971,-0.340190888,-1,-1,11.98828274,11.98828274
1654618502372088064,52.32157524,4.954475971,-0.388152123,-1,-1,11.98828274,11.98828274
1654618508436055808,52.32157524,4.954475971,-0.431552887,-1,-1,11.98828274,11.98828274
1654618508964520960,52.32157524,4.954475971,-0.450292587,-1,-1,11.98828274,11.98828274
1654618515043056896,52.32157524,4.954475971,-0.467211247,-1,-1,11.98828274,11.98828274
1654618515579606784,52.32157524,4.954475971,-0.475579262,-1,-1,11.98828274,11.98828274
1654618521677367040,52.32157524,4.954475971,-0.481675625,-1,-1,11.98828274,11.98828274
1654618522217623040,52.32157524,4.954475971,-0.485937119,-1,-1,11.98828274,11.98828274
1654618528274448896,52.32157524,4.954475971,-0.487587452,-1,-1,11.98828274,11.98828274
1654618528811813120,52.32157524,4.954475971,-0.488982201,-1,-1,11.98828274,11.98828274
1654618534912697856,52.32157524,4.954475971,-0.489326954,-1,-1,11.98828274,11.98828274
1654618535860975616,52.32148893,4.954323259,-2.474568729,2.275772095,215.0953871,52.19736006,52.19736006
1654618536860978944,52.32143513,4.954282759,-2.48577621,2.893019438,210.9175955,54.29903185,54.29903185
1654618537861378304,52.32142398,4.954255375,-2.494615778,2.829945087,214.1784201,56.13005826,56.13005826
1654618538861361408,52.32141352,4.954229368,-2.501528397,2.829945087,215.6782858,58.29799221,58.29799221
1654618539861559040,52.32140397,4.954213316,-2.505660793,2.634365797,216.9835456,62.55288728,62.55288728
1654618540861534976,52.32139474,4.954200476,-2.507839714,2.634365797,218.1467014,67.2534271,67.2534271
1654618541861160448,52.3213862,4.95419031,-2.508476448,2.519983292,218.7910578,72.19911967,72.19911967
1654618559001950976,52.32157524,4.954475971,0.42288661,-1,-1,11.98828274,11.98828274
1654618559531436032,52.32157524,4.954475971,0.08031702,-1,-1,11.98828274,11.98828274
1654618571002337024,52.32157524,4.954475971,-0.229504585,-1,-1,11.98828274,11.98828274
1654618571525844224,52.32157524,4.954475971,-0.328474999,-1,-1,11.98828274,11.98828274
1654618572079518720,52.32157524,4.954475971,-0.377773285,-1,-1,11.98828274,11.98828274
1654618572079518720,52.32157524,4.954475971,-0.404957771,-1,-1,11.98828274,11.98828274
1654618577624502784,52.32157524,4.954475971,-0.43738699,-1,-1,11.98828274,11.98828274
1654618578153875968,52.32157524,4.954475971,-0.454252243,-1,-1,11.98828274,11.98828274
1654618584250184704,52.32157524,4.954475971,-0.469236851,-1,-1,11.98828274,11.98828274
1654618584780563712,52.32157524,4.954475971,-0.47849083,-1,-1,11.98828274,11.98828274
1654618590846829056,52.32157524,4.954475971,-0.483317375,-1,-1,11.98828274,11.98828274
1654618591374385152,52.32157524,4.954475971,-0.487050057,-1,-1,11.98828274,11.98828274
1654618597409238016,52.32157524,4.954475971,-0.488221645,-1,-1,11.98828274,11.98828274
1654618597939312896,52.32157524,4.954475971,-0.490684986,-1,-1,11.98828274,11.98828274
1654618603945367040,52.32157524,4.954475971,-0.490298748,-1,-1,11.98828274,11.98828274
1654618604476102912,52.32157524,4.954475971,-0.490896702,-1,-1,11.98828274,11.98828274
1654618606167957760,52.32157524,4.954475971,-0.492772579,-1,-1,11.98828274,11.98828274
1654618612303628800,52.32157524,4.954475971,-0.491484165,-1,-1,11.98828274,11.98828274
1654618612849998080,52.32157524,4.954475971,-0.496406555,-1,-1,11.98828274,11.98828274
1654618618878475008,52.32157524,4.954475971,-0.493582249,-1,-1,11.98828274,11.98828274
1654618619412493824,52.32157524,4.954475971,-0.496174336,-1,-1,11.98828274,11.98828274
1654618625458814976,52.32157524,4.954475971,-0.493445873,-1,-1,11.98828274,11.98828274
