Time (s),X (µT),Y (µT),Z (µT)
1654618487019806976,14.98744202,-8.2108078,-21.52832031
1654618487029739008,15.04037476,-8.131759644,-21.60766602
1654618487039671040,15.01597595,-8.05557251,-21.85540771
1654618487049601792,14.96069336,-7.691390991,-22.51794434
1654618487059533824,14.70426941,-7.526138306,-22.82891846
1654618487069465856,14.46514893,-7.547035217,-23.24829102
1654618487079396608,14.22891235,-7.334510803,-23.97247314
1654618487089328640,14.3139801,-7.294502258,-23.93017578
1654618487099260928,14.20869446,-6.832168579,-24.15588379
1654618487109192960,13.8686676,-6.878417969,-24.59649658
1654618487119123968,13.67349243,-6.447044373,-25.16802979
1654618487129055744,13.63580322,-5.834373474,-25.59387207
1654618487138987776,13.43536377,-5.578536987,-26.04284668
1654618487148918784,13.06625366,-5.683135986,-26.01855469
1654618487158850816,12.86894226,-4.981689453,-26.72064209
1654618487168782848,12.76272583,-4.827178955,-26.76269531
1654618487178714880,12.73414612,-4.163208008,-27.25714111
1654618487188645888,12.54040527,-4.257987976,-27.31842041
1654618487198577920,12.70066833,-3.651351929,-27.65637207
1654618487208509952,12.35585022,-3.013809204,-27.70385742
1654618487218441728,12.27055359,-2.466171265,-28.31542969
1654618487228372736,11.94914246,-1.622001648,-28.65600586
1654618487238304768,11.74690247,-1.480003357,-28.93408203
1654618487248236800,11.81898499,-0.576911926,-29.15942383
1654618487258167808,11.51437378,-0.349945068,-29.62988281
1654618487268099840,11.06684875,0.659011841,-30.14868164
1654618487278031872,10.5771637,1.260856628,-30.41326904
1654618487287963904,10.03811646,1.839935303,-30.69287109
1654618487297894656,9.66569519,2.146362305,-30.73449707
1654618487307826688,9.43838501,2.487228394,-31.06469727
1654618487317758720,9.630279541,2.750045776,-30.99206543
1654618487327689984,9.760696411,2.809280396,-30.52148438
1654618487337622016,10.20193481,3.093170166,-30.11749268
1654618487347553792,10.95948792,3.176750183,-29.69213867
1654618487357485824,11.42585754,3.444877625,-28.98406982
1654618487367416832,11.85890198,3.710624695,-28.89776611
1654618487377348864,12.16281128,4.245391846,-29.02215576
1654618487387280896,12.48274231,4.307647705,-28.51245117
1654618487397212672,12.8671875,4.412994385,-28.31817627
1654618487407143936,12.75846863,4.27457428,-28.08068848
1654618487417075968,12.78811646,3.914573669,-27.9508667
1654618487427008000,12.57025146,3.689857483,-27.87243652
1654618487436938752,12.69367981,3.596351624,-28.05523682
1654618487446870784,12.6036377,3.207336426,-28.11437988
1654618487456802816,12.5856781,2.823402405,-28.27722168
1654618487466734848,12.25335693,2.102676392,-28.17285156
1654618487476665856,12.33396912,2.022834778,-28.91680908
1654618487486597888,12.67460632,1.744758606,-28.597229
1654618487496529920,12.28462219,1.383659363,-29.04223633
1654618487506461952,12.18580627,1.003540039,-29.7845459
1654618487516392960,12.44906616,0.331832886,-29.83789062
1654618487526324736,12.26565552,0.034355164,-29.50744629
1654618487536256768,12.59437561,-0.245658875,-28.96533203
1654618487546187776,13.2797699,-0.198524475,-28.44165039
1654618487556119808,13.40608215,-0.078308105,-28.39141846
1654618487566051840,13.3918457,0.1951828,-28.24963379
1654618487575983872,13.20976257,0.275466919,-28.25384521
1654618487585914880,12.99240112,0.111778259,-28.59820557
1654618487595846912,12.50097656,-0.230621338,-28.98925781
1654618487605778944,12.00195312,-0.56035614,-29.48693848
1654618487615709696,11.63276672,-0.582901001,-29.54388428
1654618487625641728,11.42774963,-0.854354858,-29.85980225
1654618487635573760,11.23960876,-0.684661865,-29.68408203
1654618487645505792,11.17706299,-0.330413818,-29.86102295
1654618487655436800,11.2323761,-0.039024353,-29.50872803
1654618487665368832,10.95335388,0.08240509,-29.74749756
1654618487675300864,10.69984436,0.339408875,-29.75866699
1654618487685232896,10.46835327,0.511856079,-29.94781494
1654618487695163648,9.785629272,0.580314636,-30.11981201
1654618487705095680,9.411956787,0.626922607,-30.52667236
1654618487715027712,8.885665894,0.602714539,-31.12963867
1654618487724958976,8.515762329,0.607460022,-31.14001465
1654618487734891008,8.192886353,0.986473084,-30.984375
1654618487744822784,8.296905518,1.199760437,-30.18103027
1654618487754754816,8.692810059,1.607246399,-29.69616699
1654618487764685824,8.847122192,1.875770569,-28.77197266
1654618487774617856,9.000030518,2.11680603,-28.29309082
1654618487784549888,9.27520752,2.224090576,-28.37579346
1654618487794481664,9.528320312,2.619781494,-27.92810059
1654618487804413440,9.60635376,2.412208557,-27.85974121
1654618487814345472,9.657119751,2.18397522,-27.23480225
1654618487824277504,9.889297485,2.353492737,-27.34136963
1654618487834208256,9.672531128,2.140861511,-27.29449463
1654618487844140288,9.9400177,1.650764465,-27.20184326
1654618487854072320,10.14430237,1.664825439,-27.26147461
1654618487864004352,10.14430237,1.664825439,-27.26147461
1654618487873935104,10.52804565,1.190162659,-26.45910645
1654618487883867136,10.52902222,0.77784729,-26.46960449
1654618487893799424,10.52902222,0.77784729,-26.46960449
1654618487903730432,10.66355896,0.973350525,-26.44995117
1654618487913662464,10.77793884,0.760688782,-26.54138184
1654618487923594240,10.60910034,0.544532776,-26.56561279
1654618487933526272,10.71829224,0.31489563,-26.30578613
1654618487943457280,10.9147644,-0.167015076,-26.60455322
1654618487953389312,10.75144958,-0.664497376,-26.28045654
1654618487963321344,10.63508606,-1.014007568,-26.70300293
1654618487973253376,10.51301575,-1.593208313,-26.77203369
1654618487983184384,10.19953918,-1.965957642,-27.61035156
1654618487993116416,10.23960876,-2.313453674,-27.93475342
1654618488003048448,10.31814575,-2.530738831,-27.54516602
1654618488012979200,10.11964417,-2.932319641,-27.90698242
1654618488022911232,10.42657471,-3.483001709,-28.24255371
1654618488032843264,10.38143921,-3.533119202,-28.66375732
1654618488042775296,9.567611694,-3.92868042,-28.95001221
1654618488052706304,9.033203125,-3.9506073,-29.85632324
1654618488062638336,8.199203491,-4.351043701,-30.48852539
1654618488072570368,7.675628662,-4.263298035,-31.58605957
1654618488082501376,6.777114868,-4.031211853,-32.07537842
1654618488092433152,6.196990967,-3.966491699,-31.49768066
1654618488102365184,6.231185913,-3.737312317,-31.56311035
1654618488112297216,6.574554443,-3.247116089,-31.40820312
1654618488122228480,6.868560791,-3.072341919,-31.10162354
1654618488132160512,6.959579468,-2.834312439,-30.77429199
1654618488142092288,7.005355835,-2.870048523,-30.80389404
1654618488152024320,7.042358398,-3.401817322,-30.76757812
1654618488161955328,6.643127441,-4.285446167,-30.67492676
1654618488171887360,6.143920898,-4.631950378,-30.88916016
1654618488181819392,5.428543091,-5.178001404,-30.24066162
1654618488191750400,5.000991821,-5.152427673,-30.91156006
1654618488201682432,4.837509155,-5.160385132,-30.74157715
1654618488211614464,4.664932251,-5.623672485,-30.77349854
1654618488221546496,4.620361328,-5.945228577,-30.68414307
1654618488231477248,4.555511475,-6.012184143,-30.3838501
1654618488241409280,4.536819458,-6.01309967,-30.09838867
1654618488251341312,4.463088989,-6.288871765,-30.11108398
1654618488261273344,4.274795532,-6.670059204,-30.28057861
1654618488271204352,4.077819824,-7.174057007,-30.13433838
1654618488281136384,3.955429077,-6.87361145,-29.76055908
1654618488291068416,3.900680542,-7.092033386,-29.54052734
1654618488300999424,3.763626099,-7.304008484,-29.63677979
1654618488310931456,3.96131897,-7.30014801,-29.98071289
1654618488320863232,4.242355347,-7.361923218,-29.3314209
1654618488330795264,4.396118164,-7.320098877,-29.57531738
1654618488340726272,4.429885864,-7.285873413,-29.10375977
1654618488350658304,4.340805054,-7.131156921,-28.82897949
1654618488360590336,4.003494263,-7.30796051,-28.90063477
1654618488370521344,3.900161743,-7.324195862,-28.86877441
1654618488380453376,3.758361816,-7.387199402,-29.35064697
1654618488390385408,3.56791687,-7.567237854,-29.23852539
1654618488400317440,3.674468994,-7.315414429,-29.48223877
1654618488410248192,3.91027832,-7.375328064,-29.83355713
1654618488420180224,4.032058716,-7.229377747,-30.03417969
1654618488430112256,4.128921509,-7.258628845,-29.94714355
1654618488440044288,4.076309204,-7.340408325,-29.70953369
1654618488449975296,4.435287476,-7.195556641,-30.18084717
1654618488459907328,4.529159546,-7.499565125,-30.24700928
1654618488469839360,4.523696899,-7.312461853,-29.95233154
1654618488479770368,4.951416016,-6.874488831,-30.20367432
1654618488489702144,5.196273804,-7.082954407,-30.48791504
1654618488499634176,5.426849365,-6.829605103,-30.52947998
1654618488509566208,5.751525879,-7.052833557,-30.07452393
1654618488519497472,6.104904175,-7.238418579,-30.64086914
1654618488529429504,5.968704224,-6.806465149,-30.6138916
1654618488539361280,5.698654175,-6.466827393,-30.98126221
1654618488549293312,4.977859497,-5.896408081,-31.96691895
1654618488559224320,4.242004395,-5.474884033,-32.78137207
1654618488569156352,3.737182617,-4.829277039,-32.87127686
1654618488579088384,3.601272583,-4.820762634,-32.31793213
1654618488589019392,3.857269287,-4.720230103,-32.53112793
1654618488598951424,4.362365723,-4.295471191,-32.54754639
1654618488608883456,4.546096802,-4.675582886,-32.02600098
1654618488618815488,4.918334961,-4.571090698,-31.58117676
1654618488628746240,4.881896973,-4.21761322,-31.2210083
1654618488638678272,4.671401978,-4.496177673,-31.19195557
1654618488648610304,4.701263428,-4.327644348,-31.20129395
1654618488658542336,4.263671875,-4.739044189,-31.13018799
1654618488668473344,3.967041016,-5.228393555,-31.05426025
1654618488678405376,3.818130493,-5.25995636,-30.98400879
1654618488688337408,4.01776123,-5.236541748,-31.0144043
1654618488698268416,4.042861938,-5.299682617,-30.5994873
1654618488708200192,4.243682861,-5.368743896,-30.11352539
1654618488718132224,4.581542969,-5.340553284,-29.65710449
1654618488728064256,4.964172363,-5.266838074,-28.86999512
1654618488737995264,5.15977478,-5.333198547,-28.72808838
1654618488747927552,5.294372559,-5.67301178,-28.01660156
1654618488757859328,5.620864868,-5.773796082,-27.59155273
1654618488767790336,5.517745972,-5.913543701,-27.05688477
1654618488777722368,5.356719971,-5.5440979,-27.00201416
1654618488787654400,5.616210938,-5.818641663,-26.86547852
1654618488797586432,5.502609253,-5.837242126,-26.76342773
1654618488807518464,5.550170898,-5.899169922,-26.80145264
1654618488817450496,5.726089478,-6.083450317,-26.45349121
1654618488827382272,5.516616821,-5.9480896,-26.66131592
1654618488837314304,5.534408569,-5.583808899,-26.6605835
1654618488847245568,5.473937988,-5.755996704,-27.2144165
1654618488857177600,5.610855103,-5.718887329,-27.47229004
1654618488867109376,5.404067993,-5.792495728,-27.31689453
1654618488877040384,5.564331055,-5.590858459,-27.28961182
1654618488886972416,5.428848267,-5.417053223,-27.77294922
1654618488896904448,5.333938599,-5.523262024,-27.51849365
1654618488906836480,5.261978149,-5.101760864,-27.90490723
1654618488916767232,5.092086792,-5.453948975,-28.03649902
1654618488926699520,5.188064575,-5.190124512,-28.34558105
1654618488936631552,5.199203491,-5.025917053,-28.2177124
1654618488946563584,5.061843872,-4.791679382,-28.37139893
1654618488956494336,5.10697937,-4.852767944,-28.54302979
1654618488966426368,5.063644409,-4.669090271,-28.70166016
1654618488976358400,5.239181519,-4.574829102,-29.03094482
1654618488986289408,5.466827393,-4.41368103,-29.72399902
1654618488996221184,5.439407349,-4.106048584,-29.6998291
1654618489006153472,5.637481689,-3.997993469,-29.57580566
1654618489016085504,6.110870361,-3.794090271,-29.44500732
1654618489026016512,6.559631348,-3.648590088,-29.5368042
1654618489035948544,6.983764648,-3.183006287,-29.67401123
1654618489045880320,7.096832275,-2.929649353,-29.3394165
1654618489055812352,7.244216919,-2.411857605,-29.8527832
1654618489065743360,7.123535156,-1.643577576,-29.79272461
1654618489075675392,6.875656128,-1.377281189,-29.7177124
1654618489085607424,6.868621826,-1.043701172,-30.08520508
1654618489095538432,6.937316895,-1.157615662,-29.84783936
1654618489105470464,6.958999634,-1.089172363,-29.48858643
1654618489115402496,7.514923096,-1.40486908,-29.67089844
1654618489125334528,7.429656982,-1.905838013,-29.19232178
1654618489135265280,7.395233154,-2.088935852,-29.31359863
1654618489145197312,7.106628418,-2.258407593,-29.52630615
1654618489155129344,6.764450073,-2.513626099,-29.58404541
1654618489165061376,6.69380188,-2.878746033,-29.15008545
1654618489174992384,6.573104858,-3.219612122,-29.2510376
1654618489184924416,6.375305176,-3.332580566,-28.66381836
1654618489194856448,6.593414307,-3.322021484,-28.55047607
1654618489204787456,6.319290161,-3.332832336,-28.11206055
1654618489214719488,6.403244019,-3.386001587,-27.39611816
1654618489224651264,6.308822632,-3.273208618,-27.36773682
1654618489234583296,6.379837036,-3.419311523,-27.61151123
1654618489244514560,6.573196411,-3.141464233,-27.48217773
1654618489254446592,6.440887451,-3.486831665,-26.78741455
1654618489264378368,6.607467651,-3.332023621,-26.35424805
1654618489274310400,6.651672363,-3.318267822,-26.37884521
1654618489284241408,6.668930054,-3.35811615,-26.38867188
1654618489294173440,6.667785645,-3.224266052,-26.81860352
1654618489304105472,6.501541138,-3.039009094,-26.54327393
1654618489314036480,6.292007446,-2.653388977,-26.87652588
1654618489323968512,6.024612427,-2.788146973,-26.60198975
1654618489333900544,6.032501221,-2.796669006,-26.55755615
1654618489343832576,5.870285034,-2.476226807,-26.63684082
1654618489353763328,5.528305054,-2.573562622,-26.77496338
1654618489363695360,5.622756958,-2.586624146,-26.94732666
1654618489373627392,5.396881104,-2.348922729,-26.9675293
1654618489383559424,5.571548462,-2.225250244,-27.20983887
1654618489393490432,5.517242432,-2.192802429,-27.33905029
1654618489403422464,5.471313477,-1.820144653,-27.44036865
1654618489413354496,5.532501221,-1.699569702,-27.4921875
1654618489423285504,5.131408691,-2.022697449,-27.50219727
1654618489433217536,5.184936523,-1.7993927,-27.72918701
1654618489443149312,5.409286499,-1.865570068,-27.91809082
1654618489453081344,5.215576172,-1.751724243,-28.18218994
1654618489463012352,5.593276978,-1.657897949,-28.63543701
1654618489472944384,5.593276978,-1.657897949,-28.63543701
1654618489482876416,5.449188232,-1.923103333,-28.35546875
1654618489492808448,5.633621216,-1.646789551,-28.09997559
1654618489502739456,5.661270142,-1.634773254,-28.19049072
1654618489512671488,5.885238647,-1.411804199,-28.39398193
1654618489522603520,5.885238647,-1.411804199,-28.39398193
1654618489532534272,6.121078491,-1.353248596,-28.69000244
1654618489542466304,6.221130371,-1.25138855,-29.09246826
1654618489552398336,6.271972656,-1.090286255,-29.25964355
1654618489562330368,6.253585815,-1.133102417,-29.37023926
1654618489572261376,6.34513855,-0.63924408,-29.69018555
1654618489582193408,6.069335938,-0.173919678,-30.02752686
1654618489592125440,5.615112305,0.291481018,-30.16882324
1654618489602057472,5.495895386,0.438072205,-30.45812988
1654618489611988224,4.993896484,1.268844604,-30.95080566
1654618489621920256,4.614944458,1.296585083,-30.9475708
1654618489631852288,4.476211548,1.232315063,-30.79754639
1654618489641783552,4.822219849,1.280471802,-31.08666992
1654618489651715584,4.9506073,1.567054749,-30.96337891
1654618489661647360,4.826583862,1.241607666,-30.90039062
1654618489671579392,4.698608398,1.075119019,-30.80383301
1654618489681510400,4.715011597,1.000785828,-30.94854736
1654618489691442432,4.517272949,0.512008667,-30.43164062
1654618489701374464,4.525970459,0.512039185,-30.4753418
1654618489711306240,4.630081177,0.238456726,-30.56951904
1654618489721237504,4.720046997,-0.002426147,-30.18353271
1654618489731169536,4.74710083,-0.351524353,-29.99865723
1654618489741101568,4.827972412,-0.481544495,-29.30859375
1654618489751032320,4.792388916,-0.034568787,-29.83190918
1654618489760964352,5.144256592,-0.34602356,-29.21325684
1654618489770896384,5.289520264,-0.401817322,-28.66925049
1654618489780828416,5.428665161,-0.41456604,-28.19616699
1654618489790759424,5.681152344,-0.16507721,-28.15344238
1654618489800690176,6.039825439,-0.328117371,-27.61029053
1654618489810622208,5.988388062,-0.373405457,-27.40222168
1654618489820554240,6.099639893,-0.544578552,-27.42242432
1654618489830484992,6.088562012,-0.425041199,-27.32189941
1654618489840417024,5.792709351,-0.6690979,-27.18481445
1654618489850349312,5.992233276,-0.717308044,-27.30963135
1654618489860281344,5.719863892,-0.742599487,-27.35211182
1654618489870212352,5.695602417,-0.737823486,-27.16815186
1654618489880144128,5.731796265,-0.801177979,-26.74737549
1654618489890076160,5.547988892,-0.781051636,-26.58953857
1654618489900008192,5.404251099,-0.814987183,-26.81463623
1654618489909939200,5.452255249,-1.113510132,-26.97717285
1654618489919870976,5.529418945,-1.119682312,-27.01513672
1654618489929803008,5.335327148,-1.031921387,-27.16253662
1654618489939734272,5.168045044,-1.308158875,-27.27954102
1654618489949666304,5.430007935,-1.31452179,-26.96246338
