Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,000755;-4,374203796;5,131778412;6,803052979
0,010686;-4,229005737;4,831652527;6,711144104
0,020617;-3,97124176;4,875511322;6,77476181
0,030548;-3,607947235;4,818330231;6,994504852
0,040479;-3,427272949;4,896467743;7,378007355
0,050411;-3,370840302;4,950505371;7,820187836
0,060342;-3,421734467;4,921166382;8,041577454
0,070273;-3,485352173;4,947511597;8,206235046
0,080204;-3,255280609;4,781806183;8,082741852
0,090135;-2,964136047;4,42405014;7,936945038
0,100066;-2,918031921;4,373904419;7,632927246
0,109997;-2,879112854;4,462819519;7,386389923
0,119928;-2,897225189;4,6475354;7,515122223
0,129859;-2,85261795;4,744234314;7,721542969
0,13979;-2,939587097;4,623585205;7,986042938
0,149721;-3,118465118;4,389771423;8,167615356
0,159652;-3,123105469;4,138444061;8,059390411
0,169584;-2,963387604;3,885619812;8,175848236
0,179515;-2,729124756;3,829037476;8,446036377
0,189446;-2,583178253;3,879033508;8,353379059
0,199377;-2,621199188;3,78877121;8,377478943
0,209308;-2,591560822;3,450923767;8,695717163
0,219239;-2,400707703;3,311264191;8,697513428
0,22917;-3,108735352;3,491190033;9,028175812
0,239101;-2,618355103;2,894530792;9,886490936
0,249032;-1,597328339;2,224973145;10,23616379
0,258963;-0,201930084;1,456171875;10,16386414
0,268894;-0,030985565;0,922830963;11,39565262
0,278825;-0,029788055;0,712817688;11,44699585
0,288756;0,3264711;1,191522217;11,0256221
0,298688;0,584833832;1,480870514;10,81036972
0,308619;0,683628388;1,471889191;10,32867142
0,31855;0,596359863;1,587897949;9,804012451
0,328481;0,511785736;1,703307953;9,586065674
0,338412;0,218545532;1,600471802;9,557475128
0,348343;-0,065264282;1,484912109;9,544751587
0,358274;-0,352816315;1,425785065;9,479936371
0,368205;-0,609083405;1,33267868;9,636361084
0,378136;-0,12992981;1,225800934;10,09500732
0,38806675;0,565673676;1,254840546;10,41010208
0,39799775;1,140628052;1,333427124;9,898765411
0,40792875;1,440155182;1,351689148;9,145531769
0,41786075;1,314416656;1,469045105;8,576115875
0,42779175;-0,254919891;1,933828583;8,138875122
0,43772275;-2,922971649;3,169059906;8,568182373
0,44765375;-0,999172211;2,09444458;9,681866455
0,45758475;1,003064117;1,196162567;10,26834686
0,46751575;0,878373413;1,894909515;10,15338593
0,47744675;0,287252655;2,201172638;9,473350067
0,48737775;0,470920715;2,414479065;8,904083862
0,49730875;0,909358978;2,641407166;8,559500427
0,50723975;0,652193756;2,70756958;8,436905365
0,51717075;0,323327637;2,539768524;8,795709229
0,52710175;0,563877411;2,213447113;9,094487915
0,53703275;0,54756134;1,784888306;9,180858307
0,54696475;0,137414246;1,400188293;9,803264008
0,55689575;0,174087982;1,168170776;10,13542328
0,56682675;0,520018616;1,074765015;9,890981598
0,57675775;0,740360413;1,307381287;9,743837585
0,58668875;1,121318207;1,931583252;9,713899841
0,59661975;1,339264984;1,859882355;9,27531189
0,60655075;1,51170639;1,62412262;9,325756989
0,61648175;1,277144165;1,62996048;9,455836487
0,62641275;0,906215515;1,584006042;9,665251007
0,63634375;1,36785553;1,180445251;9,935738525
0,64627475;1,2461586;1,110540619;10,08887009
0,65620575;1,330133972;0,982407074;10,1378183
0,66613775;1,460512848;1,083297272;9,760453033
0,67606875;1,484013977;0,996777191;9,45074707
0,68599975;1,493444366;1,309476929;9,304052124
0,69593075;1,687141571;1,865420837;9,027277679
0,70586175;1,829645233;2,236948242;8,696465607
0,71579275;1,758992157;2,249522095;8,46085556
0,72572375;1,652563477;2,142195282;8,402177582
0,73565475;1,397643585;2,003284149;8,698112183
0,74558575;1,128802643;1,615590363;9,398805084
0,75551675;1,13269455;1,415306854;10,15009277
0,76544775;1,363963623;1,351988525;10,43554916
0,77537875;1,812281342;1,447639618;10,43495041
0,78531075;2,261197815;1,897304535;10,12748978
0,79524175;2,8678862;2,301913147;9,710606689
0,80517275;2,685265961;2,465522919;9,166188812
0,81510375;2,599194946;2,653681641;9,106912079
0,82503475;2,990331573;2,682272186;9,148226166
0,83496575;2,921923828;2,503693542;9,641899567
0,84489675;2,752775574;2,228116608;10,16865417
0,85482775;2,783461761;1,852996674;10,23436752
0,86475875;2,6303302;1,705702972;10,24544449
0,87468975;2,444566498;1,850451965;10,42222687
0,88462075;2,564916229;1,915865936;10,27388535
0,89455175;2,885998535;1,740131378;9,493558044
0,90448375;3,017425232;2,217189331;8,809929657
0,91441475;3,44703186;2,56252121;8,720266113
0,92434575;3,952380981;2,704276428;8,377628632
0,93427675;4,76578949;2,034269714;8,23272995
0,94420775;4,444707184;1,697021027;8,275690613
0,95413875;4,198020172;1,456920319;8,434959412
0,96406975;4,147874451;1,169967041;8,450227661
0,97400075;4,299509125;0,809815979;8,305328979
0,98393175;4,611759796;0,564176788;8,01388504
0,99386275;4,942571869;0,713117065;7,511529694
1,00379375;5,135370941;0,729133759;6,878645782
1,01372475;5,109624481;0,767454071;6,613547058
1,02365675;5,188510437;0,869242401;6,88942337
1,03358775;5,184019775;0,771345978;7,09779007
1,04351875;5,115462341;0,534987488;6,845714264
1,05344975;4,929848328;0,075592804;6,342011719
