Time (s);X (hPa)
-0,53808075;1011,009674
0,46360425;1011,03035
1,46556225;1011,050949
2,46773825;1011,127243
3,46962825;1011,334152
4,47140525;1011,127243
5,02113225;1011,318817
6,02304725;1011,088562
7,02499825;1011,085892
8,02679825;1011,044617
9,02873525;1011,021576
10,03033625;1010,996552
11,03215525;1011,021576
12,03377325;1011,11763
13,03616625;1011,121216
14,03733125;1011,137619
15,03904325;1011,137619
16,04072725;1011,125336
17,04284725;1011,11702
18,04460125;1011,084442
19,04641525;1011,049957
20,04836025;1011,020126
21,05010525;1010,999069
22,05186325;1010,999069
23,05370925;1011,019211
24,05563625;1011,065369
25,05733025;1011,085663
26,05897725;1011,118774
27,06123725;1011,118774
28,06301825;1011,108475
29,06512425;1011,108475
30,06677225;1011,125107
31,06876325;1011,125107
32,07074425;1011,098709
33,07327025;1011,098709
34,07475225;1011,115799
35,07635125;1011,115799
36,07822025;1011,117706
37,07972125;1011,153412
38,08148225;1011,195602
39,08316125;1011,195602
40,08489325;1011,16478
41,08691425;1011,149139
42,08861725;1011,135025
43,09058725;1011,112061
44,09236825;1011,110306
45,09439325;1011,110306
46,09637725;1011,124954
47,09825925;1011,161041
48,10027325;1011,177368
49,10143925;1011,177368
50,10305825;1011,162796
51,10557925;1011,158752
52,10695725;1011,126862
53,10848625;1011,089478
54,11025525;1011,025162
55,11189625;1010,996094
56,11384025;1010,988846
57,11557125;1010,988846
58,11774825;1011,009674
59,11918025;1011,030884
60,12076625;1011,039124
61,12252625;1011,039124
62,12416925;1011,027832
63,12599125;1011,010818
64,12766925;1010,987015
65,12920625;1010,973587
66,13098925;1010,973587
67,13268225;1011,003418
68,13470225;1011,009445
69,13711525;1011,043243
70,13784225;1011,049728
71,13947725;1011,070557
72,14114125;1011,070557
73,14374225;1011,055908
74,14453625;1010,973053
75,14601925;1010,955505
76,14780825;1010,9375
77,14972725;1010,9375
78,15132625;1010,965042
79,15301925;1010,970154
80,15521425;1011,00708
81,15686325;1011,036377
82,15874425;1011,062546
83,16050625;1011,065979
84,16228125;1011,073914
85,16418225;1011,073914
86,16598025;1011,065826
87,16764625;1011,023254
88,16938825;1011,023254
89,17095825;1011,02562
90,17268025;1011,0466
91,17449025;1011,048279
92,17611725;1011,048279
93,17805825;1011,040573
94,17982925;1011,00563
95,18140325;1010,983124
96,18318325;1010,983124
97,18487225;1010,983124
98,18661125;1010,963211
99,18828425;1010,951385
100,1906893;1010,951385
101,1922093;1010,982285
102,1942392;1010,983887
103,1960313;1010,983887
104,1977743;1010,991364
105,1997733;1010,992203
106,2015012;1011,023865
107,2032382;1011,060104
108,2049013;1011,075974
109,2067012;1011,075974
110,2084822;1011,073227
111,2104462;1011,045837
112,2123383;1011,022263
113,2140622;1010,994415
114,2159032;1010,984802
115,2177223;1010,984802
116,2195202;1010,996933
117,2212182;1011,00975
118,2228522;1011,012955
119,2245913;1011,020737
120,2263193;1011,029358
121,2283093;1011,029968
122,2300033;1011,043243
123,2318713;1011,056137
124,2338433;1011,077271
125,2357833;1011,098709
126,2374002;1011,114502
127,2393722;1011,114502
128,2411023;1011,101761
129,2428083;1011,069717
130,2444153;1011,014175
131,2463902;1010,979996
132,2481993;1010,944061
133,2501972;1010,941238
134,2519872;1010,918732
135,2537362;1010,913696
136,2555593;1010,878067
137,2574432;1010,851974
138,2593162;1010,842361
139,2610853;1010,83252
140,2627463;1010,787735
141,2645593;1010,787735
142,2662642;1010,822525
143,2679193;1010,822525
144,2696873;1010,800705
145,2715402;1010,800705
146,2733773;1010,805435
147,2749652;1010,805435
148,2767532;1010,783234
149,2784652;1010,783234
150,2800593;1010,814972
151,2817302;1010,82283
152,2835332;1010,846405
153,2852353;1010,846405
154,2872143;1010,835495
155,2889483;1010,827484
156,2909552;1010,813065
157,2926462;1010,779495
158,2946243;1010,738602
159,2968163;1010,738602
160,2977742;1010,782394
161,2994243;1010,7827
162,3013462;1010,797501
163,3031882;1010,812225
164,3047073;1010,818405
165,3064033;1010,818405
166,3086933;1010,804596
167,3100072;1010,804596
168,3115223;1010,822601
169,3134513;1010,845718
170,3151742;1010,867996
171,3169143;1010,886154
172,3185183;1010,900955
173,3203083;1010,952072
174,3223553;1010,952072
175,3250403;1010,920792
176,3260803;1010,906143
177,3277402;1010,891724
178,3297822;1010,870819
179,3316022;1010,831604
180,3335313;1010,811539
181,3351533;1010,785294
182,3367322;1010,753479
183,3387163;1010,753479
184,3402412;1010,75592
185,3426453;1010,75592
186,3443693;1010,7444
187,3454152;1010,7444
188,3471143;1010,814362
189,3488903;1010,912933
190,3508453;1010,999908
191,3520822;1011,028061
192,3542502;1011,028061
193,3559123;1011,004639
194,3575782;1010,952225
195,3592652;1010,871887
196,3610692;1010,836792
197,3627822;1010,836792
198,3645663;1010,843735
199,3662803;1010,859146
200,3679923;1010,866394
201,3698992;1010,869522
202,3716412;1010,869598
203,3736062;1010,869598
204,3751982;1010,864639
205,3769562;1010,854568
206,3790582;1010,808868
207,3803722;1010,757141
208,3822362;1010,724792
209,3840063;1010,716629
210,3855842;1010,69458
211,3875243;1010,689316
212,3893622;1010,621872
213,3910543;1010,559006
214,3928402;1010,528183
215,3942532;1010,509033
216,3958672;1010,503235
217,3976063;1010,503235
218,3993093;1010,511322
219,4010642;1010,522766
220,4028782;1010,541153
221,4048473;1010,561371
222,4066023;1010,561371
223,4083323;1010,557938
224,4100273;1010,557938
225,4119062;1010,558548
226,4134083;1010,737
227,4149573;1010,829773
228,4168083;1010,829773
229,4186813;1010,813141
230,4206742;1010,784836
231,4223523;1010,672455
232,4242362;1010,618286
233,4258622;1010,618286
234,4275053;1010,705032
235,4295102;1010,71701
236,4315843;1010,738831
237,4334733;1010,754166
238,4352192;1010,768738
239,4369053;1010,785141
240,4385343;1010,786591
241,4403823;1010,818329
242,4419712;1010,835495
243,4437602;1010,840988
244,4456252;1010,856857
245,4477582;1010,905838
246,4496493;1010,979614
247,4513182;1011,049118
248,4533573;1011,060715
249,4553472;1011,099319
250,4579563;1011,102905
251,4588013;1011,102905
252,4609832;1011,086655
253,4627913;1011,079559
254,4649473;1011,025009
255,4665942;1011,003036
256,4694383;1010,968475
257,4706873;1010,956955
258,4725583;1010,956955
259,4744342;1010,964737
260,4760903;1010,980225
261,4779083;1010,980225
262,4798412;1010,961838
263,4816183;1010,940247
264,4834942;1010,917053
265,4851403;1010,883102
266,4868362;1010,870819
267,4885022;1010,870819
268,4909283;1010,882721
269,4919322;1010,932693
270,4939502;1010,969772
271,4953473;1010,977554
272,4973503;1010,979843
273,4991293;1010,981979
274,5006702;1010,981979
275,5029172;1010,971375
276,5041443;1010,968018
277,5062962;1010,968018
278,5075652;1011,0112
279,5095043;1011,036072
280,5113533;1011,071091
281,5131053;1011,085281
282,5147762;1011,085281
283,5165533;1011,067505
284,5183553;1011,060333
285,5201243;1011,021347
