Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,021858;-0,491357026;-0,127333646;-0,889990076
0,031789;-0,231377247;-0,110338129;-0,826959431
0,04172;-0,036812316;-0,047067162;-0,608522072
0,051652;-0,011426921;0,09705384;-0,213663107
0,061583;-0,077970574;0,154552435;0,040818243
0,071514;-0,215554097;0,203755585;0,19458832
0,081445;-0,198316505;0,246288524;0,15481439
0,091376;0,135545768;-0,008507699;-0,03457634
0,101307;0,24132073;-0,152482813;-0,308413729
0,111238;0,282919576;-0,008370874;-0,680613563
0,121169;0,241995498;0,264699652;-0,842183826
0,1311;0,241798447;0,562598333;-0,694798324
0,141031;0,207578495;0,70742597;-0,571352491
0,150962;0,006394807;0,646598848;-0,379954997
0,160893;-0,161294859;0,572569005;-0,445731495
0,170825;-0,128760366;0,457206363;-0,611153319
0,180756;0,007371;0,453596292;-0,415331821
0,190687;0,122525188;0,66388234;-0,419374001
0,200618;0,056042054;0,861772583;-0,651118453
0,210549;-0,146266638;0,881095292;-0,538193516
0,22048;-0,105717513;0,758514555;-0,443938154
0,230411;-0,75311816;1,217004821;-0,608010441
0,240342;-1,334712196;1,24492016;0,038269442
0,250273;-0,800111794;0,729840687;0,696684635
0,260204;0,25058959;0,135124184;0,36189938
0,270135;0,884072183;-0,430854278;1,207202695
0,280066;0,553004148;-0,83540281;1,867020636
0,289997;0,715269279;-0,579768681;1,579389666
0,299929;0,938644466;-0,110778278;1,213332916
0,30986;1,146000766;0,048293324;0,937833164
0,319791;1,062629411;0,040897473;0,338383048
0,329722;1,042428743;0,245895299;-0,045342819
0,339653;0,821632763;0,251600866;-0,128905962
0,349584;0,463881326;0,109075276;-0,119685488
0,359515;0,171455858;0,036846814;-0,227036274
0,369446;-0,267366841;-0,060220766;-0,160231835
0,379377;-0,280358386;-0,21464924;0,133961465
0,38930775;0,319136243;-0,329828279;0,640637904
0,39923875;0,829522923;-0,30008744;0,580146119
0,40916975;1,211945372;-0,316096678;-0,181687024
0,41910175;1,224889572;-0,285992872;-0,786054064
0,42903275;0,540289378;-0,09227111;-1,405278295
0,43896375;-2,093716894;0,892906521;-1,399914644
0,44889475;-3,010692455;1,324037665;-0,603113397
0,45882575;0,054917853;-0,440713999;0,500463772
0,46875675;0,465962203;-0,206468547;0,627744209
0,47868775;-0,037787631;0,292924747;0,244244045
0,48861875;-0,408891405;0,460254225;-0,492151371
0,49854975;0,06111656;0,710615627;-0,872368907
0,50848075;0,129265712;0,878721176;-1,189203796
0,51841175;-0,311606381;0,888433401;-1,027475658
0,52834275;-0,380010472;0,6498958;-0,641247768
0,53827375;-0,167656191;0,316881082;-0,521141281
0,54820575;-0,537406116;-0,095404194;-0,186159559
0,55813675;-0,838289142;-0,405028588;0,448483779
0,56806775;-0,605646631;-0,572021559;0,432189928
0,57799875;-0,352609396;-0,605269412;0,147236399
0,58792975;-0,102684854;-0,064524609;0,187587449
0,59786075;0,235167266;0,265080306;-0,118156441
0,60779175;0,358688454;0,013722684;-0,379549785
0,61772275;0,457090369;-0,071571674;-0,186029751
0,62765375;-0,096181727;0,017306735;-0,093397576
0,63758475;0,072735416;-0,219312979;0,215598536
0,64751575;0,264719094;-0,47619622;0,38029472
0,65744675;0,138253906;-0,530250074;0,551227545
0,66737875;0,293950275;-0,568197188;0,372538973
0,67730975;0,342800327;-0,605624923;-0,038669976
0,68724075;0,357180677;-0,575102896;-0,223258973
0,69717175;0,425354606;-0,121471374;-0,403116403
0,70710275;0,697729387;0,386658537;-0,747809765
0,71703375;0,713342549;0,556300004;-1,028517632
0,72696475;0,674892793;0,50880161;-1,204400709
0,73689575;0,492622072;0,400521262;-1,103054429
0,74682675;0,222893376;0,173187511;-0,640659539
0,75675775;0,017001876;-0,207178253;0,244473841
0,76668875;0,1084008;-0,323738988;0,717048733
0,77661975;0,411394452;-0,432111137;0,923088825
0,78655175;0,794628421;-0,218501824;0,737988197
0,79648275;1,230360739;0,199732847;0,394100581
0,80641375;1,559432242;0,417278213;-0,065150846
0,81634475;1,056832481;0,538880272;-0,42832258
0,82627575;1,318932754;0,755346242;-0,363534261
0,83620675;1,450626229;0,655857329;-0,178900241
0,84613775;1,203614405;0,525683837;0,479762875
0,85606875;1,135603539;0,181505321;0,733479994
0,86599975;1,06081999;-0,056976146;0,733182371
0,87593075;0,806446667;-0,060803003;0,830958341
0,88586175;0,618237221;0,19384894;0,926007171
0,89579275;0,913502023;-0,068069922;0,533149123
0,90572475;0,964306872;0,11556437;-0,412866635
0,91565575;1,132719254;0,543418442;-0,617240855
0,92558675;1,501776503;0,800220113;-0,832717184
0,93551775;2,160372521;0,543943668;-1,093736891
0,94544875;2,291047412;-0,062929197;-1,087358163
0,95537975;1,854231606;-0,260362334;-0,962445849
0,96531075;1,649885452;-0,501492298;-0,846573916
0,97524175;1,607168325;-0,778081824;-0,896870495
0,98517275;1,81699449;-1,103701715;-1,111570898
0,99510375;2,044282194;-1,062414672;-1,478752652
1,00503475;2,243863744;-0,866022047;-2,067266137
1,01496575;2,198965314;-0,816790246;-2,564895179
1,02489775;2,132053579;-0,632115149;-2,51818996
1,03482875;2,099215908;-0,550820871;-2,154346966
1,04475975;1,963061737;-0,678334611;-2,143945938
1,05469075;1,773301171;-0,966679526;-2,578320386
1,06462175;1,359613002;-1,462036048;-2,974274535
1,07455275;0,85092746;-1,919694401;-3,419427155
1,08448375;0,289704685;-2,219859024;-3,600248791
