Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,003583542;-3,225043488;4,9939151;8,319998474
0,013516542;-3,558999023;4,349954224;7,733817444
0,023448542;-3,260669403;4,276756439;7,620652771
0,033381542;-3,820056152;4,605323181;7,566315765
0,043313542;-4,239483948;4,410278778;6,975195007
0,053246542;-3,575913849;4,589007111;6,282435608
0,063179542;-3,698359222;4,757855988;5,294939117
0,073111542;-4,448000336;4,658312988;5,040168915
0,083044542;-4,540208588;4,624034271;5,240602112
0,092977542;-4,143982544;4,938081207;5,107229462
0,102909542;-3,622017975;4,822521515;5,475014648
0,112842542;-3,448379059;4,209695892;5,768254852
0,122775542;-3,578757935;3,767515411;6,058052216
0,132707542;-3,717070312;3,592229919;6,166426849
0,142640542;-3,519780579;3,528163147;6,254593506
0,152573542;-3,108286285;3,393742676;6,765930176
0,162505542;-2,738555145;3,15693512;7,353757782
0,172438542;-2,768792267;3,304677887;7,638615417
0,182371542;-3,065325623;3,799099731;7,537126465
0,192303542;-3,33476532;4,253704376;7,005731506
0,202236542;-3,363655243;4,794829102;6,404282227
0,212169542;-3,394790497;4,826862488;5,898334351
0,222101542;-3,365900574;4,361480255;5,485193481
0,232034833;-3,390299835;3,862567749;5,120551758
0,241966833;-3,459456024;3,8472995;4,89332428
0,251899833;-3,543132019;4,368066559;4,74004303
0,261832833;-3,461401978;4,864733734;4,810097351
0,271764833;-3,218457184;5,10513382;5,181026001
0,281697833;-3,191213837;5,515879669;5,88082077
0,291630833;-3,791764984;5,962550812;6,693780212
0,301562833;-4,506229248;6,178252258;7,283104706
0,311495833;-5,064568176;6,000422058;7,385491791
0,321428833;-5,494025116;5,088967438;7,69100647
0,331360833;-5,495372314;4,36447403;7,809260559
0,341293833;-4,986430664;4,038601685;7,648494873
0,351226833;-4,535867615;4,302802277;7,498806152
0,361158833;-4,309238892;4,756209412;7,438032532
0,371091833;-4,129911804;5,062322845;7,418273621
0,381024833;-3,913461914;5,468278656;7,874075775
0,390956833;-4,12108017;5,252128143;8,028554535
0,400889833;-4,497696991;4,592749329;7,639663239
0,410821833;-4,560416565;4,154460754;7,414531403
0,420754833;-4,467609558;3,978426819;7,714208221
0,430687833;-4,46386734;3,904779968;7,816744995
0,440619833;-4,487069092;4,071832581;8,386310577
0,450552833;-4,636159058;4,408183136;9,415121155
0,460485833;-4,942871246;4,510869598;10,13632141
0,470417833;-5,356461182;4,30235321;10,25712021
0,480350833;-5,316194916;3,744014282;9,811047821
0,490283833;-4,844675446;2,76490036;10,22433838
0,500215833;-4,489913177;2,593357086;10,56413177
0,510148833;-4,734953613;2,865940247;10,59062668
0,520081833;-4,910388794;3,212619324;10,81755478
0,530013833;-4,723577271;3,483406219;10,66277664
0,539946833;-4,742587738;3,406316528;10,61352905
0,549879833;-5,187163239;3,287313995;10,8079747
0,559811833;-5,701343994;3,161725159;10,69271439
0,569744833;-6,224955139;2,908601532;10,45515839
0,579676833;-6,729705505;2,505639496;10,09216324
0,589609833;-6,876999207;2,088906097;9,550739136
0,599542833;-6,452931061;1,624871063;9,267827454
0,609474833;-5,908662872;1,337468719;8,968000946
0,619407833;-5,796246643;1,492246857;8,392298126
0,629340833;-5,818550262;2,0172052;8,010741577
0,639272833;-5,711522827;2,766846313;7,721093903
0,649205833;-5,39642807;3,418591003;7,397017822
0,659138833;-4,92954895;3,852538605;7,058421936
0,669070833;-4,516707458;3,946393433;6,461762695
0,679003833;-4,186045074;3,55241272;5,983357544
0,688936833;-4,126169586;3,024460602;5,655090179
0,698868833;-4,279750214;2,680326233;5,318290558
0,708801833;-4,612059174;2,507136383;5,28416153
0,718734833;-5,085973663;2,639910278;5,323379974
0,728666833;-5,700894928;3,162323914;5,634283447
0,738599833;-6,321803741;3,582051086;6,3090802
0,748531833;-6,54079834;3,564687195;6,902595978
0,758464833;-6,534361725;3,401227112;7,163503418
0,768397833;-6,48227005;3,237467651;6,816674652
0,778329833;-6,111191711;3,044818268;6,113586731
0,788262833;-5,636828156;2,735860748;5,376818848
0,798195833;-5,158722382;2,32496521;4,802612915
0,808127833;-5,019212494;2,142045593;4,413721619
0,818060833;-5,069058838;2,553988953;4,186494141
0,827993833;-4,681963806;2,634820862;4,663851471
0,837925833;-4,231251068;2,366578674;5,504353638
0,847858833;-4,496798859;2,82687149;5,86330719
0,857791833;-4,813091125;3,059637451;5,80717392
0,867723833;-4,929099884;2,83390686;5,746699677
0,877656833;-5,417983246;3,062032471;5,943690033
0,887588833;-6,390660553;3,203638;6,275400238
0,897521833;-7,269183655;2,748284912;7,026987305
0,907454833;-8,337362366;2,079026642;7,752079468
0,917386833;-9,218430176;2,110910339;7,866741028
0,927319833;-9,259744263;1,557062073;7,825127563
0,937252833;-8,992849274;1,059945831;8,452173615
0,947184833;-8,6527565;1,057850189;8,725954285
0,957117833;-8,440497894;1,51170639;9,016799469
0,967050833;-8,281977539;1,787732391;9,138945465
0,976982833;-8,146509247;1,586700439;8,813372498
0,986915833;-7,829318848;1,937421112;8,154442749
0,996848833;-7,568710785;2,303559723;7,683222656
1,006780833;-7,120692444;2,47824646;7,720644836
1,016713833;-6,700965271;2,122436371;8,106093292
1,026646833;-6,663842468;1,310375061;8,738827515
1,036578833;-6,690187683;1,061143341;9,25420578
1,046511833;-6,624324646;1,288370819;9,6613591
1,056443833;-6,855444031;1,817670135;10,09410919
1,066376833;-7,277416534;2,204016724;10,26445496
1,076309833;-7,356751556;1,718725891;10,2213446
1,086241833;-7,327711945;1,156794434;10,55395294
1,096174833;-7,478598175;1,211281128;10,72340057
1,106107833;-7,551795959;1,1771521;10,57760376
1,116039833;-7,52829483;0,628992004;10,22284149
1,125972833;-7,261699219;-0,068707123;10,07120682
1,135905833;-6,66833313;-0,653241577;8,804540863
1,145837833;-5,876330109;-0,779129791;7,449259186
1,155770833;-5,303321686;-0,28081604;5,770350494
1,165703833;-4,989125061;0,441581726;4,085753632
1,175635833;-4,967270508;0,985849915;2,758463745
1,185568833;-4,831203461;1,245559845;2,123035126
1,195500833;-4,798870697;1,476080475;2,655028839
1,205433833;-5,043611755;1,720522156;3,637286224
1,215366833;-5,410049744;1,82530426;4,764142914
1,225302167;-5,810317383;1,987716522;5,674998779
1,235235167;-6,202801208;2,35190918;6,075715485
1,245168167;-6,464307404;2,595153351;6,396049347
1,255100167;-6,400989075;2,671793976;6,676715698
1,265033167;-6,305487671;2,579885101;6,737938385
1,274966167;-6,367009735;2,21733902;6,678511963
1,284898167;-6,577472076;1,706900482;6,504873047
1,294831167;-7,086713104;1,213227081;6,255042572
1,304764167;-7,632178802;0,903521118;5,897885284
1,314696167;-7,839946747;0,829275513;5,429359589
1,324629167;-7,688162384;0,83541275;5,393733673
1,334561167;-7,326364746;0,962797852;5,83052536
1,344494167;-6,862329712;1,186133423;6,289620667
1,354427167;-6,608906708;1,110989685;6,648723907
1,364359167;-6,825206909;0,937650147;6,575526123
1,374292167;-7,531737671;0,647703095;5,853427734
1,384225167;-8,20114563;0,238154755;4,935835876
1,394157167;-8,676557007;-0,026045837;4,117637329
1,404090167;-9,052126007;-0,168848877;3,710933075
1,414023167;-9,018745422;-0,173040161;3,962410126
1,423955167;-8,657247162;0,098195801;4,61370575
1,433888167;-8,342601471;0,381257172;5,637726288
1,443821167;-8,257129211;0,419128418;6,759343872
1,453753167;-8,272846527;0,599653015;7,607779541
1,463686167;-8,035140839;0,619860992;7,959548035
1,473618167;-8,2771875;0,310304718;7,423662415
1,483551167;-8,034841461;-0,160915375;6,401288452
1,493484167;-7,276368713;-1,508113861;5,634882202
1,503416167;-6,715335388;-1,951491852;5,035977631
1,513349167;-6,652316437;-2,01256485;4,258344727
1,523282167;-7,009473724;-2,435734863;3,951782227
1,533214167;-7,759414215;-3,016676788;3,874842224
1,543147167;-8,467142487;-3,528612213;3,945944366
1,553080167;-8,74990448;-3,44239151;4,327949982
1,563012167;-8,706345062;-3,202590179;5,244793396
1,572945167;-8,433911591;-3,0855336;6,421795807
1,582877167;-8,140970764;-2,927911377;7,364984436
1,592810167;-8,243956604;-2,69125351;8,117020569
