Time (s);X (rad/s);Y (rad/s);Z (rad/s)
0,014757542;-0,108293898;0,138031572;-0,672175705
0,024689542;-0,051684417;0,122463271;-0,63510716
0,034622542;-0,006744293;0,134204641;-0,515957415
0,044554542;-0,021953873;0,168387383;-0,468279868
0,054487542;-0,194089592;0,246151879;-0,534953892
0,064420542;-0,511398852;0,348478019;-0,504491806
0,074352542;-0,833038509;0,363640904;-0,415433675
0,084285542;-1,114582896;0,210269183;-0,287959069
0,094218542;-1,356007457;0,115187436;-0,202646941
0,104150542;-1,555562615;0,119718276;-0,158014223
0,114083542;-1,725076675;0,26394859;-0,117583498
0,124016542;-1,759643793;0,397355646;-0,13219972
0,133948542;-1,647259593;0,501983762;-0,180152535
0,143881542;-1,342624545;0,543524027;-0,221665084
0,153814542;-0,885832071;0,507515013;-0,27195394
0,163746542;-0,344724625;0,424987435;-0,273487896
0,173679542;0,20999451;0,227140114;-0,213894367
0,183612542;0,643091321;0,127609536;-0,122895211
0,193544542;0,918136478;-0,021836421;-0,025419507
0,203477542;1,020701408;-0,118295848;0,002383363
0,213410542;0,977485776;-0,173535824;-0,03901118
0,223342833;0,828030765;-0,128085777;-0,106091946
0,233275833;0,652754128;-0,082964599;-0,170872361
0,243207833;0,471256495;-0,003845817;-0,18639113
0,253140833;0,284335077;0,029446891;-0,179816827
0,263073833;0,091194391;-0,017131796;-0,205573052
0,273005833;-0,106995471;-0,165764183;-0,246283412
0,282938833;-0,201156855;-0,363548368;-0,169593424
0,292871833;-0,178294271;-0,611279011;0,040841695
0,302803833;-0,107789472;-0,932480156;0,298473507
0,312736833;-0,074040294;-1,045458674;0,598333478
0,322669833;0,033195082;-1,088961363;0,799773395
0,332601833;0,118342839;-0,976323605;0,786379159
0,342534833;0,138227329;-0,789963603;0,628395915
0,352467833;0,104018167;-0,589220703;0,414698899
0,362399833;0,018459853;-0,381625146;0,254037321
0,372332833;0,02390388;-0,501794994;0,184359148
0,382265833;0,089580365;-0,639914751;0,160794959
0,392197833;0,106942646;-0,603535354;0,1846845
0,402130833;0,053187806;-0,400416106;0,125967652
0,412062833;-0,084252492;-0,294229031;-0,052531891
0,421995833;-0,29291144;-0,123866342;-0,263281405
0,431928833;-0,506530762;0,016853105;-0,451787978
0,441860833;-0,646839678;-0,042695176;-0,532745957
0,451793833;-0,67392081;-0,24132742;-0,434482276
0,461726833;-0,61263746;-0,455342233;-0,243528545
0,471658833;-0,613820434;-0,452972055;-0,166642487
0,481591833;-0,706127226;-0,158864006;-0,239884213
0,491524833;-0,694237828;0,090084024;-0,478936464
0,501456833;-0,650735855;0,47281009;-0,743019998
0,511389833;-0,600850284;0,761243641;-0,970260441
0,521322833;-0,473946959;0,982530773;-1,140131712
0,531254833;-0,318383545;1,105944872;-1,241637945
0,541187833;-0,196595863;1,051068544;-1,24975121
0,551120833;-0,12894015;0,939637423;-1,14597404
0,561052833;-0,11136435;0,791341424;-0,973846555
0,570985833;-0,126528323;0,662641347;-0,753808141
0,580917833;-0,155390859;0,691564918;-0,561022997
0,590850833;-0,162179634;0,791455269;-0,478957415
0,600783833;-0,161757782;0,878253043;-0,509656429
0,610715833;-0,176249355;0,980099976;-0,572951794
0,620648833;-0,218659669;1,061964035;-0,619543791
0,630581833;-0,255734503;1,050209045;-0,580632508
0,640513833;-0,261059761;0,957467854;-0,439623714
0,650446833;-0,23424843;0,770785987;-0,271372587
0,660379833;-0,195098355;0,604338169;-0,170244917
0,670311833;-0,168543398;0,582102478;-0,215899229
0,680244833;-0,179825619;0,622133255;-0,380262613
0,690177833;-0,20822601;0,741632521;-0,58318013
0,700109833;-0,282352448;0,846571207;-0,792771161
0,710042833;-0,386983007;0,930381954;-0,962221742
0,719975833;-0,469464034;1,012236834;-1,024200439
0,729907833;-0,47589621;1,060163736;-0,957182348
0,739840833;-0,346620232;1,033775449;-0,79588002
0,749772833;-0,110263474;0,927581608;-0,551872253
0,759705833;0,140112013;0,806578517;-0,270461857
0,769638833;0,30878368;0,679576814;-0,030366033
0,779570833;0,358682513;0,576748967;0,11275091
0,789503833;0,308149666;0,468770862;0,137978703
0,799436833;0,154897258;0,361743242;0,073071606
0,809368833;-0,048394021;0,455631673;-0,016424824
0,819301833;-0,154812336;0,706888914;-0,093802966
0,829234833;-0,106565751;0,760379195;-0,246629506
0,839166833;-0,050468929;0,742757857;-0,405991972
0,849099833;0,005613613;0,707699537;-0,486584634
0,859032833;0,007015502;0,647108614;-0,517357171
0,868964833;-0,082683079;0,370283723;-0,548029006
0,878897833;-0,19592841;0,145502001;-0,506168366
0,888829833;-0,296501309;0,000880531;-0,404933363
0,898762833;-0,22770761;-0,128908619;-0,33522886
0,908695833;-0,108611956;-0,26433295;-0,218181476
0,918627833;-0,100849375;-0,122686878;-0,113215916
0,928560833;-0,162143678;-0,047716908;-0,160740018
