Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,014757542;0,797706103;-0,571854183;0,451576957
0,024689542;1,137129955;-0,610373885;0,339758313
0,034622542;0,615265666;-0,253784362;0,289427819
0,044554542;0,230037358;-0,427114253;-0,295231766
0,054487542;0,931367606;-0,219091662;-0,984110953
0,064420542;0,855910165;-0,001516475;-1,974387209
0,074352542;0,153958358;-0,03117063;-2,244528573
0,084285542;0,098479391;0,021440278;-2,076146303
0,094218542;0,517844329;0,437101589;-2,257867826
0,104150542;1,053629669;0,436031549;-1,950153424
0,114083542;1,248056021;-0,048550309;-1,718195549
0,124016542;1,147011165;-0,354209706;-1,486123652
0,133948542;1,048709822;-0,393175551;-1,425673383
0,143881542;1,293983854;-0,333617275;-1,371049279
0,153814542;1,754506758;-0,371137103;-0,877042002
0,163746542;2,170712153;-0,547550231;-0,289016175
0,173679542;2,173898885;-0,383045543;0,009290056
0,183612542;1,897265359;0,08682589;-0,067333612
0,193544542;1,634159365;0,485437013;-0,566985791
0,203477542;1,60002332;0,953306359;-1,134995429
0,213410542;1,558018093;0,910843586;-1,609700462
0,223342833;1,578083398;0,381424694;-1,994932571
0,233275833;1,551301981;-0,165464509;-2,335428218
0,243207833;1,486231241;-0,213294733;-2,54225593
0,253140833;1,411048912;0,28845572;-2,679456167
0,263073833;1,501336353;0,780600074;-2,601190016
0,273005833;1,747788892;1,033010632;-2,234519309
0,282938833;1,763600932;1,46637702;-1,554731957
0,292871833;1,131238593;1,931364274;-0,77279024
0,302803833;0,351291069;2,149432966;-0,227502297
0,312736833;-0,299034795;1,957193472;-0,176128076
0,322669833;-0,838746833;1,014165349;0,077828779
0,332601833;-0,951728195;0,246936688;0,151762143
0,342534833;-0,539999721;-0,120969244;-0,043275243
0,352467833;-0,16405416;0,110983661;-0,218188267
0,362399833;0,010957097;0,545200235;-0,297561296
0,372332833;0,148405549;0,841134251;-0,335026746
0,382265833;0,313009932;1,235518714;0,098679366
0,392197833;0,049106086;1,004293202;0,231019982
0,402130833;-0,373368985;0,331717807;-0,175042833
0,412062833;-0,464837272;-0,107434402;-0,414809665
0,421995833;-0,382098294;-0,262541152;-0,131739523
0,431928833;-0,366548501;-0,290158429;-0,047768828
0,441860833;-0,36939054;-0,056874405;0,497419127
0,451793833;-0,509038714;0,35202928;1,493594055
0,461726833;-0,830807483;0,519668368;2,174076641
0,471658833;-1,273011938;0,366181296;2,252865533
0,481591833;-1,249494144;-0,131238416;1,768631292
0,491524833;-0,768366529;-1,039855383;2,153177522
0,501456833;-0,36789336;-1,132473525;2,479378481
0,511389833;-0,531677087;-0,773885424;2,508533283
0,521322833;-0,599417957;-0,338822758;2,752885501
0,531254833;-0,286736346;0,015379931;2,630134318
0,541187833;-0,176362257;0,014807197;2,620822628
0,551120833;-0,501726771;-0,036241627;2,855819886
0,561052833;-0,912914085;-0,102626236;2,777473043
0,570985833;-1,352045828;-0,305108005;2,570810807
0,580917833;-1,784385445;-0,665250296;2,235613908
0,590850833;-1,857937571;-1,044335227;1,725912119
0,600783833;-1,35392103;-1,471199219;1,479980568
0,610715833;-0,721696685;-1,717923068;1,222288511
0,620648833;-0,512543535;-1,51691012;0,694014797
0,630581833;-0,436042074;-0,94145873;0,361491829
0,640513833;-0,237354271;-0,144299927;0,118804312
0,650446833;0,153399949;0,54558732;-0,164817807
0,660379833;0,677233872;1,007515895;-0,471912403
0,670311833;1,13910953;1,124906351;-1,040707322
0,680244833;1,522266462;0,760335963;-1,490302657
0,690177833;1,645643882;0,274030346;-1,785165464
0,700109833;1,569190367;-0,0124534;-2,082718574
0,710042833;1,325242192;-0,109432103;-2,073700413
0,719975833;0,947671689;0,114264534;-1,98773114
0,729907833;0,432324414;0,731587543;-1,625967416
0,739840833;-0,092186033;1,235667526;-0,896643038
0,749772833;-0,225480915;1,277135248;-0,247227879
0,759705833;-0,148700541;1,138453472;0,068484344
0,769638833;-0,041176677;0,967660835;-0,22579608
0,779570833;0,372623173;0,748046578;-0,880774865
0,789503833;0,879900706;0,407060788;-1,576241525
0,799436833;1,383897951;-0,02742578;-2,118115278
0,809368833;1,549589916;-0,215689167;-2,480336255
0,819301833;1,54100328;0,207644568;-2,67192086
0,829234833;1,982633538;0,308472493;-2,148442447
0,839166833;2,491141325;0,067410064;-1,260214137
0,849099833;2,284724672;0,559387626;-0,852759685
