Time (s);X (µT);Y (µT);Z (µT)
0,014757542;-1,21887207;-15,12413788;-43,22625732
0,024689542;-1,198120117;-15,30028534;-42,94830322
0,034622542;-1,155059814;-15,12326813;-42,87738037
0,044554542;-0,803672791;-14,66590118;-42,91271973
0,054487542;-0,711166382;-14,70618439;-42,78375244
0,064420542;-0,475761414;-14,58274841;-42,95404053
0,074352542;-0,18170929;-14,53672028;-42,64691162
0,084285542;0,034362793;-13,84455109;-42,93066406
0,094218542;-0,011451721;-13,31156921;-42,84448242
0,104150542;0,245162964;-12,53461456;-42,86877441
0,114083542;0,261123657;-11,60868835;-43,05334473
0,124016542;0,536727905;-11,02398682;-43,39581299
0,133948542;0,727859497;-10,19556427;-43,46911621
0,143881542;0,94581604;-9,654754639;-43,83959961
0,153814542;1,114639282;-9,179336548;-44,0213623
0,163746542;1,529022217;-8,637054443;-43,90838623
0,173679542;1,649627686;-8,543235779;-43,97821045
0,183612542;1,706848145;-8,608848572;-44,03308105
0,193544542;1,662750244;-8,923545837;-43,40533447
0,203477542;1,800201416;-9,27973175;-43,4776001
0,213410542;1,721862793;-9,810150146;-43,40893555
0,223342833;1,718582153;-10,21474457;-43,42266846
0,233275833;1,720016479;-10,63526154;-43,42565918
0,243207833;1,665176392;-10,68270111;-43,65649414
0,253140833;1,610549927;-10,9857254;-43,58660889
0,263073833;1,752761841;-11,02542877;-43,88195801
0,273005833;1,693023682;-10,88565826;-43,54449463
0,282938833;1,626861572;-10,48688507;-43,74432373
0,292871833;1,576446533;-10,67625427;-43,58618164
0,302803833;1,275634766;-10,66912842;-43,82830811
0,312736833;0,555923462;-10,56876373;-43,70495605
0,322669833;0,31388855;-10,49988556;-43,98303223
0,332601833;-0,320594788;-10,73857117;-43,55633545
0,342534833;-0,838027954;-10,81945038;-43,66546631
0,352467833;-0,965820313;-10,77812958;-43,99731445
0,362399833;-1,391929626;-10,68099976;-43,97802734
0,372332833;-1,415008545;-10,66434479;-43,8671875
0,382265833;-1,729804993;-10,6621933;-43,50177002
0,392197833;-1,996566772;-10,75852966;-43,69873047
0,402130833;-2,348075867;-11,08049011;-43,78039551
0,412062833;-2,478561401;-11,00731659;-43,6998291
0,421995833;-2,55418396;-10,89746094;-43,61279297
0,431928833;-2,636062622;-11,01943207;-43,29473877
0,441860833;-2,555107117;-10,85522461;-43,3371582
0,451793833;-2,511817932;-10,40187073;-43,4017334
0,461726833;-2,84299469;-9,852409363;-43,62463379
0,471658833;-3,002700806;-9,841537476;-43,48083496
0,481591833;-3,277114868;-9,499252319;-44,10778809
0,491524833;-2,967918396;-8,999160767;-44,11968994
0,501456833;-2,679656982;-8,639976501;-44,20214844
0,511389833;-2,517654419;-8,430381775;-43,49920654
0,521322833;-2,133323669;-7,901924133;-44,18487549
0,531254833;-1,348373413;-7,685371399;-44,0880127
0,541187833;-0,828773499;-7,468742371;-44,50463867
0,551120833;-0,322891235;-7,462631226;-43,82995605
0,561052833;-0,066467285;-7,690353394;-44,24090576
0,570985833;0,33354187;-7,652305603;-43,98468018
0,580917833;0,694244385;-7,585594177;-43,77398682
0,590850833;1,177337646;-7,562705994;-43,49298096
0,600783833;1,844360352;-7,497650146;-43,59124756
0,610715833;2,210769653;-7,008491516;-43,82196045
0,620648833;2,861358643;-6,834083557;-44,34429932
0,630581833;2,861358643;-6,834083557;-44,34429932
0,640513833;3,525848389;-6,737136841;-44,34283447
0,650446833;3,821975708;-6,713424683;-43,95300293
0,660379833;4,267654419;-6,778366089;-43,97460938
0,670311833;4,947143555;-6,49294281;-43,8762207
0,680244833;4,978149414;-6,570198059;-43,71289062
0,690177833;5,34588623;-6,494812012;-43,17138672
0,700109833;5,53364563;-6,25188446;-43,14416504
0,710042833;5,984802246;-5,932594299;-43,574646
0,719975833;6,409820557;-5,567955017;-43,31414795
0,729907833;6,974700928;-5,347099304;-43,55645752
0,739840833;7,260101318;-5,095314026;-43,4342041
0,749772833;7,881668091;-4,692466736;-43,4130249
0,759705833;8,245635986;-4,533424377;-43,2666626
0,769638833;8,735946655;-4,504722595;-43,23944092
0,779570833;9,181274414;-4,671005249;-42,62084961
0,789503833;9,615997314;-5,010467529;-42,65161133
0,799436833;9,825973511;-5,254524231;-42,00701904
0,809368833;9,947097778;-5,166313171;-42,8795166
0,819301833;10,10287476;-5,14125824;-42,92388916
0,829234833;10,65937805;-4,92364502;-42,82556152
0,839166833;10,81144714;-5,030662537;-42,769104
0,849099833;11,47644043;-4,866912842;-42,47827148
0,859032833;11,44007874;-5,10446167;-41,78167725
0,868964833;12,16204834;-4,875854492;-42,13726807
0,878897833;12,06636047;-4,79838562;-42,05419922
0,888829833;12,08189392;-4,796882629;-42,18841553
0,898762833;12,09008789;-4,486282349;-41,62554932
0,908695833;12,1098175;-4,245750427;-42,18359375
0,918627833;11,91136169;-4,239334106;-42,07720947
0,928560833;11,8979187;-3,936729431;-42,57647705
0,938493833;11,87554932;-4,079772949;-41,76049805
0,948425833;12,10823059;-3,916030884;-42,13934326
0,958358833;12,10494995;-3,808456421;-42,38537598
0,968291833;12,22543335;-3,435005188;-42,07543945
0,978223833;12,229599;-3,496208191;-41,93994141
0,988156833;12,18688965;-3,423408508;-42,37091064
0,998089833;12,13973999;-3,48841095;-41,99633789
1,008021833;12,43869019;-3,26612854;-42,28808594
1,017954833;12,51673889;-2,99382019;-42,66418457
1,027887833;12,54205322;-2,849945068;-42,38964844
