Time (s);X (hPa)
-0,573387875;1010,882568
0,428684125;1010,897369
1,430612125;1010,912094
2,432291125;1010,926743
3,433965125;1010,932083
4,435694125;1010,938034
4,985517125;1010,940247
5,988178125;1010,940247
6,989341125;1010,939178
7,991261125;1010,938187
8,992959125;1010,935593
9,994723125;1010,935135
10,99648212;1010,935135
11,99846312;1010,935135
13,00026212;1010,9375
14,00213912;1010,939636
15,00383212;1010,941772
16,00567012;1010,942612
17,00780412;1010,942612
18,00970812;1010,939636
19,01156912;1010,935745
20,01327612;1010,932846
21,01510212;1010,930557
22,01690512;1010,929642
23,01899612;1010,929108
24,02065812;1010,927887
25,02249212;1010,927429
26,02440012;1010,926514
27,02636212;1010,923843
28,02817312;1010,923004
29,03009312;1010,921936
30,03197312;1010,921707
31,03431212;1010,920715
32,03608212;1010,919647
33,03801913;1010,917664
34,03977912;1010,916748
35,04170812;1010,915298
36,04352612;1010,912704
37,04556912;1010,911713
38,04721312;1010,911407
39,04907512;1010,910263
40,05109512;1010,908508
41,05321613;1010,908432
42,05444012;1010,907288
43,05655112;1010,906143
44,05850512;1010,904465
45,06039212;1010,902481
46,06221312;1010,901642
47,06399712;1010,899887
48,06575312;1010,898361
49,06752112;1010,895996
50,06903812;1010,89592
51,07089012;1010,895462
52,07275912;1010,894775
53,07452112;1010,894775
54,07696212;1010,895767
55,07828712;1010,897369
56,08004712;1010,898056
57,08182412;1010,899506
58,08369612;1010,903168
59,08589112;1010,906754
60,08807512;1010,908737
61,08988912;1010,912476
62,09182512;1010,91362
63,09400912;1010,914993
64,09537612;1010,914993
65,09714412;1010,914307
66,09903912;1010,914078
67,10119512;1010,913162
68,10313112;1010,91217
69,10507612;1010,91217
70,10670712;1010,912476
71,10830812;1010,913162
72,11032812;1010,913162
73,11202212;1010,913467
74,11404213;1010,914383
75,11588312;1010,914612
76,11780412;1010,915222
77,11959912;1010,915451
78,12160612;1010,916595
79,12337812;1010,917816
80,12506012;1010,919266
81,12716112;1010,919876
82,12906313;1010,922089
83,13139812;1010,922699
84,13298912;1010,92308
85,13493512;1010,924149
86,13690912;1010,926056
87,13892312;1010,926056
88,14074412;1010,925064
89,14248912;1010,924149
90,14428112;1010,922165
91,14620712;1010,91774
92,14817212;1010,915527
93,14996712;1010,914383
94,15246312;1010,914307
95,15393612;1010,914307
96,15576512;1010,917587
97,15781512;1010,920563
98,15982012;1010,922623
99,16176512;1010,924454
100,1635821;1010,926056
101,1656341;1010,926285
102,1676731;1010,927658
103,1701561;1010,92865
104,1711271;1010,92865
105,1730941;1010,927887
106,1745411;1010,927353
107,1765991;1010,926819
108,1785591;1010,926819
109,1803411;1010,928268
110,1823541;1010,929413
111,1841091;1010,930023
112,1860411;1010,930023
113,1879311;1010,928726
