Time (s);X (rad/s);Y (rad/s);Z (rad/s)
0,050937292;0,000480688;0,002185621;-0,002115498
0,060869292;0,000555789;0,000574408;-0,000115198
0,070801292;0,001198943;-0,000400575;0,000677892
0,080733292;0,001394437;-0,000550133;0,000437729
0,090665292;0,003988239;-0,003631657;0,001324038
0,100597292;0,001451312;-0,001075022;-0,000896506
0,110528292;-7,25277E-05;0,000481447;0,00236566
0,120460292;-0,000617411;0,000728322;-0,000317742
0,130392292;0,000636842;0,002221167;0,001391157
0,140324292;-0,000966914;0,001876021;0,000377025
0,150256292;-0,000660703;0,000514454;0,001756731
0,160188292;-0,001874305;0,000188217;-0,001746657
0,170120292;0,002732006;0,000492929;0,001842496
0,180052292;-0,000295209;0,004420293;-0,000875527
0,189984292;-0,001301051;-0,000112102;0,00136421
0,199916292;-0,000248304;0,000488174;8,26968E-05
0,209848292;0,00175947;-0,001262728;-0,000709923
0,219779292;-0,001119407;0,000937043;0,00052099
0,229711292;-0,000424714;0,000545117;-0,001558233
0,239643292;-0,000646555;-0,000188318;-0,00087167
0,249575292;-0,000747427;-0,000730982;-0,00111011
0,259507292;-0,000103741;0,001129768;-0,001389476
0,269439292;-0,003777866;-0,002530528;-0,002532931
0,279371292;-0,000265955;0,000943033;0,001858355
0,289303292;-0,00169909;-0,000456124;-0,001387868
0,299235292;-9,45362E-05;0,001985729;0,00031549
0,309167292;-0,001106921;-0,000241719;0,000585277
0,319099292;-0,001615318;-0,000356235;-0,000967612
0,329031292;-0,001252923;0,0010437;-0,002737995
0,338962292;-3,0532E-05;0,001841317;0,000816793
0,348894292;0,000382873;0,001037515;0,000308634
0,358826292;0,00071124;0,001593317;-0,000318008
0,368758292;0,002658448;0,000935122;0,002654947
0,378690292;8,58344E-05;5,73439E-05;-0,00033525
0,388622292;-0,00315356;0,001220356;0,00197811
0,398554292;0,001155435;0,000824877;-0,000840846
0,408486292;-0,002039355;-0,000460187;0,001079114
0,418418292;-0,002274245;0,001012541;0,000451141
0,428350292;-0,000497942;-0,000748984;0,001554838
0,438282292;0,003343135;-0,002854745;-0,004197057
0,448213292;-0,000707638;0,00052608;0,000481818
0,458141875;-0,000785402;0,001273896;0,001128966
0,468073875;0,002627037;0,00145436;0,00179071
0,478005875;0,001141525;-0,002777403;0,001533449
0,487937875;0,000748784;-0,001532898;-0,000730632
0,497869875;-0,000926078;0,002000584;-0,001509075
0,507801875;-0,002290696;-0,000364757;6,3031E-05
0,517733875;-0,003158886;0,000654701;0,001522177
0,527665875;-0,001986383;-0,000682937;-0,000872367
0,537597875;0,000499944;0,000653969;-0,000334408
0,547529875;0,000173249;0,001147729;0,001509968
0,557461875;0,000677119;0,001798073;0,000648702
0,567392875;0,001502609;-0,001446859;-4,16632E-05
0,577324875;-0,001305161;0,000637864;0,000558347
0,587256875;0,001608172;0,002132489;0,000212168
0,597188875;-0,001688555;-0,001179418;0,001054792
0,607120875;8,39913E-05;0,000558669;0,00092635
0,617052875;0,003443303;7,6104E-05;-0,001690738
0,626984875;-0,001428951;-0,000861595;-0,000527736
0,636916875;-0,000362088;-0,000282091;-0,000815358
0,646848875;0,000315202;0,002902303;0,000928136
0,656780875;-0,000972436;0,000347799;-8,86591E-05
0,666712875;-1,14441E-05;0,001211748;-2,011E-05
0,676643875;-1,67703E-05;0,001079389;-0,001068863
0,686575875;0,000730081;-0,000747719;0,00262792
0,696507875;-0,000242239;-0,000289123;0,000694465
0,706439875;5,72307E-05;-0,000617867;0,001950342
0,716371875;-0,000139044;-0,000530782;-0,002866518
0,726303875;-3,52343E-05;-0,000150064;-0,001229464
0,736235875;-0,002399322;3,07644E-05;0,000217698
0,746167875;-0,000835466;-0,000618546;-0,000831801
0,756099875;-0,001048519;-0,000769014;0,001897673
0,766031875;-0,002056222;-0,000237127;0,00117636
0,775963875;-0,000102261;-0,000367888;5,30379E-05
0,785895875;-0,000143351;-0,001835376;-0,000740774
0,795826875;-0,000595023;0,001037376;0,001874983
0,805758875;-0,000530375;0,001651542;-0,000482907
0,815690875;0,001046482;-0,00176556;2,41594E-05
0,825622875;-0,002591128;0,002246351;0,000367052
0,835554875;0,000142074;0,002192022;-0,000914461
0,845486875;-0,003036497;-0,000129823;-0,001638209
0,855418875;0,001361181;-0,000249665;-0,000638725
0,865350875;-0,000118394;0,000862858;-0,000373981
0,875282875;0,001738895;-0,001308151;0,000221767
0,885214875;0,000167281;-0,002948039;-0,001017173
0,895146875;-0,001174419;-6,6499E-05;0,001887538
0,905077875;0,001579726;-0,001028167;0,000840525
0,915009875;2,15108E-05;-0,001294483;-0,000519551
0,924941875;-0,001030068;-0,000499833;-6,55744E-06
0,934873875;-0,00104365;-0,001864703;-0,002162653
0,944805875;-0,001265174;-0,001881751;-0,001083078
0,954737875;0,000110083;-0,000757897;-0,001044462
0,964669875;-0,000857143;0,001886302;0,00028348
0,974601875;-0,001110143;0,000460446;0,000748201
0,984533875;0,000630959;-0,001370611;0,00142167
0,994465875;-0,002154707;-0,001797516;0,001384386
1,004397875;-0,000638345;-0,000745415;-0,001720483
1,014329875;-0,00032063;-0,001621328;0,001411394
1,024260875;3,11458E-05;-0,001186767;0,000283034
1,034192875;0,000630091;-0,000752139;-0,000125495
1,044124875;0,000406563;1,55824E-05;-0,002721624
1,054056875;-0,002272577;0,001328254;0,000413449
1,063988875;0,000237477;-0,001497188;-0,000968534
1,073920875;-0,000720728;-0,00173421;0,00077557
1,083852875;-0,001303218;-0,000101016;0,000446865
1,093784875;8,40221E-05;0,002202885;-0,000920135
1,103716875;0,001936456;-0,000802695;0,000877079
1,113648875;0,000367056;0,002963015;0,00015696
1,123580875;0,001924224;0,001097223;0,00101429
1,133512875;0,001702649;-0,001389104;-0,000539398
1,143443875;0,000218738;-0,00065637;0,001045635
1,153375875;0,001807047;-0,001034539;0,001878938
1,163307875;0,001805633;-0,001026333;0,002418679
1,173239875;-0,001130768;-0,002397861;-0,001113738
1,183171875;-0,000103087;-0,000582936;0,000162911
1,193103875;0,001999212;0,00076702;0,00055333
