Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,050937292;-0,055911939;0,01535591;0,06390305
0,060869292;-0,063885445;0,012692035;0,063902466
0,070801292;-0,09941881;-0,00613565;0,050878962
0,080733292;-0,101134621;0,017311554;0,054471492
0,090665292;-0,09086691;0,026374972;0,058063436
0,100597292;-0,087094149;0,040877944;0,06000939
0,110528292;-0,093878491;0,030942127;0,055368454
0,120460292;-0,076242174;0,02060752;0,05012818
0,130392292;-0,065249893;0,006238993;0,054767945
0,140324292;-0,070516818;0,005480684;0,056863003
0,150256292;-0,084465186;0,011079681;0,058808956
0,160188292;-0,092251467;0,003134158;0,055814597
0,170120292;-0,089947335;0,028395847;0,064047477
0,180052292;-0,078055779;0,035057683;0,057759966
0,189984292;-0,075136091;0,024410408;0,058059343
0,199916292;-0,086465683;0,01574813;0,064196581
0,209848292;-0,076453181;0,012458402;0,059252175
0,219779292;-0,070831535;0,000240766;0,061043762
0,229711292;-0,08270945;0,01370115;0,060440914
0,239643292;-0,075613534;0,01335764;0,060736198
0,249575292;-0,078624412;0,02388499;0,064473739
0,259507292;-0,063692692;0,030728619;0,05818155
0,269439292;-0,065279878;0,023218144;0,055483645
0,279371292;-0,074113276;0,007119727;0,058324222
0,289303292;-0,072868691;-0,005160554;0,059369704
0,299235292;-0,064260749;0,01726599;0,070294642
0,309167292;-0,060991009;0,024125822;0,067746425
0,319099292;-0,06628464;0,012183489;0,062654085
0,329031292;-0,064435307;0,019201162;0,063249916
0,338962292;-0,070152052;0,021785581;0,056211038
0,348894292;-0,070086581;0,028071256;0,059202474
0,358826292;-0,064432653;0,01250452;0,060247371
0,368758292;-0,062243528;0,007185618;0,05695188
0,378690292;-0,053917897;0,008481804;0,063984911
0,388622292;-0,058367025;0,012293029;0,053505532
0,398554292;-0,050701828;0,021015848;0,060089496
0,408486292;-0,063131378;0,016218338;0,059938053
0,418418292;-0,060238162;0,011462215;0,063229451
0,428350292;-0,060450713;0,010215798;0,060233923
0,438282292;-0,055225755;0,014619949;0,059334036
0,448213292;-0,063730215;0,007950955;0,058734112
0,458141875;-0,05499796;0,010747438;0,048254732
0,468073875;-0,051627123;0,00643789;0,054241111
0,478005875;-0,059012942;0,011361339;0,061574104
0,487937875;-0,059643345;0,012872817;0,061871728
0,497869875;-0,066365002;0,008269066;0,051392933
0,507801875;-0,054304348;0,005582855;0,057828378
0,517733875;-0,049520517;0,012394987;0,063815342
0,527665875;-0,04653037;0,013897852;0,051540867
0,537597875;-0,046127378;0,015837506;0,048546508
0,547529875;-0,049691576;0,007128711;0,056629114
0,557461875;-0,054274925;0,016934507;0,052287557
0,567392875;-0,050686324;0,018909457;0,050939189
0,577324875;-0,056872354;0,009358878;0,065159032
0,587256875;-0,045488309;0,006778181;0,072642884
0,597188875;-0,041342967;0,009906408;0,059169729
0,607120875;-0,051275952;0,012992529;0,062313192
0,617052875;-0,047045505;0,017787381;0,062162334
0,626984875;-0,047590913;0,009355867;0,067849336
0,636916875;-0,043745172;0,005690654;0,060215212
0,646848875;-0,046410625;0,001652172;0,050933926
0,656780875;-0,049810914;0,009613416;0,069345054
0,666712875;-0,043222536;0,002705936;0,066051317
0,676643875;-0,046379594;0,008475598;0,055573107
0,686575875;-0,045865039;0,021554205;0,07458299
0,696507875;-0,042379906;0,005939069;0,078025246
0,706439875;-0,047032221;0,006307364;0,065600497
0,716371875;-0,049855357;0,012892581;0,057217929
0,726303875;-0,045809869;0,013068607;0,054822909
0,736235875;-0,043192272;0,008879294;0,06410361
0,746167875;-0,045525951;0,013260647;0,052278201
0,756099875;-0,041002165;0,005281141;0,062457034
0,766031875;-0,042934912;0,006226154;0,075180575
0,775963875;-0,042716204;0,007304972;0,064702365
0,785895875;-0,031088942;0,012366409;0,066498629
0,795826875;-0,03459271;0,016214587;0,069193026
0,805758875;-0,037344367;0,008609132;0,066348356
0,815690875;-0,043513129;0,010517437;0,062456449
