Time (s);X (µT);Y (µT);Z (µT)
0,050937292;24,45722961;-12,49797821;-31,66320801
0,060869292;24,48649597;-12,67297363;-31,53710938
0,070801292;24,48002625;-12,70764923;-31,93255615
0,080733292;24,42816162;-12,3490448;-31,9720459
0,090665292;24,52087402;-12,35708618;-31,42114258
0,100597292;24,41552734;-12,11759186;-31,31610107
0,110528292;24,42541504;-12,31627655;-31,38195801
0,120460292;24,19358826;-12,36670685;-31,29229736
0,130392292;24,44180298;-12,62469482;-31,47302246
0,140324292;24,36138916;-12,51660919;-31,44519043
0,150256292;24,40379333;-12,73985291;-31,55554199
0,160188292;24,68235779;-12,54968262;-31,80847168
0,170120292;24,5279541;-12,18566895;-32,00799561
0,180052292;24,70513916;-12,49752045;-31,89031982
0,189984292;24,50297546;-12,74212646;-31,63903809
0,199916292;24,52119446;-12,43912506;-31,74243164
0,209848292;24,47319031;-12,57176208;-31,91845703
0,219779292;24,38340759;-12,47598267;-31,42346191
0,229711292;24,38960266;-12,1619873;-31,87536621
0,239643292;24,61932373;-12,64847565;-31,76251221
0,249575292;24,62785339;-12,42603302;-31,40612793
0,259507292;24,57369995;-12,34198761;-31,77404785
0,269439292;24,24012756;-12,69545746;-31,90222168
0,279371292;24,28993225;-13,0092392;-31,83001709
0,289303292;24,34880066;-12,67996979;-32,27185059
0,299235292;24,36955261;-12,30245972;-32,15362549
0,309167292;24,38072205;-12,15048218;-32,74987793
0,319099292;23,9947052;-12,35411835;-32,05145264
0,329031292;24,24078369;-12,31326294;-31,9128418
0,338962292;24,37567139;-12,46720886;-31,64807129
0,348894292;24,25343323;-12,36647034;-31,57678223
0,358826292;24,40023804;-12,37112427;-31,73236084
0,368758292;24,35368347;-12,25470734;-31,93060303
0,378690292;24,11006165;-12,37158203;-32,11419678
0,388622292;24,23364258;-12,63934326;-31,54901123
0,398554292;24,18107605;-12,5820694;-31,52252197
0,408486292;24,03282166;-12,56238556;-31,73577881
0,418418292;23,9356842;-12,51064301;-31,57769775
0,428350292;24,07725525;-12,46740723;-31,64532471
0,438282292;24,09011841;-12,56076813;-31,80743408
0,448213292;23,88381958;-12,50256348;-31,77423096
0,458141875;24,07138062;-12,94703674;-31,31085205
0,468073875;24,01499939;-12,84351349;-31,47607422
0,478005875;24,14221191;-12,76721954;-31,59979248
0,487937875;24,10119629;-13,0872345;-31,34228516
0,497869875;24,20431519;-12,82343292;-31,50445557
0,507801875;24,19708252;-12,53916168;-31,74493408
0,517733875;23,94558716;-12,48696899;-31,75927734
