Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,001519083;-4,886887665;5,014422455;6,847809906
0,011450083;-4,808899841;4,693340149;6,879394226
0,021382083;-4,196074219;4,608017578;6,708000641
0,031313083;-3,825744324;4,227359161;6,699169006
0,041244083;-3,841910706;3,898942108;6,560557251
0,051176083;-4,148173828;4,302203522;6,965914307
0,061107083;-4,431384888;4,722230072;7,535779266
0,071038083;-4,531826019;4,951253815;7,916737061
0,080970083;-4,553530884;4,947511597;7,870632935
0,090901083;-4,53526886;4,750670929;7,669002228
0,100832083;-4,557572479;4,513863373;7,527845764
0,110764083;-4,512516174;4,508773956;7,369624786
0,120695083;-4,403093719;4,641398163;7,346872101
0,130627083;-4,210743713;4,628973999;7,555687866
0,140558083;-4,09293869;4,556374969;7,544610901
0,150489083;-4,099375305;4,549040222;7,413932648
0,160421083;-4,101021881;4,513563995;7,370522919
0,170352083;-4,199217682;4,423451385;7,404951324
0,180283083;-4,37734726;4,296964417;7,519612885
0,190215083;-4,578379211;4,267924805;7,50494339
0,200146083;-4,705914001;4,355642395;7,288194122
0,210077083;-4,634362793;4,449946289;7,236850891
0,220009083;-4,406686249;4,527485046;7,222780151
0,229940083;-4,155209198;4,463268585;7,189848633
0,239872083;-3,98770752;4,277953949;7,148833923
0,249803083;-3,98995285;4,20415741;7,08955719
0,259734083;-4,219725037;4,209695892;7,25571167
0,269666083;-4,493954773;4,182901611;7,574249268
0,279597083;-4,777914276;4,323309631;7,886649628
0,289528083;-4,940925293;4,416116638;7,990982666
0,299460083;-5,016069031;4,208498383;8,027357025
0,309391083;-5,030588837;4,006717987;7,856711884
0,319322083;-4,899012451;3,803740082;7,791746979
0,329254083;-4,623585205;3,631448364;7,952063599
0,339185083;-4,437671814;3,642375641;8,236322479
0,349117083;-4,325704651;3,781137085;8,436156921
0,359048167;-4,354145508;3,921395416;8,634793854
0,368979167;-4,500241699;4,086801453;8,678952026
0,378911167;-4,609664154;4,079616394;8,552315369
0,388842167;-4,602479095;3,859124908;8,419840851
0,398773167;-4,598886566;3,74655899;8,147407379
0,408705167;-4,548591156;3,69042572;7,949219513
0,418636167;-4,52583847;3,586541748;7,99517395
0,428568167;-4,606969757;3,694916382;8,038883057
0,438499167;-4,712799683;3,970792694;8,161178741
0,448430167;-4,769831085;4,1432341;8,308322754
0,458362167;-4,79737381;4,170477448;8,293503571
0,468293167;-4,782255249;4,103416901;8,138875122
0,478224167;-4,668342133;3,974684601;7,861651611
0,488156167;-4,45922699;3,841012573;7,650291138
0,498087167;-4,296215973;3,687431946;7,615862732
0,508019167;-4,28139679;3,595373383;7,604187012
0,517950167;-4,325554962;3,572021942;7,731572113
0,527881167;-4,475842438;3,739673309;7,928113403
0,537813167;-4,719685364;3,969445496;7,925269318
0,547744167;-4,942571869;3,963457947;7,973768463
0,557675167;-5,011278992;3,891008606;7,889493713
0,567607167;-4,980892181;3,782334595;7,787555695
0,577538167;-4,920118561;3,626957703;7,713010712
0,587470167;-4,793032837;3,488795013;7,58562561
0,597401167;-4,640949097;3,409909058;7,429649963
0,607332167;-4,5785289;3,400628357;7,321724396
0,617264167;-4,541256409;3,481759644;7,321874084
0,627195167;-4,532275085;3,58279953;7,421117706
0,637126167;-4,52119812;3,639082489;7,613916779
0,647058167;-4,545447693;3,677402802;7,849077759
0,656989167;-4,578379211;3,681893463;7,946375427
0,666921167;-4,62418396;3,694167938;8,01388504
0,676852167;-4,650379486;3,68114502;7,994275818
0,686783167;-4,615352325;3,618425446;7,983348541
0,696715167;-4,562961273;3,587290192;7,908055115
0,706646167;-4,536765747;3,574117584;7,891589355
0,716577167;-4,544100494;3,585044861;7,915988617
0,726509167;-4,569697266;3,550616455;7,948920135
0,736440167;-4,542453918;3,471730499;7,940088501
0,746372167;-4,520299988;3,460054779;7,895630951
0,756303167;-4,521946564;3,449875946;7,849227448
0,766234167;-4,546495514;3,45990509;7,798033905
0,776166167;-4,629572754;3,482059021;7,787406006
0,786097167;-4,7563591;3,522774353;7,793243866
0,796028167;-4,831053772;3,509152679;7,789202271
0,805960167;-4,830305328;3,384162598;7,809559937
0,815891167;-4,803511047;3,338507538;7,808362427
0,825823167;-4,7563591;3,279230804;7,881260834
0,835754167;-4,752467194;3,231330414;7,971672821
0,845685167;-4,778513031;3,289709015;8,076754303
0,855617167;-4,823569336;3,314257965;8,149802399
0,865548167;-4,840184784;3,329526215;8,117469635
0,875480167;-4,835245056;3,333118744;8,022267609
0,885411167;-4,822371826;3,284170532;7,884553986
0,895342167;-4,765340424;3,212469635;7,815996552
0,905274167;-4,68031723;3,083887024;7,715256042
0,915205167;-4,647984467;2,975662079;7,683821411
0,925136167;-4,656816101;2,972368927;7,641160126
0,935068167;-4,656816101;2,949316864;7,623646545
0,944999167;-4,677622833;2,912044373;7,575746155
0,954931167;-4,771327972;3,00245636;7,566016388
0,964862167;-4,827311554;3,057990875;7,606582031
0,974793167;-4,841082916;3,064726868;7,684569855
0,984725167;-4,880301361;3,059487762;7,720644836
0,994656167;-4,872966614;3,049009552;7,739655304
1,004588167;-4,799918518;2,992127838;7,766898651
1,014519167;-4,708309021;2,96503418;7,86299881
1,024450167;-4,667893066;3,024759979;8,044421539
1,034382167;-4,734654236;3,081941071;8,219707031
1,044313167;-4,805606689;3,098556519;8,26431427
1,054244167;-4,891528015;3,063080292;8,120014343
1,064176167;-4,945715332;3,026107178;7,906707916
1,074107167;-4,947062531;3,08089325;7,671397247
1,084039167;-4,787344666;3,05155426;7,626191254
1,093970167;-4,740941162;2,644101562;7,792196045
1,103901167;-4,682861938;2,603835297;7,815547485
1,113833167;-4,672683105;2,669398956;7,966433716
1,123764167;-4,717440033;2,765050049;8,206534424
1,133696167;-4,889881439;2,978655853;8,402926025
1,143627167;-5,144352264;3,184777222;8,379724274
1,153558167;-5,294789429;3,201841736;8,238717499
1,163490167;-5,226082306;3,203338623;8,090076599
1,173421167;-5,132227478;3,211421814;7,955207062
1,183353167;-5,082231445;3,052003326;7,862699432
1,193284167;-5,039420471;2,847378845;7,839946747
1,203215167;-4,999603271;2,717598724;7,885901184
1,213147167;-4,941374359;2,591860199;8,048014069
1,223078167;-4,88164856;2,468367004;8,190817108
1,233010167;-4,86054245;2,520009613;8,231831818
1,242941167;-4,906047821;2,66191452;8,243657227
