Time (s);X (rad/s);Y (rad/s);Z (rad/s)
0,010208083;-0,198466152;0,048856508;-0,096126474
0,020140083;-0,256094188;0,058328554;-0,197906539
0,030071083;-0,360675991;0,089177012;-0,295963079
0,040002083;-0,465025306;0,06726338;-0,349373877
0,049934083;-0,489529043;-0,03330531;-0,296814263
0,059865083;-0,457850725;-0,164020702;-0,169662461
0,069796083;-0,38871026;-0,270531416;-0,050714236
0,079728083;-0,296742588;-0,247929573;0,009458181
0,089659083;-0,232920453;-0,144678012;-0,006142883
0,099591083;-0,208337039;-0,006275206;-0,059710316
0,109522083;-0,209447578;0,108181596;-0,103108391
0,119453083;-0,216462016;0,131028563;-0,126737952
0,129385083;-0,238059461;0,063679621;-0,123356529
0,139316083;-0,273522526;-0,023116542;-0,094752483
0,149247083;-0,293593437;-0,089095823;-0,063213468
0,159179083;-0,296605498;-0,128253192;-0,05787158
0,169110083;-0,278582811;-0,136370227;-0,059292909
0,179041083;-0,255894989;-0,114993431;-0,066718161
0,188973083;-0,234486088;-0,050817639;-0,073343836
0,198904083;-0,226009622;0,052043613;-0,080505252
0,208836083;-0,220688894;0,129262775;-0,102318406
0,218767083;-0,210253015;0,152801842;-0,129120544
0,228698083;-0,222119525;0,109500967;-0,161944002
0,238630083;-0,271036238;0,035770874;-0,194398105
0,248561083;-0,334912419;-0,044815049;-0,212732375
0,258492083;-0,384388298;-0,100228526;-0,203894272
0,268424083;-0,391349524;-0,159271076;-0,174024791
0,278355083;-0,363785178;-0,19740507;-0,102335013
0,288286083;-0,315285295;-0,196232483;-0,036835369
0,298218083;-0,272684425;-0,112471752;-0,017045103
0,308149083;-0,252550125;0,032699551;-0,040653229
0,318081083;-0,260369062;0,16668953;-0,091432564
0,328012083;-0,281216264;0,221625477;-0,150582179
0,337943083;-0,288225293;0,187856406;-0,183641657
0,347875083;-0,286467075;0,086674944;-0,177382961
0,357806167;-0,269270599;-0,043135665;-0,138911903
0,367737167;-0,225661084;-0,144190371;-0,070911281
0,377669167;-0,189454317;-0,200297028;-0,019935876
0,387600167;-0,175946504;-0,196174175;-0,01288649
0,397532167;-0,175021812;-0,117187567;-0,038626816
0,407463167;-0,175353646;-0,033260442;-0,095076248
0,417394167;-0,173273802;0,021722775;-0,138290778
0,427326167;-0,165319473;0,050398361;-0,136852399
0,437257167;-0,134785041;0,022786487;-0,104077712
0,447188167;-0,092501514;-0,020501865;-0,05325501
0,457120167;-0,038499903;-0,064640358;0,008433782
0,467051167;-0,010290638;-0,093519673;0,051618535
0,476983167;-0,023426469;-0,078220382;0,063105218
0,486914167;-0,059715763;-0,056559291;0,038596675
0,496845167;-0,09754695;-0,023887604;-0,020396309
0,506777167;-0,119983807;0,008578193;-0,087471478
0,516708167;-0,141008928;0,017467715;-0,139099747
0,526639167;-0,137332439;-0,004063941;-0,155445963
0,536571167;-0,10136614;-0,028602393;-0,122329377
0,546502167;-0,065655015;-0,044828501;-0,067411006
0,556434167;-0,041218963;-0,043502394;-0,020649347
0,566365167;-0,030072033;-0,032424446;0,012098478
0,576296167;-0,023565756;-0,021605372;0,033471383
0,586228167;-0,027807105;-0,006398455;0,032133412
0,596159167;-0,061322615;0,008226083;0,006679054
0,606090167;-0,108556703;0,020190068;-0,028898913
0,616022167;-0,151930973;0,032962911;-0,061305184
0,625953167;-0,181419879;0,04674264;-0,090552017
0,635885167;-0,19480674;0,060082372;-0,115058929
0,645816167;-0,182568714;0,075346276;-0,129441872
0,655747167;-0,170339406;0,066610716;-0,128044546
0,665679167;-0,159256131;0,040865138;-0,104005262
0,675610167;-0,146790654;0,01189878;-0,076768741
0,685541167;-0,138584644;-0,015824728;-0,060399089
0,695473167;-0,141520158;-0,02195698;-0,062834822
0,705404167;-0,144172132;-0,02610432;-0,074728236
0,715336167;-0,137686104;-0,015938178;-0,086776368
0,725267167;-0,129557073;-0,000123528;-0,105238468
0,735198167;-0,131679237;0,009496596;-0,12339633
0,745130167;-0,138660714;0,008098437;-0,141195297
0,755061167;-0,145204902;-0,010143351;-0,152902514
