Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2)
0,010208083;-0,442111192;0,241150576;-0,4799418
0,020140083;-0,353239361;-0,056902471;-0,456707304
0,030071083;0,276801342;-0,108925442;-0,63910301
0,040002083;0,668557774;-0,44462374;-0,663570099
0,049934083;0,66903286;-0,722951497;-0,823587341
0,059865083;0,366222811;-0,27426979;-0,444363831
0,069796083;0,071202714;0,182026455;0,096063906
0,079728083;-0,048061481;0,437173218;0,449807589
0,089659083;-0,084723231;0,452772712;0,383097875
0,099591083;-0,070791655;0,273630397;0,168292222
0,109522083;-0,085493017;0,05596604;0,02026528
0,119453083;-0,025834168;0,071866666;-0,141676281
0,129385083;0,096571444;0,227049138;-0,169951662
0,139316083;0,295211008;0,238657323;0,028563648
0,149247083;0,412012064;0,190774766;0,002524828
0,159179083;0,399897218;0,208310858;-0,145876921
0,169110083;0,390477646;0,197108763;-0,207785486
0,179041083;0,2852991;0,129880985;-0,190472465
0,188973083;0,103663532;0,025079293;-0,090094483
0,198904083;-0,094036676;0,016869217;-0,114459831
0,208836083;-0,210644774;0,125478617;-0,336395579
0,218767083;-0,123291466;0,241208755;-0,390263053
0,228698083;0,120590052;0,34137156;-0,407182556
0,238630083;0,385052599;0,303782149;-0,446956487
0,248561083;0,560838321;0,150794137;-0,500570192
0,258492083;0,561587057;0,114020998;-0,577930609
0,268424083;0,329756066;0,158051701;-0,433404395
0,278355083;0,046995826;0,166616702;-0,138423475
0,288286083;-0,249763232;0,33588921;0,151507205
0,298218083;-0,424135096;0,452340895;0,237068342
0,308149083;-0,501339101;0,266057083;0,261375217
0,318081083;-0,505170781;0,086858342;0,085521376
0,328012083;-0,353320637;-0,089743066;0,019129751
0,337943083;-0,055311152;-0,23238443;0,177890427
0,347875083;0,148489164;-0,190950475;0,457579708
0,357806167;0,268301829;-0,023327467;0,647880265
0,367737167;0,23619126;0,140894801;0,832696134
0,377669167;0,078100675;0,324378674;0,861083781
0,387600167;-0,04660494;0,331880944;0,7184737
