Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (°)
0,012094021;52,32157524;4,954475971;-0,530827522;-1;-1;11,98828274;11,98828274
0,624004006;52,32157524;4,954475971;-0,518740177;-1;-1;11,98828274;11,98828274
3,092761755;52,32158404;4,955025475;-1,575668601;0,636342108;40,24781112;27,94876132;27,94876132
4,092770815;52,32153695;4,955038369;-1,649061663;1,245373607;50,52875723;17,55608671;17,55608671
5,092780352;52,32149422;4,954995755;-1,828389998;2,628625631;118,148231;16,07341124;16,07341124
6,09278965;52,32146368;4,954948536;-2,05594501;3,656305552;136,0410795;21,30845215;21,30845215
7,092303872;52,32140952;4,954965865;-1,996671009;3,656305552;170,7718745;9,590146807;9,590146807
8,092145801;52,32137266;4,954962176;-2,067933102;3,656305552;156,5986498;7,385752605;7,385752605
9,041863799;52,32135516;4,954973138;-2,097222821;3,602304697;136,7565512;7,403246027;7,403246027
9,991348147;52,32133314;4,954984296;-2,283299574;3,359684229;154,0170834;5,411391151;5,411391151
10,94051135;52,32130625;4,954996199;-2,281904512;3,359684229;152,7175207;9,476686718;9,476686718
11,88992357;52,32129481;4,954991413;-1,952721879;3,359684229;148,5979161;9,414891621;9,414891621
12,83934307;52,32127354;4,95500897;-2,097673926;3,37128067;149,1634301;8,587569461;8,587569461
13,78876066;52,32124883;4,955033046;-2,097673054;3,37128067;149,1634491;8,587569461;8,587569461
14,73820269;52,32122763;4,955035727;-2,210556773;3,37128067;158,9714964;20,08442104;20,08442104
15,68765974;52,32122125;4,955031796;-2,511518682;1,969025254;175,4175193;6,057526861;6,057526861
16,63713133;52,32119516;4,955062143;-2,679248881;3,283219576;152,2647042;6,294137109;6,294137109
17,58663917;52,32117043;4,955090053;-2,896147668;3,283219576;143,0248512;5,061709347;5,061709347
18,53614712;52,32113587;4,955118483;-3,068911578;3,899704933;148,4672578;5,137786944;5,137786944
19,48568821;52,32111288;4,955150015;-3,033058716;3,899704933;140,9359486;4,761184629;4,761184629
20,435583;52,3210738;4,955130988;-2,937561313;3,463813305;167,3547183;10,78145343;10,78145343
21,38517237;52,32104541;4,955153565;-2,58330723;3,463813305;159,7250494;5,058974863;5,058974863
22,33477664;52,32102801;4,955139645;-2,607161717;3,012699366;176,6213187;5,457918096;5,457918096
23,30239654;52,32101484;4,955129388;-2,610791866;2,200808048;189,0790974;4,505130001;4,505130001
24,30202365;52,32098416;4,955126533;-2,400321108;2,200808048;175,1482387;6,631865972;6,631865972
25,30167592;52,32094558;4,955118973;-2,358465439;3,167206764;184,8797871;4,48753736;4,48753736
26,30134332;52,32091964;4,955098022;-2,453665038;3,167206764;198,4125039;6,223053553;6,223053553
27,30103087;52,32088898;4,955094362;-2,04178423;3,167206764;186,2439283;8,793190038;8,793190038
28,30073678;52,32086135;4,955094716;-1,871770136;3,069837332;181,733056;5,053962156;5,053962156
29,30046213;52,32084065;4,955071932;-2,021077133;3,066321611;204,9132331;4,510442873;4,510442873
30,30020344;52,32084387;4,955076321;-1,504526828;1,307911873;190,9407277;7,168810433;7,168810433
31,29995978;52,32081079;4,955093441;-1,30251439;2,598680019;167,1659648;4,453032167;4,453032167
32,29973185;52,32078375;4,955104294;-1,251186716;2,598680019;168,0542607;4,506296892;4,506296892
33,29951859;52,32075232;4,955141274;-2,382470096;2,931058222;159,0939665;4,77534731;4,77534731
34,29931736;52,32072464;4,955169173;-2,899623447;3,292844783;152,5449473;4,769219586;4,769219586
35,29912817;52,32070289;4,955200224;-3,038734781;2,980801518;146,1302502;4,765453331;4,765453331
36,29895139;52,32067576;4,955225159;-2,918876693;3,052737747;151,3843055;4,765512815;4,765512815
37,29878592;52,32064931;4,95524749;-2,629442053;3,211797574;151,1059278;4,769481595;4,769481595
38,29863048;52,32063284;4,955271489;-2,73750276;2,523942315;143,8985176;4,771719767;4,771719767
39,29849243;52,32060609;4,955303057;-3,341130813;2,478975454;150,2999521;4,77608402;4,77608402
40,29836333;52,32057495;4,955314951;-3,280696584;2,336279392;169,4612782;4,771323447;4,771323447
41,29822969;52,32055253;4,955360911;-3,161177302;2,249073587;145,9648998;4,77286709;4,77286709
42,29812813;52,32052209;4,955397025;-3,445286402;2,902521388;149,5122851;4,780096912;4,780096912
43,29802012;52,32050045;4,955413845;-3,216340777;2,436780019;148,6443301;4,784134188;4,784134188
44,29791963;52,32047392;4,955442474;-2,486167006;2,813548737;144,9487411;4,792188931;4,792188931
45,29782474;52,32045447;4,955476462;-3,014724741;2,615326033;142,9528473;4,800035523;4,800035523
46,29773557;52,32043989;4,955520305;-3,707146898;2,48431535;130,9101986;4,801494874;4,801494874
47,29765129;52,32041919;4,955564221;-3,26060038;2,84505025;133,0558962;4,813171312;4,813171312
48,29757178;52,32039807;4,955603177;-2,302382987;2,807311473;130,7707086;4,799365868;4,799365868
49,2974968;52,32036781;4,955608117;-2,194447796;2,451004091;155,990547;4,788316824;4,788316824
50,29742682;52,3203314;4,955628848;-1,65928392;3,138317979;154,1240477;4,785618748;4,785618748
51,29736102;52,32030191;4,9556557;-0,969322123;3,163056466;149,5435038;4,776529539;4,776529539
52,29729772;52,320284;4,955676458;-1,165219812;2,764251741;148,2664221;4,776431342;4,776431342
53,29723859;52,32025624;4,955693564;-1,659290683;2,932099343;156,1291032;4,771924604;4,771924604
54,29718375;52,32023644;4,955718026;-2,191931905;2,88282306;146,0713711;4,776859641;4,776859641
55,2971307;52,32022862;4,955740986;-2,235576293;2,486515467;136,623892;4,776228174;4,776228174
56,29708076;52,32020078;4,955760333;-2,141002959;3,001020468;149,713959;4,77274634;4,77274634
57,29703391;52,32018024;4,95577676;-1,861973827;2,811740272;150,1395127;4,7758644;4,7758644
58,29699039;52,3201528;4,955801704;-1,762137038;3,1483962;146,4019336;4,775403924;4,775403924
59,29694736;52,32012306;4,955817955;-1,415559407;2,982447161;150,8639485;4,767933852;4,767933852
60,29690754;52,32008721;4,955828828;-1,410683438;3,211234101;160,3349316;4,768547838;4,768547838
61,29687035;52,32006852;4,955853345;-0,872792865;2,813415452;150,6915606;4,768935062;4,768935062
62,29683447;52,32004998;4,955880991;-0,550702163;2,666515351;148,6013914;4,767083273;4,767083273
63,29680121;52,32002811;4,955901595;-0,054819817;2,770182541;151,7542412;4,768838102;4,768838102
64,29676926;52,32000146;4,955915426;-0,423160271;2,880619909;156,3359479;4,765413339;4,765413339
65,29673827;52,31997228;4,955932703;-0,606789617;2,889120229;152,5875405;4,765161795;4,765161795
66,29671156;52,31994986;4,955959446;-1,049173162;2,886335582;146,4471828;4,76140957;4,76140957
67,29668283;52,31992639;4,955985201;-1,354993368;2,852190665;148,5274412;4,7630909;4,7630909
68,2966578;52,31990932;4,956011797;-1,359250973;2,552324662;143,7040091;4,771003945;4,771003945
69,29663253;52,3198905;4,9560293;-1,758736144;2,493669877;155,7709881;4,766663091;4,766663091
70,29660857;52,31987463;4,956044048;-1,447018656;2,122443053;151,7184285;4,768403052;4,768403052
71,29658592;52,31985498;4,956071399;-1,566410268;2,475107779;143,8455388;4,776168234;4,776168234
72,29656518;52,31983724;4,956096174;-1,320479341;2,439317436;143,4552101;4,77780794;4,77780794
73,29654431;52,31980568;4,956119294;-2,11411899;2,941941339;153,196584;4,773543306;4,773543306
74,2965256;52,31977835;4,956141219;-1,985280421;2,610795648;150,4610135;4,77171842;4,77171842
75,29650652;52,31975596;4,956163259;-2,656542715;2,449539506;153,96554;4,777411056;4,777411056
76,296489;52,31972428;4,956188212;-3,440562713;2,816899699;152,2174401;4,771851298;4,771851298
77,29647195;52,31969869;4,956210254;-3,77791964;2,691559636;152,0837258;4,773123033;4,773123033
78,2964561;52,31967502;4,956239224;-3,503797806;2,883407793;145,6130996;4,777186699;4,777186699
79,29644072;52,31964638;4,956260484;-2,811068487;2,912047445;152,2239554;4,774066557;4,774066557
80,29642546;52,31961911;4,956280911;-2,822330999;2,71012558;152,563513;4,772184804;4,772184804
