Time (s);X (µT);Y (µT);Z (µT)
0,019806833;14,98744202;-8,2108078;-21,52832031
0,029738833;15,04037476;-8,131759644;-21,60766602
0,039670833;15,01597595;-8,05557251;-21,85540771
0,049601833;14,96069336;-7,691390991;-22,51794434
0,059533833;14,70426941;-7,526138306;-22,82891846
0,069465833;14,46514893;-7,547035217;-23,24829102
0,079396833;14,22891235;-7,334510803;-23,97247314
0,089328833;14,3139801;-7,294502258;-23,93017578
0,099260833;14,20869446;-6,832168579;-24,15588379
0,109192833;13,8686676;-6,878417969;-24,59649658
0,119123833;13,67349243;-6,447044373;-25,16802979
0,129055833;13,63580322;-5,834373474;-25,59387207
0,138987833;13,43536377;-5,578536987;-26,04284668
0,148918833;13,06625366;-5,683135986;-26,01855469
0,158850833;12,86894226;-4,981689453;-26,72064209
0,168782833;12,76272583;-4,827178955;-26,76269531
0,178714833;12,73414612;-4,163208008;-27,25714111
0,188645833;12,54040527;-4,257987976;-27,31842041
0,198577833;12,70066833;-3,651351929;-27,65637207
0,208509833;12,35585022;-3,013809204;-27,70385742
0,218441833;12,27055359;-2,466171265;-28,31542969
0,228372833;11,94914246;-1,622001648;-28,65600586
0,238304833;11,74690247;-1,480003357;-28,93408203
0,248236833;11,81898499;-0,576911926;-29,15942383
0,258167833;11,51437378;-0,349945068;-29,62988281
0,268099833;11,06684875;0,659011841;-30,14868164
0,278031833;10,5771637;1,260856628;-30,41326904
0,287963833;10,03811646;1,839935303;-30,69287109
0,297894833;9,66569519;2,146362305;-30,73449707
0,307826833;9,43838501;2,487228394;-31,06469727
0,317758833;9,630279541;2,750045776;-30,99206543
0,327689833;9,760696411;2,809280396;-30,52148438
0,337621833;10,20193481;3,093170166;-30,11749268
0,347553833;10,95948792;3,176750183;-29,69213867
0,357485833;11,42585754;3,444877625;-28,98406982
0,367416833;11,85890198;3,710624695;-28,89776611
0,377348833;12,16281128;4,245391846;-29,02215576
0,387280833;12,48274231;4,307647705;-28,51245117
0,397212833;12,8671875;4,412994385;-28,31817627
0,407143833;12,75846863;4,27457428;-28,08068848
0,417075833;12,78811646;3,914573669;-27,9508667
0,427007833;12,57025146;3,689857483;-27,87243652
0,436938833;12,69367981;3,596351624;-28,05523682
0,446870833;12,6036377;3,207336426;-28,11437988
0,456802833;12,5856781;2,823402405;-28,27722168
0,466734833;12,25335693;2,102676392;-28,17285156
0,476665833;12,33396912;2,022834778;-28,91680908
0,486597833;12,67460632;1,744758606;-28,597229
0,496529833;12,28462219;1,383659363;-29,04223633
0,506461833;12,18580627;1,003540039;-29,7845459
0,516392833;12,44906616;0,331832886;-29,83789062
0,526324833;12,26565552;0,034355164;-29,50744629
0,536256833;12,59437561;-0,245658875;-28,96533203
0,546187833;13,2797699;-0,198524475;-28,44165039
0,556119833;13,40608215;-0,078308105;-28,39141846
0,566051833;13,3918457;0,1951828;-28,24963379
0,575983833;13,20976257;0,275466919;-28,25384521
0,585914833;12,99240112;0,111778259;-28,59820557
0,595846833;12,50097656;-0,230621338;-28,98925781
0,605778833;12,00195312;-0,56035614;-29,48693848
0,615709833;11,63276672;-0,582901001;-29,54388428
0,625641833;11,42774963;-0,854354858;-29,85980225
0,635573833;11,23960876;-0,684661865;-29,68408203
0,645505833;11,17706299;-0,330413818;-29,86102295
0,655436833;11,2323761;-0,039024353;-29,50872803
0,665368833;10,95335388;0,08240509;-29,74749756
0,675300833;10,69984436;0,339408875;-29,75866699
0,685232833;10,46835327;0,511856079;-29,94781494
0,695163833;9,785629272;0,580314636;-30,11981201
0,705095833;9,411956787;0,626922607;-30,52667236
0,715027833;8,885665894;0,602714539;-31,12963867
0,724958833;8,515762329;0,607460022;-31,14001465
0,734890833;8,192886353;0,986473084;-30,984375
0,744822833;8,296905518;1,199760437;-30,18103027
0,754754833;8,692810059;1,607246399;-29,69616699
0,764685833;8,847122192;1,875770569;-28,77197266
0,774617833;9,000030518;2,11680603;-28,29309082
0,784549833;9,27520752;2,224090576;-28,37579346
0,794481833;9,528320312;2,619781494;-27,92810059
0,804413333;9,60635376;2,412208557;-27,85974121
0,814345333;9,657119751;2,18397522;-27,23480225
0,824277333;9,889297485;2,353492737;-27,34136963
0,834208333;9,672531128;2,140861511;-27,29449463
0,844140333;9,9400177;1,650764465;-27,20184326
0,854072333;10,14430237;1,664825439;-27,26147461
0,864004333;10,14430237;1,664825439;-27,26147461
0,873935333;10,52804565;1,190162659;-26,45910645
0,883867333;10,52902222;0,77784729;-26,46960449
0,893799333;10,52902222;0,77784729;-26,46960449
0,903730333;10,66355896;0,973350525;-26,44995117
0,913662333;10,77793884;0,760688782;-26,54138184
0,923594333;10,60910034;0,544532776;-26,56561279
0,933526333;10,71829224;0,31489563;-26,30578613
0,943457333;10,9147644;-0,167015076;-26,60455322
0,953389333;10,75144958;-0,664497376;-26,28045654
0,963321333;10,63508606;-1,014007568;-26,70300293
0,973253333;10,51301575;-1,593208313;-26,77203369
0,983184333;10,19953918;-1,965957642;-27,61035156
0,993116333;10,23960876;-2,313453674;-27,93475342
1,003048333;10,31814575;-2,530738831;-27,54516602
1,012979333;10,11964417;-2,932319641;-27,90698242
1,022911333;10,42657471;-3,483001709;-28,24255371
1,032843333;10,38143921;-3,533119202;-28,66375732
1,042775333;9,567611694;-3,92868042;-28,95001221
1,052706333;9,033203125;-3,9506073;-29,85632324
1,062638333;8,199203491;-4,351043701;-30,48852539
1,072570333;7,675628662;-4,263298035;-31,58605957
1,082501333;6,777114868;-4,031211853;-32,07537842
1,092433333;6,196990967;-3,966491699;-31,49768066
1,102365333;6,231185913;-3,737312317;-31,56311035
1,112297333;6,574554443;-3,247116089;-31,40820312
1,122228333;6,868560791;-3,072341919;-31,10162354
1,132160333;6,959579468;-2,834312439;-30,77429199
1,142092333;7,005355835;-2,870048523;-30,80389404
1,152024333;7,042358398;-3,401817322;-30,76757812
1,161955333;6,643127441;-4,285446167;-30,67492676
1,171887333;6,143920898;-4,631950378;-30,88916016
1,181819333;5,428543091;-5,178001404;-30,24066162
1,191750333;5,000991821;-5,152427673;-30,91156006
1,201682333;4,837509155;-5,160385132;-30,74157715
1,211614333;4,664932251;-5,623672485;-30,77349854
1,221546333;4,620361328;-5,945228577;-30,68414307
1,231477333;4,555511475;-6,012184143;-30,3838501
1,241409333;4,536819458;-6,01309967;-30,09838867
1,251341333;4,463088989;-6,288871765;-30,11108398
1,261273333;4,274795532;-6,670059204;-30,28057861
1,271204333;4,077819824;-7,174057007;-30,13433838
1,281136333;3,955429077;-6,87361145;-29,76055908
1,291068333;3,900680542;-7,092033386;-29,54052734
1,300999333;3,763626099;-7,304008484;-29,63677979
1,310931333;3,96131897;-7,30014801;-29,98071289
1,320863333;4,242355347;-7,361923218;-29,3314209
1,330795333;4,396118164;-7,320098877;-29,57531738
1,340726333;4,429885864;-7,285873413;-29,10375977
1,350658333;4,340805054;-7,131156921;-28,82897949
1,360590333;4,003494263;-7,30796051;-28,90063477
1,370521333;3,900161743;-7,324195862;-28,86877441
1,380453333;3,758361816;-7,387199402;-29,35064697
1,390385333;3,56791687;-7,567237854;-29,23852539
