Time (s),X (hPa)
1654620017586335232,1011.009674
1654620018588019968,1011.03035
1654620019589978112,1011.050949
1654620020592154112,1011.127243
1654620021594044160,1011.334152
1654620022595821056,1011.127243
1654620023145548032,1011.318817
1654620024147463168,1011.088562
1654620025149414144,1011.085892
1654620026151214080,1011.044617
1654620027153150976,1011.021576
1654620028154752000,1010.996552
1654620029156571136,1011.021576
1654620030158189056,1011.11763
1654620031160582144,1011.121216
1654620032161747200,1011.137619
1654620033163459072,1011.137619
1654620034165143040,1011.125336
1654620035167262976,1011.11702
1654620036169017088,1011.084442
1654620037170831104,1011.049957
1654620038172776192,1011.020126
1654620039174521088,1010.999069
1654620040176279040,1010.999069
1654620041178125056,1011.019211
1654620042180051968,1011.065369
1654620043181745920,1011.085663
1654620044183393280,1011.118774
1654620045185653248,1011.118774
1654620046187434240,1011.108475
1654620047189540096,1011.108475
1654620048191188224,1011.125107
1654620049193179136,1011.125107
1654620050195160064,1011.098709
1654620051197686272,1011.098709
1654620052199168256,1011.115799
1654620053200766976,1011.115799
1654620054202636288,1011.117706
1654620055204136960,1011.153412
1654620056205897984,1011.195602
1654620057207577344,1011.195602
1654620058209309184,1011.16478
1654620059211330048,1011.149139
1654620060213033216,1011.135025
1654620061215003136,1011.112061
1654620062216784128,1011.110306
1654620063218809088,1011.110306
1654620064220793088,1011.124954
1654620065222675200,1011.161041
1654620066224688896,1011.177368
1654620067225855232,1011.177368
1654620068227474176,1011.162796
1654620069229995008,1011.158752
1654620070231373056,1011.126862
1654620071232902144,1011.089478
1654620072234671104,1011.025162
1654620073236312064,1010.996094
1654620074238256128,1010.988846
1654620075239987200,1010.988846
1654620076242164224,1011.009674
1654620077243596032,1011.030884
1654620078245181952,1011.039124
1654620079246941952,1011.039124
1654620080248585216,1011.027832
1654620081250407168,1011.010818
1654620082252085248,1010.987015
1654620083253622016,1010.973587
1654620084255405312,1010.973587
1654620085257098240,1011.003418
1654620086259118080,1011.009445
1654620087261531136,1011.043243
1654620088262258176,1011.049728
1654620089263893248,1011.070557
1654620090265556992,1011.070557
1654620091268158208,1011.055908
1654620092268952064,1010.973053
1654620093270435072,1010.955505
1654620094272224256,1010.9375
1654620095274143232,1010.9375
1654620096275741952,1010.965042
1654620097277435136,1010.970154
1654620098279630080,1011.00708
1654620099281278976,1011.036377
1654620100283160320,1011.062546
1654620101284922112,1011.065979
1654620102286697216,1011.073914
1654620103288598016,1011.073914
1654620104290396160,1011.065826
1654620105292061952,1011.023254
1654620106293804288,1011.023254
1654620107295374080,1011.02562
1654620108297095936,1011.0466
1654620109298906112,1011.048279
1654620110300532992,1011.048279
1654620111302473984,1011.040573
1654620112304245248,1011.00563
1654620113305819136,1010.983124
1654620114307599104,1010.983124
1654620115309287936,1010.983124
1654620116311026944,1010.963211
1654620117312700160,1010.951385
1654620118315105280,1010.951385
1654620119316625152,1010.982285
1654620120318654976,1010.983887
1654620121320447232,1010.983887
1654620122322190336,1010.991364
1654620123324189184,1010.992203
1654620124325916928,1011.023865
1654620125327654144,1011.060104
1654620126329317120,1011.075974
1654620127331117056,1011.075974
1654620128332898048,1011.073227
1654620129334862080,1011.045837
1654620130336754176,1011.022263
1654620131338478080,1010.994415
1654620132340319232,1010.984802
1654620133342138368,1010.984802
1654620134343936000,1010.996933
1654620135345634048,1011.00975
1654620136347268096,1011.012955
1654620137349007104,1011.020737
1654620138350735104,1011.029358
1654620139352725248,1011.029968
1654620140354419200,1011.043243
1654620141356287232,1011.056137
1654620142358259200,1011.077271
1654620143360199168,1011.098709
1654620144361816064,1011.114502
1654620145363788032,1011.114502
1654620146365518080,1011.101761
1654620147367224320,1011.069717
1654620148368831232,1011.014175
1654620149370806016,1010.979996
1654620150372615168,1010.944061
1654620151374612992,1010.941238
1654620152376403200,1010.918732
1654620153378152192,1010.913696
1654620154379975168,1010.878067
1654620155381859072,1010.851974
1654620156383731968,1010.842361
1654620157385501184,1010.83252
1654620158387162112,1010.787735
